ccy,rmse_bps,n
AUD,0.12335250319762738,170
CAD,0.09792892073896507,164
DKK,0.11274633767690484,168
EUR,0.1761363274574985,170
GBP,0.11519942314405107,127
JPY,0.12853832316619027,170
NOK,0.10712221283749464,169
SEK,0.11044192396689421,170
USD,0.11854899424837737,162
