date,expiry,tenor,split,sigma_mkt,sig_pay_s1,sig_rec_s1,sig_str_s1,fwd_bias_s1,path_frac
2011-07-29,1,5,train,34.4,495.8,2245.8,1370.8,-698.2,1.0
2011-07-29,1,10,train,27.9,485.7,1018.9,752.3,-212.7,1.0
2011-07-29,5,1,train,27.2,382.6,224.8,303.7,140.7,1.0
2011-07-29,5,5,train,22.0,288.3,467.7,378.0,-160.1,1.0
2011-07-29,5,10,train,20.7,256.5,376.3,316.4,-106.8,1.0
2011-07-29,10,1,train,19.0,249.8,136.9,193.3,142.5,1.0
2011-07-29,10,5,train,17.9,183.1,280.8,231.9,-123.2,1.0
2011-07-29,10,10,train,18.8,163.8,200.1,181.9,-45.8,1.0
2011-08-31,1,1,train,75.4,672.3,755.4,713.9,-33.1,1.0
2011-08-31,1,5,train,42.4,494.9,1695.2,1095.0,-478.8,1.0
2011-08-31,1,10,train,33.6,489.9,1055.7,772.8,-225.7,1.0
2011-08-31,5,1,train,29.2,379.3,223.1,301.2,139.3,1.0
2011-08-31,5,5,train,23.6,300.1,506.5,403.3,-184.1,1.0
2011-08-31,5,10,train,22.2,262.8,324.0,293.4,-54.6,1.0
2011-08-31,10,1,train,20.1,253.6,148.6,201.1,132.4,1.0
2011-08-31,10,5,train,18.7,206.1,206.1,206.1,-0.1,1.0
2011-08-31,10,10,train,19.8,162.4,233.5,197.9,-89.7,1.0
2011-09-30,1,1,train,69.4,614.9,719.2,667.0,-41.6,1.0
2011-09-30,1,5,train,43.1,547.3,1613.9,1080.6,-425.5,1.0
2011-09-30,1,10,train,40.0,516.7,950.6,733.6,-173.1,1.0
2011-09-30,5,1,train,33.4,400.8,236.3,318.5,146.8,1.0
2011-09-30,5,5,train,27.8,329.0,539.7,434.3,-187.9,1.0
2011-09-30,5,10,train,26.9,290.0,204.7,247.4,76.1,1.0
2011-09-30,10,1,train,23.4,253.3,157.7,205.5,120.5,1.0
2011-09-30,10,5,train,22.3,209.1,293.7,251.4,-106.7,1.0
2011-09-30,10,10,train,23.8,174.8,250.0,212.4,-94.9,1.0
2011-10-31,1,1,train,73.9,611.5,840.2,725.8,-91.2,1.0
2011-10-31,1,5,train,43.8,516.6,1439.4,978.0,-368.1,1.0
2011-10-31,1,10,train,37.3,522.2,978.7,750.5,-182.1,1.0
2011-10-31,5,1,train,33.4,400.2,230.6,315.4,151.3,1.0
2011-10-31,5,5,train,27.5,325.6,461.0,393.3,-120.7,1.0
2011-10-31,5,10,train,26.2,287.4,215.6,251.5,64.0,1.0
2011-10-31,10,1,train,23.1,258.2,161.2,209.7,122.4,1.0
2011-10-31,10,5,train,22.0,202.7,237.4,220.0,-43.7,1.0
2011-10-31,10,10,train,23.6,180.9,136.0,158.5,56.6,1.0
2011-11-30,1,1,train,74.5,627.8,729.6,678.7,-40.6,1.0
