regime,n_total,n_train,n_eval,rmse_bps_train,rmse_bps_eval
normal_positive,1042,834,208,8.5557279586792,8.718737602233887
any_negative,294,235,59,15.840563774108887,15.004975318908691
inverted,134,107,27,10.078527450561523,11.226651191711426
