epoch,time_total_sec,time_interval_sec,loss_price,loss_bias,loss_eig,loss_l2,loss_feller,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm,lr,lambda_min_KQ,Lambda_norm_fro,kappa,theta,sigma_v,sqrt_theta,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
10,89.1,20.035,0.6717875152826309,26.97603416442871,0.0005836920172441751,2.2585032368599434e-11,0.0,1.0,0.7662353515625,5.2951848771837025,0,0.9999999608025966,2.797250000000001e-05,0.0016740333521738648,0.0005417536594904959,0.999987006187439,0.017949901521205902,0.049787506461143494,0.1339772425496431,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
11,101.2,12.091,1.544923797249794,23.099578142166138,0.0005841199308633804,3.57771043693611e-11,0.0,1.0,0.7984619140625,5.2951848771837025,0,0.9999998242128486,3.0470000000000008e-05,0.0016501699574291706,0.0006962442421354353,0.9999574422836304,0.01794898509979248,0.04978904873132706,0.13397382244226846,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
12,108.5,7.292,1.4216175377368927,15.33407998085022,0.0005841739766765386,5.859122215179369e-11,0.0,1.0,0.752685546875,5.2951848771837025,0,0.999999980089626,3.2967500000000006e-05,0.0016880983021110296,0.0008719206089153886,0.9999127984046936,0.017947494983673096,0.049790795892477036,0.13396826110565552,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
13,116.2,7.75,1.030906617641449,28.66496729850769,0.0005829126748722047,8.724147446126373e-11,0.0,1.0,0.7357177734375,5.2951848771837025,0,0.9999999604115138,3.546500000000001e-05,0.0017529565375298262,0.0010321680456399918,0.9998883008956909,0.017946194857358932,0.04979225620627403,0.13396340865086606,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
14,123.4,7.17,1.3503352105617523,18.320318698883057,0.0005813647003378719,1.2117683939605328e-10,0.0,1.0,0.76611328125,5.2951848771837025,0,1.0000000103827915,3.796250000000001e-05,0.0018287384882569313,0.001213704003021121,0.9998713731765747,0.01794477365911007,0.0497935488820076,0.13395810411882542,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
15,130.7,7.264,1.2779016196727753,19.28322148323059,0.0005789776769233868,1.6703557634278887e-10,0.0,1.0,0.756103515625,5.2951848771837025,0,0.9999999861593095,4.046000000000001e-05,0.0019548609852790833,0.0014259024756029248,0.9998364448547363,0.017943568527698517,0.04979526996612549,0.1339536058779252,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
16,138.5,7.881,0.9370128437876701,13.371654748916626,0.000575739803025499,2.2905946930884546e-10,0.0,1.0,0.72021484375,5.2951848771837025,0,0.9999998931307289,4.295750000000001e-05,0.002097863471135497,0.0016546747647225857,0.9998270869255066,0.017942344769835472,0.049796100705862045,0.1339490379578572,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
17,145.8,7.27,1.5700529217720032,20.914652347564697,0.0005725307710235938,3.0341113649301477e-10,0.0,1.0,0.7552490234375,5.2951848771837025,0,1.0000000287400321,4.545500000000002e-05,0.002213343745097518,0.0018783708801493049,0.9998020529747009,0.017941318452358246,0.04979642108082771,0.13394520690326417,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
18,153.1,7.315,1.2226358950138092,18.166227340698242,0.000570569303818047,3.823156999316346e-10,0.0,1.0,0.7608642578125,5.2951848771837025,0,0.9999999989831849,4.795250000000001e-05,0.002220860682427883,0.002067706547677517,0.9997975826263428,0.01794067583978176,0.04979445040225983,0.13394280809278922,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
19,160.8,7.705,0.9016488492488861,20.04616403579712,0.0005709095421480015,4.581774890044521e-10,0.0,1.0,0.753173828125,5.2951848771837025,0,0.9999999478604864,5.045000000000001e-05,0.002201878000050783,0.0022894362919032574,0.9997755289077759,0.017939966171979904,0.04979347810149193,0.13394015892173602,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
20,168.0,7.123,1.1351661682128906,23.46862506866455,0.0005708642856916413,5.792246265956535e-10,0.0,1.0,0.76318359375,5.2951848771837025,0,0.999999944120644,5.294750000000002e-05,0.0022334293462336063,0.002599011640995741,0.9997304677963257,0.017938973382115364,0.04979138821363449,0.13393645277561805,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
21,175.3,7.386,0.6521725282073021,25.885196208953857,0.0005701788468286395,7.518380085169696e-10,0.0,1.0,0.7481689453125,5.2951848771837025,0,0.9999998665880323,5.544500000000002e-05,0.0022487733513116837,0.0029563375283032656,0.9997091889381409,0.017938828095793724,0.049785736948251724,0.13393591040416952,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
22,182.3,6.996,1.0407132655382156,17.324608325958252,0.0005694178980775177,9.513364956914572e-10,0.0,1.0,0.7637939453125,5.2951848771837025,0,0.9999999322462804,5.794250000000002e-05,0.0023196800611913204,0.003281909041106701,0.9996777772903442,0.017939332872629166,0.04978214204311371,0.1339377947878386,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
23,189.5,7.187,1.3456640392541885,17.973757565021515,0.0005682793125743046,1.1524535215023946e-09,0.0,1.0,0.751220703125,5.2951848771837025,0,0.9999999636784189,6.0440000000000024e-05,0.002336356323212385,0.0035808070097118616,0.9996293187141418,0.017939744517207146,0.04978093132376671,0.1339393314796186,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
24,196.7,7.2,1.0308455526828766,15.133749723434448,0.0005677816952811554,1.3708364998699096e-09,0.0,1.0,0.76171875,5.2951848771837025,0,1.0000000641625755,6.293750000000002e-05,0.002358117373660207,0.003902943804860115,0.9996159672737122,0.01793951354920864,0.04977840185165405,0.13393846926558717,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
25,203.3,6.608,1.5244558826088905,14.31391716003418,0.0005675197462551296,1.613761596575003e-09,0.0,1.0,0.8055419921875,5.2951848771837025,0,1.0000000023060238,6.543500000000001e-05,0.0023462167009711266,0.004182035103440285,0.9996004700660706,0.01793949492275715,0.049777738749980927,0.1339383997319557,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
26,210.5,7.172,0.7326135560870171,20.081270694732666,0.0005676893924828619,1.8225837505880804e-09,0.0,1.0,0.750732421875,5.2951848771837025,0,1.0000001415610213,6.793250000000002e-05,0.0023440816439688206,0.004401917569339275,0.9996660351753235,0.017939111217856407,0.04977484419941902,0.1339369673311159,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
27,217.9,7.442,0.7055413722991943,14.36590313911438,0.0005683425988536328,2.015374755970356e-09,0.0,1.0,0.751220703125,5.2951848771837025,0,1.0000000102736522,7.043000000000003e-05,0.002288003219291568,0.004654362332075834,0.999714732170105,0.017938444390892982,0.04977170005440712,0.13393447797670688,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
28,225.6,7.635,1.094217911362648,30.715165615081787,0.0005692105187335983,2.260415854493658e-09,0.0,1.0,0.732177734375,5.2951848771837025,0,1.0000000009908092,7.292750000000004e-05,0.002291805576533079,0.004925245884805918,0.9997571706771851,0.017938299104571342,0.04977090284228325,0.13393393559726133,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
29,232.9,7.366,1.1526390463113785,15.060696125030518,0.0005690343532478437,2.530355591723321e-09,0.0,1.0,0.739501953125,5.2951848771837025,0,0.9999999389510758,7.542500000000003e-05,0.002310564275830984,0.0051967850886285305,0.9998192191123962,0.01793772540986538,0.049769822508096695,0.133931793872349,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
30,239.7,6.731,2.001091420650482,17.053922176361084,0.0005680934991687536,2.8158391729427024e-09,0.0,1.0,0.7965087890625,5.2951848771837025,0,1.0000000656000316,7.792250000000004e-05,0.0023914319463074207,0.005499719642102718,0.9997941851615906,0.01793551817536354,0.049771495163440704,0.13392355347497145,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
31,246.9,7.258,1.1289618611335754,15.527342677116394,0.0005647187063004822,3.159504935457136e-09,0.0,1.0,0.75244140625,5.2951848771837025,0,0.999999941857821,8.042000000000003e-05,0.0026259645819664,0.005835670977830887,0.9997853636741638,0.017934150993824005,0.049773287028074265,0.13391844904203457,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
32,253.7,6.752,1.0429446026682854,17.155355215072632,0.0005592122761299834,3.565434170127446e-09,0.0,1.0,0.7808837890625,5.2951848771837025,0,0.9999999246356281,8.291750000000004e-05,0.0028046618681401014,0.006204099394381046,0.9998166561126709,0.01793382503092289,0.049772124737501144,0.13391723201635736,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
33,261.0,7.361,1.2583612501621246,14.844849109649658,0.0005554146046051756,4.0559017255858976e-09,0.0,1.0,0.767333984375,5.2951848771837025,0,0.9999999831343301,8.541500000000005e-05,0.0029933410696685314,0.006648561451584101,0.9999005794525146,0.017933689057826996,0.04976778104901314,0.13391672433952004,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
34,267.9,6.856,0.8958150148391724,17.098889708518982,0.0005511384078999981,4.638386563726726e-09,0.0,1.0,0.77392578125,5.2951848771837025,0,0.9999999326391822,8.791250000000006e-05,0.003095954656600952,0.007060623727738857,0.9999435544013977,0.017933303490281105,0.049764011055231094,0.1339152847522683,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
35,275.6,7.652,0.9011991024017334,13.556009411811829,0.0005499816325027496,5.207063225043385e-09,0.0,1.0,0.736572265625,5.2951848771837025,0,0.9999998654238789,9.041000000000006e-05,0.0030874679796397686,0.007482784800231457,1.0000135898590088,0.01793239638209343,0.04976144805550575,0.1339118978362021,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
36,283.6,8.091,1.2358249574899673,17.452983856201172,0.0005503758002305403,5.858347251752605e-09,0.0,1.0,0.7626953125,5.2951848771837025,0,1.0000000421314317,9.290750000000007e-05,0.003042446682229638,0.007909709587693214,1.0000362396240234,0.0179316196590662,0.04975767433643341,0.13390899767777445,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
37,291.4,7.723,1.9736340790987015,24.04384684562683,0.0005520979320863262,6.510764816169967e-09,0.0,1.0,0.768798828125,5.2951848771837025,0,0.9999999358005859,9.540500000000008e-05,0.00299368379637599,0.008358847349882126,1.0001040697097778,0.017930438742041588,0.04975442215800285,0.13390458820384604,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
38,298.0,6.587,1.3024895638227463,26.673620462417603,0.0005524169246200472,7.214509989417195e-09,0.0,1.0,0.803955078125,5.2951848771837025,0,1.0000000489962975,9.790250000000007e-05,0.0029745991341769695,0.008684765547513962,1.000086784362793,0.017929352819919586,0.04975317791104317,0.1339005333070768,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
39,304.9,6.968,0.582121804356575,16.60435914993286,0.0005526399618247524,7.77775421845206e-09,0.0,1.0,0.7706298828125,5.2951848771837025,0,1.0000000226827976,0.00010040000000000008,0.003034035675227642,0.009065835736691952,1.0000019073486328,0.01792864315211773,0.049750201404094696,0.13389788329961655,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
40,312.2,7.249,1.1633206009864807,15.597837448120117,0.0005510419287020341,8.534583484376412e-09,0.0,1.0,0.756591796875,5.2951848771837025,0,0.9999999478782216,0.00010289750000000009,0.003075740532949567,0.009547539986670017,0.9999246001243591,0.017928071320056915,0.04974370077252388,0.13389574795361098,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
41,318.8,6.633,2.629233844578266,19.729848861694336,0.0005503142019733787,9.489711239041299e-09,0.0,1.0,0.79345703125,5.2951848771837025,0,0.9999999509309406,0.00010539500000000008,0.0030653432477265596,0.010019551031291485,0.9998573064804077,0.01792808808386326,0.04973926767706871,0.13389581055381553,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
42,326.3,7.464,1.1071775555610657,19.788251638412476,0.0005513080832315609,1.0393690130783284e-08,0.0,1.0,0.7452392578125,5.2951848771837025,0,1.000000017811544,0.00010789250000000009,0.0029975492507219315,0.010510222986340523,0.9998748302459717,0.017928164452314377,0.04973440244793892,0.13389609573215486,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
43,333.6,7.292,1.6372765600681305,15.760361909866333,0.0005517332028830424,1.1490339790753978e-08,0.0,1.0,0.7457275390625,5.2951848771837025,0,1.0000000960408169,0.0001103900000000001,0.0030764127150177956,0.01110228430479765,0.9998952746391296,0.017926370725035667,0.04973115399479866,0.1338893973585499,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
44,341.0,7.438,1.0011878162622452,22.319249272346497,0.0005498077516676858,1.2959448181248945e-08,0.0,1.0,0.7357177734375,5.2951848771837025,0,1.0000000881554987,0.0001128875000000001,0.0031987857073545456,0.01185766700655222,0.9999276399612427,0.01792336069047451,0.04972606897354126,0.1338781561363709,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
45,348.2,7.217,1.7763616740703583,30.854397773742676,0.000546619005035609,1.4675478610115533e-08,0.0,1.0,0.7607421875,5.2951848771837025,0,1.0000000384170555,0.00011538500000000009,0.003272740403190255,0.012509834952652454,0.9999810457229614,0.017920447513461113,0.04972562938928604,0.1338672757378035,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
46,355.2,6.959,2.0907204002141953,15.18965083360672,0.0005460980901261792,1.6240591538263516e-08,0.0,1.0,0.78125,5.2951848771837025,0,0.9999998658345158,0.00011788250000000008,0.0032983548007905483,0.013139801099896431,0.9999948740005493,0.01791694387793541,0.04972640052437782,0.13385418886958828,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
47,362.4,7.241,0.7354573830962181,23.100334644317627,0.0005434624472400174,1.7996155232680167e-08,0.0,1.0,0.73583984375,5.2951848771837025,0,0.9999999972933438,0.00012038000000000009,0.0035336073487997055,0.013878736644983292,0.9999496340751648,0.017914697527885437,0.04972878471016884,0.1338457975727495,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
48,369.8,7.383,1.1441610306501389,13.901410818099976,0.0005380654183682054,2.011522015621381e-08,0.0,1.0,0.760498046875,5.2951848771837025,0,0.9999999719211696,0.00012287750000000009,0.003704426344484091,0.014703821390867233,0.9999179840087891,0.0179126039147377,0.049725014716386795,0.13383797635476152,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
49,376.9,7.095,1.4172614514827728,9.542407035827637,0.0005348311824491248,2.2499382357210607e-08,0.0,1.0,0.7611083984375,5.2951848771837025,0,1.0000000822174082,0.0001253750000000001,0.003853266593068838,0.015445665456354618,1.0000338554382324,0.017912808805704117,0.04972052201628685,0.13383874179662672,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
50,384.4,7.475,0.8779778331518173,20.50723695755005,0.0005312374414643273,2.45180049596172e-08,0.0,1.0,0.731689453125,5.2951848771837025,0,1.0000001218577308,0.0001278725000000001,0.003998787607997656,0.01597358100116253,1.0000287294387817,0.017913756892085075,0.04972133785486221,0.13384228364790057,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
51,391.8,7.436,1.805537685751915,11.831982672214508,0.0005272295238683,2.611624516646316e-08,0.0,1.0,0.7509765625,5.2951848771837025,0,0.9999998621205937,0.0001303700000000001,0.004184253513813019,0.016460899263620377,1.0000683069229126,0.017912765964865685,0.04972081631422043,0.13383858175005325,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
52,398.7,6.932,1.315268650650978,23.50538659095764,0.0005242306069703773,2.7751185793789546e-08,0.0,1.0,0.7681884765625,5.2951848771837025,0,0.9999999202199742,0.0001328675000000001,0.004241384565830231,0.01692323200404644,1.000126600265503,0.017912646755576134,0.04971848055720329,0.13383813640205894,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
53,405.8,7.052,0.9269371032714844,22.76884937286377,0.000522799848113209,2.9166291604099115e-08,0.0,1.0,0.7705078125,5.2951848771837025,0,0.9999999892609138,0.0001353650000000001,0.004265219438821077,0.01733540929853916,1.0001469850540161,0.01791219413280487,0.049712058156728745,0.13383644545789786,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
54,413.1,7.27,0.6587584614753723,25.649746417999268,0.0005239442834863439,3.062575792966982e-08,0.0,1.0,0.7401123046875,5.2951848771837025,0,0.9999999639403534,0.00013786250000000013,0.004147062543779612,0.017817970365285873,1.000165343284607,0.017911110073328018,0.04970676079392433,0.13383239545539047,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
55,419.9,6.809,0.847738191485405,22.1750408411026,0.0005258858436718583,3.255920777434085e-08,0.0,1.0,0.7972412109375,5.2951848771837025,0,1.0000000310174069,0.00014036000000000015,0.004196423105895519,0.01842362992465496,1.0001451969146729,0.01790759153664112,0.04969872534275055,0.1338192494996184,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
56,426.8,6.938,2.3914520740509033,25.64564037322998,0.0005225350323598832,3.4791103331599516e-08,0.0,1.0,0.7783203125,5.2951848771837025,0,0.9999998612352147,0.00014285750000000015,0.004425159189850092,0.019006403163075447,1.0000221729278564,0.01790165714919567,0.04970091953873634,0.13379707451658154,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
57,434.3,7.482,1.9066620916128159,25.3441321849823,0.0005170656368136406,3.713256901960449e-08,0.0,1.0,0.7457275390625,5.2951848771837025,0,0.999999904801366,0.00014535500000000017,0.004646666813641787,0.01975308358669281,0.999884307384491,0.017895085737109184,0.04970547929406166,0.1337725148792127,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
58,441.8,7.549,1.0561681240797043,18.95551347732544,0.0005128217162564397,4.026285793656825e-08,0.0,1.0,0.7353515625,5.2951848771837025,0,1.000000142434136,0.00014785250000000016,0.004833227023482323,0.02058909833431244,0.9998166561126709,0.01788986474275589,0.04970158264040947,0.13375299900471724,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
59,448.9,7.104,0.9104525744915009,23.641195058822632,0.0005071930645499378,4.3586082298929796e-08,0.0,1.0,0.7596435546875,5.2951848771837025,0,1.0000000150466801,0.00015035000000000019,0.005212411284446716,0.021370653063058853,0.9996590614318848,0.017884183675050735,0.04970640316605568,0.13373176015835106,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
