ccy,rmse_bps,n
AUD,0.09813954751403561,170
CAD,0.08326642425506414,164
DKK,0.09892857761826795,168
EUR,0.1529657161233524,170
GBP,0.0777125120900003,127
JPY,0.11536496727669894,170
NOK,0.08452428373373701,169
SEK,0.08821726312868808,170
USD,0.09573494865762845,162
