epoch,time_total_sec,time_interval_sec,loss_price,loss_eig,loss_l2,loss_feller,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm,lr,lambda_min_KQ,Lambda_norm_fro,kappa,theta,sigma_v,sqrt_theta,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,6.3,6.25,1.4405420869588852,0.0005846966669196263,1.18627778870432e-15,0.0,1.0,0.7738037109375,5.2951848771837025,0,0.9999998639807949,2.9975e-06,0.0016405282076448202,7.199555511760991e-06,0.9999996423721313,0.01795293018221855,0.049787044525146484,0.13398854496642074,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,12.4,6.113,0.6514112502336502,0.0005845199048053473,6.956546896385132e-14,0.0,1.0,0.741943359375,5.2951848771837025,0,0.9999997453703275,5.495e-06,0.0016556121408939362,5.04965937579982e-05,0.999993085861206,0.01795276068150997,0.04978734254837036,0.1339879124455261,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
2,20.8,8.48,0.9717017784714699,0.0005840428057126701,6.935189523897024e-13,0.0,1.0,0.759765625,5.2951848771837025,0,0.9999999056930795,7.9925e-06,0.0016833585686981678,0.0001297032431466505,0.9999833703041077,0.01795242540538311,0.04978782683610916,0.13398666129650036,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
3,28.5,7.635,1.1216339766979218,0.0005832660099258646,3.0220661043078856e-12,0.0,1.0,0.781494140625,5.2951848771837025,0,0.9999998746497943,1.0490000000000001e-05,0.0017228589858859777,0.00024015193048398942,0.9999703168869019,0.01795192062854767,0.0497879683971405,0.1339847776000978,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
4,36.2,7.69,0.7421749532222748,0.0005822059465572238,8.782782010344214e-12,0.0,1.0,0.7613525390625,5.2951848771837025,0,0.999999899439951,1.29875e-05,0.001774414093233645,0.0003828389453701675,0.9999532699584961,0.017951244488358498,0.049787815660238266,0.13398225437855008,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
5,44.0,7.865,1.5179445147514343,0.0005808477872051299,2.0289403403900286e-11,0.0,1.0,0.76025390625,5.2951848771837025,0,0.9999998523539835,1.5485e-05,0.001838017487898469,0.0005527454777620733,0.999940812587738,0.017950432375073433,0.04978747293353081,0.13397922366946838,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
6,51.7,7.698,1.2215196415781975,0.0005792076262878254,3.962434200199816e-11,0.0,1.0,0.745361328125,5.2951848771837025,0,0.9999999112596886,1.7982500000000003e-05,0.0019137468189001083,0.0007547531859017909,0.9999324679374695,0.017949413508176804,0.04978640377521515,0.1339754212838191,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
7,65.7,13.965,1.0638638138771057,0.0005773056327598169,7.165433697775558e-11,0.0,1.0,0.761962890625,5.2951848771837025,0,0.9999997935062268,2.0480000000000004e-05,0.002000505104660988,0.0009927782230079174,0.9999329447746277,0.01794816367328167,0.04978572577238083,0.13397075678401488,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
8,86.5,20.838,2.643731713294983,0.0005750511336373165,1.19667591808037e-10,0.0,1.0,0.80908203125,5.2951848771837025,0,1.0000000712680024,2.2977500000000005e-05,0.0021051878575235605,0.00125305843539536,0.9999245405197144,0.017946939915418625,0.049785394221544266,0.13396618944875094,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
9,108.1,21.551,1.8586887121200562,0.0005724188522435725,1.8619411221165727e-10,0.0,1.0,0.780029296875,5.2951848771837025,0,0.9999997760751034,2.547500000000001e-05,0.0022223189007490873,0.0015395950758829713,0.9998917579650879,0.01794554479420185,0.04978511109948158,0.13396098235755757,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
10,124.8,16.687,0.6663901805877686,0.0005695104337064549,2.7641390565324997e-10,0.0,1.0,0.766357421875,5.2951848771837025,0,0.9999999435377971,2.797250000000001e-05,0.0023523340933024883,0.0018663883674889803,0.9998534321784973,0.017943790182471275,0.04978502541780472,0.1339544332318691,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
