,RMSE (bps)
JPY,27.122726440429688
GBP,35.42930603027344
AUD,36.137535095214844
NOK,38.19782257080078
DKK,42.100059509277344
CAD,44.161895751953125
EUR,45.97254180908203
sw,49.35551834106445
USD,58.24088668823242
Average,41.85758802625868
