,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,Average
d=1,30.05,37.79,27.33,32.93,13.01,37.77,34.91,33.19,47.41,32.71
d=2,10.76,9.04,9.11,12.49,9.97,9.33,9.48,9.87,11.11,10.13
d=3,5.03,5.43,5.67,9.45,7.71,5.85,5.05,5.36,5.22,6.08
