,"Level
(avg all tenors)","Slope
(30Y − 1Y)","Curvature
(2×5Y − 1Y − 30Y)"
$z_1$,-0.273,0.986,-0.046
$z_2$,0.992,-0.131,0.518
$z_3$,-0.989,0.332,-0.649
