,"Level
(avg all tenors)","Slope
(30Y − 1Y)","Curvature
(2×5Y − 1Y − 30Y)"
$z_1$,-0.919,0.571,-0.464
$z_2$,-0.985,0.358,-0.514
$z_3$,0.988,-0.059,0.614
$z_4$,0.851,-0.685,0.544
