Split,Model,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,Average
IS,$\ell=1$,36.08,35.74,35.68,40.46,23.44,36.42,44.91,29.12,50.31,36.91
OOS,$\ell=1$,34.23,28.23,23.35,29.86,21.47,29.09,33.85,27.05,39.17,30.24
IS,$\ell=2$,12.34,9.79,11.27,17.61,12.85,10.71,11.04,11.52,11.85,12.11
OOS,$\ell=2$,10.66,11.51,10.41,20.7,20.47,11.33,28.41,11.71,13.84,15.57
IS,$\ell=3$,9.81,8.33,9.89,15.3,11.54,8.45,8.82,7.77,9.57,9.94
OOS,$\ell=3$,11.3,10.75,10.32,18.31,11.06,12.23,12.46,10.82,13.4,12.44
IS,$\ell=4$,10.4,9.44,10.36,16.01,12.38,10.05,13.69,9.47,11.81,11.51
OOS,$\ell=4$,11.17,10.64,9.91,70.53,9.18,10.54,9.57,8.41,14.88,17.38
