index,PC1,PC2,PC3,PC4
$z_1$,0.902,-0.694,0.162,-0.225
$z_2$,-0.118,0.926,-0.173,-0.026
$z_3$,0.662,-0.543,-0.002,-0.404
$z_4$,-0.242,0.628,-0.67,0.448
