index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
$z_1$,17.32,56.74,23.47,0.03,1.9,0.02,0.33,0.17
$z_2$,75.33,3.79,16.43,0.09,3.78,0.22,0.16,0.2
$z_3$,62.36,6.57,12.82,4.01,5.37,5.89,0.94,2.04
$z_4$,14.48,28.71,50.41,3.0,0.91,1.69,0.72,0.09
