index,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,Average,Time (min)
$\ell=1$,36.08,35.74,35.68,40.46,23.44,36.42,44.91,29.12,50.31,36.91,54.0
$\ell=2$,12.34,9.79,11.27,17.61,12.85,10.71,11.04,11.52,11.85,12.11,58.6
$\ell=3$,9.81,8.33,9.89,15.3,11.54,8.45,8.82,7.77,9.57,9.94,63.5
$\ell=4$,6.69,6.99,8.47,11.69,10.06,6.63,7.98,6.68,8.86,8.23,126.1
