index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
$z_1$,-0.983,-0.181,0.016,0.008,0.001,-0.004,-0.001,0.0
$z_2$,0.933,-0.294,0.205,-0.013,-0.032,-0.005,-0.0,0.002
$z_3$,0.954,-0.297,0.043,0.005,0.006,0.003,-0.0,0.001
