epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2_lam,loss_l2_vol,loss_l2_reg,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm_lam,gnorm_sig,gnorm_reg,lr,fwd_bias_diag_bp,delta_norm,W_norm,lam_1Y_norm,lam_5Y_norm,lam_10Y_norm,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,17.8,17.822,0.15710641164332628,0.3916141055524349,0.0004735718612209894,0.001121824752772227,1.0179062996940047e-06,1.0,1.0,5.2951848771837025,0,1.9999992251394678,0.058751452334821076,6.837887113596229e-05,6.860000000000001e-06,-13.4,5.203523869568016e-06,0.03189608454704285,0.4060273766517639,0.3918854296207428,0.3938772678375244,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,40.2,22.406,0.24828292056918144,0.89488685131073,0.0004735686525236815,0.0011218932922929525,1.0061927468996146e-06,1.0,1.0,,0,1.999999880790707,0.20096158869934103,0.00016676760357015705,1.3520000000000003e-05,-15.549999999999995,0.00011725040531018749,0.03142789006233215,0.4060150384902954,0.39188501238822937,0.3938782513141632,,,,,,,,,
2,62.0,21.786,0.19381665345281363,0.6309374570846558,0.00047355307469842955,0.001122163055697456,9.66393670864818e-07,1.0,1.0,,0,1.9999996423720994,0.05000544592649528,6.531767551205684e-05,2.0180000000000007e-05,-17.924999999999997,0.00041318050352856517,0.030515538528561592,0.4059906303882599,0.39189204573631287,0.39386874437332153,,,,,,,,,
3,86.0,23.982,0.12833971250802279,0.4746221899986267,0.0004735291877295822,0.0011225389607716352,9.011308890194414e-07,1.0,1.0,,0,1.9999998211860577,0.0652637592896169,6.141974405649857e-05,2.684000000000001e-05,18.499999999999993,0.0007193202036432922,0.029178868979215622,0.40596407651901245,0.3919107913970947,0.39384594559669495,,,,,,,,,
4,110.6,24.611,0.1561184674501419,0.5349260196089745,0.0004735137554234825,0.0011227612267248333,8.14718873698439e-07,1.0,1.0,,0,1.9999998211860577,0.11464935089946475,6.661602318637314e-05,3.3500000000000015e-05,38.837500000000006,0.0009703935938887298,0.02745382860302925,0.40593576431274414,0.391964316368103,0.39382150769233704,,,,,,,,,
5,137.5,26.907,0.15021491888910532,0.5766239911317825,0.000473523665277753,0.0011229350348003209,7.129192454158328e-07,1.0,1.0,,0,1.999999701976754,0.09624959364544407,5.366403565436308e-05,4.0160000000000015e-05,41.9125,0.0011478414526209235,0.02540268562734127,0.40592530369758606,0.39201945066452026,0.39379680156707764,,,,,,,,,
6,164.5,26.964,0.9118291828781366,0.6774180978536606,0.0004735253023682162,0.001123288704548031,6.040243221150376e-07,1.0,1.0,,0,1.9999998211860577,0.12465635201932204,6.063371753264076e-05,4.6820000000000016e-05,48.775,0.0013649783795699477,0.02314012497663498,0.4059109389781952,0.39206650853157043,0.3937518298625946,,,,,,,,,
7,194.0,29.497,0.22219660133123398,0.511722669005394,0.00047352797992061824,0.0011240511375945061,4.958805561727786e-07,1.0,1.0,,0,1.9999999403953543,0.1943296091209066,6.19355055319923e-05,5.3480000000000017e-05,41.287499999999994,0.001545739360153675,0.020720476284623146,0.40591225028038025,0.3921147286891937,0.3937055468559265,,,,,,,,,
8,215.3,21.375,1.5120893195271492,0.6721433848142624,0.00047349377564387396,0.0011248641822021455,3.949886604459607e-07,1.0,1.0,,0,1.999999880790707,0.1422872466599457,5.2705968513618755e-05,6.014000000000002e-05,-22.124999999999996,0.0019268899923190475,0.01831761561334133,0.40587887167930603,0.3921012580394745,0.39364755153656006,,,,,,,,,
9,239.1,23.735,0.8853933522477746,0.5576888844370842,0.0004734015092253685,0.0011255026620347053,3.080647417164073e-07,1.0,1.0,,0,1.999999880790707,0.15783108791210554,3.814635237582042e-05,6.680000000000002e-05,-4.312500000000002,0.002364345593377948,0.015982305631041527,0.40580981969833374,0.392099529504776,0.39358988404273987,,,,,,,,,
