,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,376.45289263725283,1172.3176179138422,13.007552146911621,1.1477740241954797
Average,81.72277363724179,235.40406175056486,15.290448983510334,2.7107435243320923
CAD,6.19700813293457,0.7811670399391746,18.009660402933758,3.5022135295391514
DKK,7.856954362657335,1.5807712505964444,14.099747869703505,1.5150207175716446
EUR,11.177286201053196,3.0102042187574427,21.650120629204643,3.8592988969905564
GBP,6.36557404200236,0.8308350438004531,14.33798450893826,7.2205421044916696
JPY,9.386975076463488,0.9645644003574205,8.43174844317966,0.7925251494782944
NOK,5.711857636769612,0.7242569145601618,15.068748262193468,2.489782014936216
SEK,8.321130911509195,1.3425851717613035,11.840827624003092,0.9274702061837251
USD,7.627586841583252,0.7601948073906268,21.16765096452501,4.35003348142583
