variant,seed,epoch,train_mse,train_rmse,val_avg_rmse_bps,val_n_good,val_n_bad,epoch_time_sec,cumulative_time_sec,mean_grad_norm,nan_batches,failed_batches,ode_failures,lr,best_val_so_far_bps
baseline,2,0,0.0,0.0,,0,216,0.04593362502055243,0.045934208028484136,,0,30,30,0.001,
baseline,2,1,0.0,0.0,,0,216,0.04589383298298344,0.09429925004951656,,0,30,30,0.001,
baseline,2,2,0.0,0.0,,0,216,0.04469916701782495,0.1414030000451021,,0,30,30,0.001,
baseline,2,3,0.0,0.0,,0,216,0.04596441698959097,0.18974008300574496,,0,30,30,0.001,
baseline,2,4,0.0,0.0,,0,216,0.04736241704085842,0.23963516601361334,,0,30,30,0.001,
baseline,2,5,0.0,0.0,,0,216,0.04505941702518612,0.28724133304785937,,0,30,30,0.001,
baseline,2,6,0.0,0.0,,0,216,0.04446220799582079,0.33428599999751896,,0,30,30,0.001,
baseline,2,7,0.0,0.0,,0,216,0.04515800002263859,0.38190875004511327,,0,30,30,0.001,
baseline,2,8,0.0,0.0,,0,216,0.0443739159964025,0.42911516601452604,,0,30,30,0.001,
baseline,2,9,0.0,0.0,,0,216,0.04544087499380112,0.4772701660403982,,0,30,30,0.001,
baseline,2,10,0.0,0.0,,0,216,0.04334941599518061,0.5230981250060722,,0,30,30,0.001,
baseline,2,11,0.0,0.0,,0,216,0.04408083396265283,0.5695799580425955,,0,30,30,0.001,
baseline,2,12,0.0,0.0,,0,216,0.04374545795144513,0.616051375051029,,0,30,30,0.001,
baseline,2,13,0.0,0.0,,0,216,0.03925795800751075,0.6575628330465406,,0,30,30,0.001,
baseline,2,14,0.0,0.0,,0,216,0.03784529201220721,0.6975138750276528,,0,30,30,0.001,
baseline,2,15,0.0,0.0,,0,216,0.03823470894712955,0.7380175000289455,,0,30,30,0.001,
baseline,2,16,0.0,0.0,,0,216,0.038189916987903416,0.7783665830502287,,0,30,30,0.001,
baseline,2,17,0.0,0.0,,0,216,0.03860374999931082,0.8189942080061883,,0,30,30,0.001,
baseline,2,18,0.0,0.0,,0,216,0.04037245799554512,0.8615077080321498,,0,30,30,0.001,
baseline,2,19,0.0,0.0,,0,216,0.03961475001415238,0.9031294159940444,,0,30,30,0.001,
baseline,2,20,0.0,0.0,,0,216,0.043345792044419795,0.9483537910273299,,0,30,30,0.001,
baseline,2,21,0.0,0.0,,0,216,0.046901959052775055,0.9977168330224231,,0,30,30,0.001,
