as_of_date,ccy,z_1,z_2,z_3,z_4
2016-12-30,AUD,-0.052697852,-0.045837805,0.11775151,-0.017310236
2017-01-31,AUD,-0.04502113,-0.049173776,0.11517458,-0.01979301
2017-02-28,AUD,-0.04409364,-0.05080429,0.11676012,-0.018760268
2017-03-31,AUD,-0.0434681,-0.05013292,0.11536453,-0.020263642
2017-04-28,AUD,-0.04166062,-0.048421532,0.11122592,-0.020308124
2017-05-31,AUD,-0.034215223,-0.048105244,0.1032458,-0.021818424
2017-06-30,AUD,-0.039771304,-0.050175235,0.11193956,-0.018242544
2017-07-31,AUD,-0.03552198,-0.051704846,0.11034062,-0.019905617
2017-08-31,AUD,-0.048654858,-0.04351305,0.11168572,-0.017141502
2017-09-29,AUD,-0.048416846,-0.047486447,0.11650886,-0.016795352
2017-10-31,AUD,-0.043006238,-0.047347788,0.11088017,-0.018370194
2017-11-30,AUD,-0.047840655,-0.042154346,0.1082814,-0.017988848
2017-12-29,AUD,-0.057105776,-0.038563546,0.11241777,-0.014553941
2018-01-31,AUD,-0.051510066,-0.045209814,0.11484042,-0.013561933
2018-02-28,AUD,-0.053577628,-0.043509167,0.11458736,-0.014250229
2018-03-30,AUD,-0.06398196,-0.035984047,0.11293654,-0.013632056
2018-04-30,AUD,-0.06446194,-0.038076054,0.11610093,-0.01356373
2018-05-31,AUD,-0.06149427,-0.03877993,0.11377515,-0.013881752
2018-06-29,AUD,-0.064619035,-0.03649416,0.113255575,-0.015663622
2018-07-31,AUD,-0.067099005,-0.035242137,0.11341225,-0.013375093
2018-08-31,AUD,-0.065356955,-0.032828905,0.10894726,-0.015646761
2018-09-28,AUD,-0.06094444,-0.038394995,0.112598844,-0.015064088
2018-10-31,AUD,-0.058754764,-0.038492285,0.110933356,-0.015742524
2018-11-30,AUD,-0.06310128,-0.035882056,0.11179492,-0.015064548
2018-12-31,AUD,-0.062904775,-0.03166454,0.1046442,-0.01807731
2019-01-31,AUD,-0.06342403,-0.029070828,0.10179243,-0.018203996
2019-02-28,AUD,-0.052104346,-0.03383459,0.097954385,-0.019463826
2019-03-29,AUD,-0.042651117,-0.03031138,0.084718674,-0.020734735
2019-04-30,AUD,-0.029998587,-0.036819458,0.08132516,-0.020612761
2019-05-31,AUD,-0.023067059,-0.032950383,0.0708392,-0.0209842
2019-06-28,AUD,-0.010127232,-0.035460792,0.062141664,-0.021142695
2019-07-31,AUD,-0.003518099,-0.03444576,0.05533765,-0.021540783
2019-08-30,AUD,-0.00837364,-0.025043769,0.045582954,-0.017731328
2019-09-30,AUD,-0.012407525,-0.02452255,0.049008798,-0.017068919
2019-10-31,AUD,-0.01464039,-0.02588097,0.052754853,-0.016365219
2019-11-29,AUD,-0.0055429004,-0.028822277,0.048054084,-0.016760798
2019-12-31,AUD,-0.0059826258,-0.035799645,0.05859923,-0.018001307
2020-01-31,AUD,-0.004777302,-0.026344392,0.044256438,-0.017912291
2020-02-28,AUD,-0.005189695,-0.02167036,0.037051328,-0.015168803
2020-03-31,AUD,0.0019906969,-0.02363905,0.028430942,-0.008515748
2020-04-30,AUD,0.02580966,-0.036612336,0.026283193,-0.012413745
2020-05-29,AUD,0.02539591,-0.035175875,0.02609135,-0.013827569
2020-06-30,AUD,0.0309911,-0.03823787,0.02576841,-0.016282162
2020-07-31,AUD,0.02903506,-0.03481257,0.023466814,-0.016377846
2020-08-31,AUD,0.040312614,-0.043658905,0.025971768,-0.020641435
2020-09-30,AUD,0.039410353,-0.040863004,0.022838566,-0.020139337
2020-10-30,AUD,0.047381867,-0.04533672,0.021819491,-0.02237645
2020-11-30,AUD,0.054557618,-0.051755503,0.025545973,-0.025006738
2020-12-31,AUD,0.057305202,-0.054978646,0.026396407,-0.024475547
2021-01-29,AUD,0.06535477,-0.06318394,0.030257279,-0.027440002
2021-02-26,AUD,0.07418092,-0.08147115,0.043954864,-0.026628768
2021-03-31,AUD,0.07973317,-0.086358875,0.045717895,-0.029512186
2021-04-30,AUD,0.07694702,-0.082946405,0.04394419,-0.02887685
2021-05-31,AUD,0.07392635,-0.08006013,0.043748092,-0.026982773
2021-06-30,AUD,0.057940703,-0.06767957,0.041380566,-0.018891549
2021-07-30,AUD,0.052658264,-0.05880024,0.03436692,-0.018288666
2021-08-31,AUD,0.05195732,-0.05902205,0.035560984,-0.01621511
2021-09-30,AUD,0.055468313,-0.06677398,0.04207316,-0.016019577
2021-10-29,AUD,0.008481545,-0.050527766,0.0679588,0.00043566313
2021-11-30,AUD,0.01161974,-0.04913224,0.061380688,0.0044697947
2021-12-31,AUD,0.0076400526,-0.047103383,0.061689284,0.002565832
2022-01-31,AUD,-0.007878,-0.042425614,0.070792556,0.005825766
2022-02-28,AUD,-0.010707515,-0.04498946,0.077511325,0.010279748
2022-03-31,AUD,-0.05812005,-0.03570398,0.11099511,0.017946647
2022-04-29,AUD,-0.09903912,-0.029308515,0.13864388,0.0113087995
2022-05-31,AUD,-0.1149101,-0.026108121,0.14713198,0.003937953
2022-06-30,AUD,-0.1412739,-0.024666911,0.16460846,0.00070023007
2022-07-29,AUD,-0.12640123,-0.02127455,0.14722605,-0.009791293
2022-08-31,AUD,-0.15477411,-0.019190777,0.17097676,-0.0007443502
2022-09-30,AUD,-0.18246341,-0.012898124,0.1865175,-0.00043851967
2022-10-31,AUD,-0.1759131,-0.020376112,0.191805,-0.0059066326
2022-11-30,AUD,-0.15914588,-0.017336685,0.17193536,-0.007206987
2022-12-30,AUD,-0.17589276,-0.020067403,0.1903779,-0.005741764
2023-01-31,AUD,-0.15811412,-0.020411365,0.17408192,-0.0116784265
2023-02-28,AUD,-0.18857656,-0.013422693,0.19433321,-0.009264103
2023-03-31,AUD,-0.15097591,-0.018977696,0.16531685,-0.014309249
2023-04-28,AUD,-0.15550938,-0.016465455,0.16626419,-0.01647419
2023-05-31,AUD,-0.17794958,-0.012152464,0.18172659,-0.016882258
2023-06-30,AUD,-0.21933585,0.002449421,0.20133665,-0.010886251
2023-07-31,AUD,-0.20427087,-0.0057683988,0.19839942,-0.014782069
2023-08-31,AUD,-0.18621835,-0.013663007,0.192238,-0.015720244
2023-09-29,AUD,-0.18783586,-0.021143565,0.20537947,-0.0151689015
2023-10-31,AUD,-0.19771358,-0.027798083,0.22464441,-0.016414467
2023-11-30,AUD,-0.18825187,-0.022456171,0.20755786,-0.01862631
2023-12-29,AUD,-0.17858967,-0.014316766,0.18591301,-0.019167086
2024-01-31,AUD,-0.16875781,-0.020437788,0.18503709,-0.021347472
2024-02-29,AUD,-0.17802908,-0.019540953,0.19324501,-0.019202111
2010-01-29,CAD,0.06839486,-0.11904612,0.10890716,-0.023325637
2010-02-26,CAD,0.068155296,-0.11932704,0.10929923,-0.023140104
2010-03-31,CAD,0.026948433,-0.09984906,0.121957615,-0.014591587
2010-04-30,CAD,0.0073759155,-0.09318652,0.1296294,-0.012650864
2010-05-31,CAD,0.006470072,-0.08936786,0.12309386,-0.011922357
2010-06-30,CAD,0.037287083,-0.10186977,0.11166827,-0.026351003
2010-07-30,CAD,0.03595763,-0.10075788,0.11096483,-0.030826267
2010-08-31,CAD,0.040604383,-0.09421698,0.09747119,-0.034891352
2010-09-30,CAD,0.018174335,-0.08174314,0.100313075,-0.03170113
2010-10-29,CAD,0.025293855,-0.0870612,0.10161335,-0.034588385
2010-11-30,CAD,0.008399674,-0.08471019,0.11161881,-0.026336351
2010-12-31,CAD,0.00964303,-0.08754429,0.11593367,-0.026290005
2011-01-31,CAD,0.02108146,-0.096370205,0.118169725,-0.027723115
2011-02-28,CAD,0.0060806624,-0.08992706,0.12482359,-0.024062369
2011-03-31,CAD,0.0084051,-0.09360847,0.12687166,-0.022049673
2011-04-29,CAD,0.011987176,-0.09235449,0.12214505,-0.026912946
2011-05-31,CAD,0.016044896,-0.089231156,0.11374075,-0.027716191
2011-06-30,CAD,0.01927297,-0.092905864,0.11517841,-0.029177604
2011-07-29,CAD,0.020576343,-0.08707262,0.105446585,-0.032445874
2011-08-31,CAD,0.033406552,-0.08549039,0.08923011,-0.032947283
2011-09-30,CAD,0.03825062,-0.08226117,0.07812984,-0.03338719
2011-10-31,CAD,0.036091838,-0.085106984,0.08586751,-0.036723748
2011-11-30,CAD,0.01922147,-0.07084303,0.08024931,-0.028799867
2011-12-30,CAD,0.014357474,-0.06489094,0.07689668,-0.029264063
2012-01-31,CAD,0.012968072,-0.06402587,0.07785604,-0.031009894
2012-02-29,CAD,0.01053032,-0.06681864,0.08530399,-0.028837621
2012-03-30,CAD,0.007387454,-0.06832657,0.09027004,-0.02625084
2012-04-30,CAD,-0.009015676,-0.059385005,0.094259605,-0.02351955
2012-05-31,CAD,-0.006002171,-0.049774665,0.07665236,-0.02253054
2012-06-29,CAD,0.003744461,-0.05785933,0.079343915,-0.025731334
2012-07-31,CAD,-0.0062874174,-0.051349632,0.08002324,-0.023258073
2012-08-31,CAD,-0.012675496,-0.04886312,0.081946716,-0.021197552
2012-09-28,CAD,-0.005237291,-0.052112985,0.079564095,-0.022639444
2012-10-31,CAD,-0.0009444394,-0.05565318,0.08077377,-0.023908883
2012-11-30,CAD,-0.004816066,-0.052216005,0.07981551,-0.02273012
2012-12-31,CAD,-0.0069062067,-0.053326957,0.083421804,-0.02265248
2013-01-31,CAD,0.00022294464,-0.060908295,0.087575115,-0.023796983
2013-02-28,CAD,0.011185186,-0.0645484,0.08221562,-0.02906856
2013-03-29,CAD,0.0065317443,-0.062320787,0.08397663,-0.027583413
2013-04-30,CAD,0.0029121924,-0.05713039,0.07999754,-0.026556533
2013-05-31,CAD,0.0035562953,-0.06495296,0.08978311,-0.024786286
2013-06-28,CAD,0.0066862362,-0.07473052,0.09982443,-0.021543682
2013-07-31,CAD,0.011955537,-0.078149274,0.09976372,-0.025082411
2013-08-30,CAD,0.016710546,-0.08343213,0.1026171,-0.024473125
2013-09-30,CAD,0.021750161,-0.08563458,0.10128395,-0.027334975
2013-10-31,CAD,0.02451111,-0.084887125,0.097589426,-0.030401303
2013-11-29,CAD,0.031488802,-0.08990246,0.09804621,-0.034027044
2013-12-31,CAD,0.032248214,-0.0950429,0.10244448,-0.029538943
2014-01-31,CAD,0.032099668,-0.08657985,0.09229641,-0.03353469
2014-02-28,CAD,0.026964478,-0.08342428,0.09346924,-0.032329865
2014-03-31,CAD,0.02263513,-0.082124636,0.095577724,-0.029753387
2014-04-30,CAD,0.019420149,-0.0790865,0.09505287,-0.029141104
2014-05-30,CAD,0.016414065,-0.074345805,0.091468506,-0.028990654
2014-06-30,CAD,0.013894104,-0.07321812,0.09339876,-0.028408207
2014-07-31,CAD,0.010090737,-0.06966482,0.091767125,-0.026682798
2014-08-29,CAD,0.0036601694,-0.06316491,0.08945775,-0.025303386
2014-09-30,CAD,0.005326145,-0.06662932,0.09203566,-0.023676265
2014-10-31,CAD,0.003397773,-0.06391695,0.08914125,-0.023265297
2014-11-28,CAD,-0.0012221647,-0.057949092,0.085784175,-0.023899615
2014-12-31,CAD,-0.007926335,-0.05265139,0.08517761,-0.022230648
2015-01-30,CAD,0.021863814,-0.053994466,0.058316976,-0.027209245
2015-02-27,CAD,0.023358313,-0.05740478,0.061955042,-0.028630303
2015-03-31,CAD,0.02373838,-0.059109263,0.063511975,-0.02840512
2015-04-30,CAD,0.01662684,-0.059893,0.07126239,-0.026127186
2015-05-29,CAD,0.023889873,-0.06426974,0.07012043,-0.027738405
2015-06-30,CAD,0.037061807,-0.07381364,0.07062478,-0.031203736
2015-07-31,CAD,0.04417055,-0.071936876,0.0622464,-0.030168846
2015-08-31,CAD,0.046851955,-0.073555,0.062361203,-0.03134387
2015-09-30,CAD,0.033860102,-0.064724766,0.061982676,-0.02853981
2015-10-30,CAD,0.031798687,-0.06538562,0.0647719,-0.029183753
2015-11-30,CAD,0.028167333,-0.06254624,0.06474356,-0.028178437
2015-12-31,CAD,0.033557728,-0.06561351,0.06409468,-0.03016604
2016-01-29,CAD,0.033024754,-0.059107438,0.055480942,-0.02989745
2016-02-29,CAD,0.012954454,-0.043459296,0.052513804,-0.025068369
2016-03-31,CAD,0.013125095,-0.046497915,0.057108313,-0.026875062
2016-04-29,CAD,0.0065261326,-0.047742974,0.064991064,-0.025420124
2016-05-31,CAD,0.0040928526,-0.043225873,0.060658514,-0.02333969
