,RMSE_bps
AUD,8.62346076965332
CAD,9.768793106079102
DKK,8.310739517211914
EUR,8.429892539978027
GBP,9.96601390838623
JPY,8.555074691772461
NOK,8.73637580871582
SEK,8.258894920349121
USD,9.799939155578613
