ccy,RMSE_PCA_k2_bps,RMSE_PCA_k3_bps,n_obs
AUD,8.412460327148438,3.480942487716675,170
CAD,7.8420281410217285,2.433345317840576,164
DKK,7.6677422523498535,2.6763198375701904,168
EUR,7.823514938354492,2.5625479221343994,170
GBP,7.645114898681641,2.2431111335754395,127
JPY,2.9907753467559814,1.213263750076294,170
NOK,7.747997283935547,3.391308307647705,169
SEK,7.638161659240723,2.7003331184387207,170
USD,9.443412780761719,2.6060774326324463,162
