,RMSE_bps
AUD,3.9145560264587402
CAD,4.133688449859619
DKK,4.096695423126221
EUR,4.0902628898620605
GBP,2.844744920730591
JPY,5.400987148284912
NOK,4.597896575927734
SEK,3.5689926147460938
USD,3.838754415512085
