date,expiry,tenor,split,mkt_bp,sigma_str_bp,vol_error_bp,forward_bias_bp,path_frac
2010-10-29,1,1,train,44.0,25.6601926879574,-18.3398073120426,2.492909906268103,1.0
2010-10-29,1,5,train,32.7,173.31379913980223,140.6137991398022,-138.28440450773712,1.0
2010-10-29,1,10,train,28.399999999999995,165.1231042240107,136.72310422401068,-131.7491754921805,1.0
2010-10-29,5,1,train,26.9,46.62709296520077,19.727092965200768,-82.67104966779196,1.0
2010-10-29,5,5,train,22.7,81.66581870842212,58.96581870842212,-145.65330314243835,1.0
2010-10-29,5,10,train,21.6,57.250171309776114,35.65017130977611,-101.59599423739995,1.0
2010-10-29,10,1,train,18.6,20.12006595796981,1.520065957969809,-18.869803613061276,1.0
2010-10-29,10,5,train,18.3,27.45639674387854,9.156396743878538,-47.33278815568273,1.0
2010-10-29,10,10,train,19.599999999999998,21.220722602557423,1.620722602557425,18.634091714639517,1.0
2010-11-30,10,10,train,20.2,22.611549317555415,2.4115493175554157,-17.25436106363223,1.0
2010-11-30,10,5,train,18.9,38.20347889433362,19.303478894333622,-86.28755913067613,1.0
2010-11-30,10,1,train,19.5,27.548170752602907,8.048170752602907,-55.953540346982344,1.0
2010-11-30,5,10,train,21.4,79.09843703610278,57.69843703610278,-141.04955289593073,1.0
2010-11-30,1,5,train,33.1,197.0591509004555,163.9591509004555,-157.23045406839555,1.0
2010-11-30,5,1,train,26.0,64.53306775205058,38.533067752050584,-115.07052327519342,1.0
2010-11-30,1,10,train,28.5,199.69183542108522,171.19183542108522,-159.3310324008707,1.0
2010-11-30,1,1,train,52.20000000000001,25.7873935563383,-26.41260644366171,3.5606258342759944,1.0
2010-11-30,5,5,train,22.1,102.2682876535336,80.16828765353361,-182.45785166585634,1.0
2010-12-31,10,1,train,17.0,38.02417253276943,21.024172532769427,-90.05924169789405,1.0
2010-12-31,10,10,train,17.0,28.55367065041777,11.553670650417772,-49.63813398686604,1.0
2010-12-31,10,5,train,16.3,50.21523048199074,33.91523048199073,-121.83791162754098,1.0
2010-12-31,5,10,train,18.4,99.63027147441366,81.23027147441366,-177.75097569804458,1.0
2010-12-31,1,5,train,29.7,223.50586634639052,193.80586634639053,-178.33188000665373,1.0
2010-12-31,5,1,train,23.1,82.45559857909623,59.35559857909623,-147.10279122167546,1.0
2010-12-31,1,10,train,25.1,233.2461477308401,208.1461477308401,-186.10350014118163,1.0
2010-12-31,1,1,train,48.7,25.669991308240984,-23.03000869175902,1.3385158777288995,1.0
2010-12-31,5,5,train,19.3,121.74077780843314,102.44077780843314,-217.2006576072217,1.0
2011-01-31,10,10,train,17.3,26.64106770553655,9.341067705536549,-36.7352451196979,1.0
2011-01-31,10,5,train,16.9,47.005206230831526,30.105206230831527,-111.58143286302231,1.0
2011-01-31,10,1,train,18.2,36.13790083115177,17.93790083115177,-83.49087324139082,1.0
2011-01-31,5,10,train,19.4,96.74142247331159,77.34142247331158,-172.58818643378763,1.0
2011-01-31,5,5,train,20.7,120.45592885794507,99.75592885794507,-214.90832760904235,1.0
2011-01-31,1,10,train,23.0,234.82657164240976,211.82657164240976,-187.36449597974672,1.0
2011-01-31,1,5,train,28.1,242.24684919191392,214.14684919191393,-193.28502087336824,1.0
2011-01-31,1,1,train,41.8,38.61846267979481,-3.1815373202051873,-26.603349145669487,1.0
2011-01-31,5,1,train,25.3,84.20359995341894,58.90359995341895,-150.22091244720963,1.0
2011-02-28,10,1,train,17.6,34.06920665047901,16.46920665047901,-76.88810835714712,1.0
2011-02-28,10,10,train,17.7,25.614274877460296,7.914274877460297,-30.623298962885283,1.0
2011-02-28,10,5,train,16.7,44.710605952612916,28.010605952612917,-104.68581432477626,1.0
2011-02-28,5,10,train,19.9,92.53546520641018,72.63546520641017,-165.07324015035204,1.0
2011-02-28,1,5,train,27.6,236.301756290744,208.70175629074402,-188.54152303498603,1.0
2011-02-28,5,1,train,24.1,79.8315143157116,55.7315143157116,-142.41326951895877,1.0
2011-02-28,1,1,train,39.50000000000001,41.48429382859544,1.9842938285954332,-29.73649933971671,1.0
2011-02-28,5,5,train,20.5,116.14530182158272,95.64530182158272,-207.21763395772817,1.0
2011-02-28,1,10,train,23.400000000000002,226.75896987511265,203.35896987511265,-180.92748108691444,1.0
2011-03-31,1,1,train,33.6,59.95406624585399,26.354066245853986,-46.953858092004566,1.0
2011-03-31,1,5,train,24.7,256.0702641168023,231.37026411680233,-204.3145102195086,1.0
2011-03-31,1,10,train,21.4,243.17160933607667,221.77160933607666,-194.02287271484153,1.0
2011-03-31,5,1,train,22.8,89.86583585692267,67.06583585692267,-160.32832036079375,1.0
2011-03-31,5,10,train,18.7,102.88526281695074,84.18526281695074,-183.5558779121183,1.0
2011-03-31,10,1,train,16.9,39.62033837044622,22.72033837044622,-93.52939182032031,1.0
2011-03-31,10,5,train,16.0,50.10060747138633,34.10060747138633,-119.84647640878345,1.0
2011-03-31,10,10,train,16.5,28.44999471474635,11.94999471474635,-42.55618792775984,1.0
2011-03-31,5,5,train,19.3,126.39442069785385,107.09442069785385,-225.50333411420004,1.0
2011-04-29,5,10,train,18.9,95.38294694319045,76.48294694319046,-170.157359653857,1.0
2011-04-29,10,5,train,16.0,46.145444111138865,30.145444111138865,-108.32194675748414,1.0
2011-04-29,10,1,train,17.1,35.77994816555914,18.67994816555914,-81.81255789240798,1.0
2011-04-29,10,10,train,16.5,26.51440708059294,10.014407080592939,-32.90706888658986,1.0
2011-04-29,5,5,train,19.8,118.68006481342255,98.88006481342255,-211.73996574020114,1.0
2011-04-29,1,10,train,22.199999999999996,229.26201776382052,207.06201776382053,-182.9246243522647,1.0
2011-04-29,1,5,train,25.4,243.1813013279413,217.7813013279413,-194.03060580551372,1.0
2011-04-29,1,1,train,33.6,58.1835738764729,24.583573876472897,-45.42146792843409,1.0
2011-04-29,5,1,train,23.3,81.97439590784543,58.67439590784544,-146.23840282077686,1.0
2011-05-31,10,10,train,17.5,25.41795122186029,7.917951221860289,-29.824546724614418,1.0
2011-05-31,10,5,train,17.1,43.520153931720934,26.420153931720932,-101.13736916120797,1.0
2011-05-31,10,1,train,18.3,32.53165482346931,14.23165482346931,-71.879569622789,1.0
2011-05-31,5,10,train,20.0,88.25108988131048,68.25108988131048,-157.41709159195275,1.0
2011-05-31,5,5,train,21.0,110.08017776151249,89.08017776151249,-196.3966998546984,1.0
2011-05-31,1,10,train,24.5,212.45650116526414,187.95650116526414,-169.51576212196025,1.0
2011-05-31,1,5,train,29.8,220.07176941282515,190.27176941282514,-175.5918670830615,1.0
2011-05-31,1,1,train,43.1,42.30306942028313,-0.7969305797168715,-30.575011806951775,1.0
2011-05-31,5,1,train,25.6,71.7690938363345,46.169093836334504,-128.00431802783953,1.0
2011-06-30,5,10,train,18.6,99.3129610149596,80.7129610149596,-177.18007467526334,1.0
2011-06-30,10,10,train,16.1,30.221721420258678,14.121721420258677,-53.623913781303294,1.0
2011-06-30,10,5,train,15.7,51.395250889404885,35.69525088940489,-124.31649772335209,1.0
2011-06-30,5,5,train,19.9,118.66372039581219,98.76372039581219,-211.71080527057805,1.0
2011-06-30,10,1,train,16.7,38.98165340595551,22.281653405955513,-92.19725479939221,1.0
2011-06-30,1,10,train,23.2,223.61468510725638,200.4146851072564,-178.4187048158743,1.0
2011-06-30,5,1,train,23.999999999999996,77.32461152762679,53.324611527626786,-137.93318592760636,1.0
2011-06-30,1,5,train,28.2,222.60553496519907,194.40553496519908,-177.61351949799476,1.0
2011-06-30,1,1,train,40.4,40.03179879877814,-0.36820120122185784,-28.111201321324295,1.0
2011-07-29,10,10,train,18.8,24.16032062788816,5.360320627888161,-25.950717659621333,1.0
2011-07-29,10,5,train,17.9,40.55594349971802,22.65594349971802,-92.94756515520197,1.0
2011-07-29,10,1,train,19.0,29.158084274635044,10.158084274635044,-61.07178339284195,1.0
2011-07-29,5,10,train,20.7,80.61481385051944,59.91481385051944,-143.75929868074348,1.0
2011-07-29,5,5,train,22.0,101.03011512054404,79.03011512054404,-180.2467632946841,1.0
2011-07-29,5,1,train,27.2,60.751344759150186,33.55134475915018,-108.26937741920023,1.0
2011-07-29,1,10,train,27.9,192.5858434346965,164.6858434346965,-153.66127110574223,1.0
2011-07-29,1,5,train,34.4,191.54237046598917,157.14237046598916,-152.82870013439552,1.0
2011-07-29,1,1,train,53.8,28.66898762465562,-25.131012375344376,-11.910299083872484,1.0
2011-08-31,10,10,train,19.8,22.030845457411914,2.230845457411913,-14.96393584720856,1.0
2011-08-31,10,5,train,18.7,35.80954557557594,17.10954557557594,-78.99451893080922,1.0
2011-08-31,10,1,train,20.1,24.93117384399693,4.831173843996929,-46.099973709760924,1.0
2011-08-31,5,10,train,22.199999999999996,71.11019284222101,48.910192842221015,-126.72946353392824,1.0
2011-08-31,5,5,train,23.6,91.44223318733599,67.84223318733598,-163.13082382077715,1.0
2011-08-31,5,1,train,29.2,50.18834645039478,20.988346450394783,-89.21107097921153,1.0
2011-08-31,1,10,train,33.6,172.2026251486494,138.6026251486494,-137.3978159358306,1.0
2011-08-31,1,5,train,42.4,162.93366257030704,120.53366257030703,-130.0022537999117,1.0
2011-08-31,1,1,train,75.4,27.560511579109583,-47.83948842089042,10.433585720868274,1.0
2011-09-30,10,10,train,23.8,23.14453526622804,-0.6554647337719608,39.740834917460404,1.0
2011-09-30,10,5,train,22.3,22.394441137640275,0.09444113764027406,-20.359403619107365,1.0
2011-09-30,10,1,train,23.400000000000002,18.3925005876155,-5.007499412384501,9.426035730654695,1.0
2011-09-30,5,10,train,26.9,39.91353286679084,13.01353286679084,-68.54795123356233,1.0
2011-09-30,5,5,train,27.8,61.79825339186349,33.998253391863486,-109.93606887091909,1.0
2011-09-30,5,1,train,33.4,27.3147683782317,-6.085231621768298,-44.267418691034486,1.0
2011-09-30,1,10,train,40.0,123.28838162304987,83.28838162304987,-98.35332963112687,1.0
2011-09-30,1,5,train,43.1,130.47118774586727,87.37118774586727,-104.08486234032453,1.0
2011-09-30,1,1,train,69.4,28.265820323976065,-41.13417967602394,12.295981808270463,1.0
2011-10-31,10,5,train,22.0,22.84564217314748,0.8456421731474784,-24.88408066691137,1.0
2011-10-31,10,1,train,23.1,18.236156176898888,-4.863843823101114,6.317386215330313,1.0
2011-10-31,5,10,train,26.2,40.83333078264396,14.633330782643963,-70.46744135764563,1.0
2011-10-31,5,5,train,27.5,61.536467195414936,34.036467195414936,-109.47049146873694,1.0
2011-10-31,10,10,train,23.6,22.10910672360613,-1.490893276393873,33.862985157207206,1.0
2011-10-31,1,10,train,37.3,118.84649957248699,81.546499572487,-94.80344884781422,1.0
2011-10-31,1,5,train,43.79999999999999,120.12136304243272,76.32136304243272,-95.81236474482519,1.0
2011-10-31,1,1,train,73.9,31.976795570929063,-41.92320442907094,18.899411059977748,1.0
