as_of_date,ccy,z_1
2023-09-29,AUD,0.66005623
2023-10-31,AUD,0.7213862
2023-11-30,AUD,0.6649382
2023-12-29,AUD,0.59383893
2024-01-31,AUD,0.59329855
2024-02-29,AUD,0.6185365
2010-01-29,CAD,0.39659023
2010-02-26,CAD,0.39584643
2010-03-31,CAD,0.4293251
2010-04-30,CAD,0.45022526
2010-05-31,CAD,0.4296195
2010-06-30,CAD,0.39843178
2010-07-30,CAD,0.39597255
2010-08-31,CAD,0.35266078
2010-09-30,CAD,0.35708618
2010-10-29,CAD,0.365088
2010-11-30,CAD,0.39070305
2010-12-31,CAD,0.4054314
2011-01-31,CAD,0.41435754
2011-02-28,CAD,0.43219745
2011-03-31,CAD,0.44129074
2011-04-29,CAD,0.4263094
2011-05-31,CAD,0.40043893
2011-06-30,CAD,0.4059383
2011-07-29,CAD,0.37335485
2011-08-31,CAD,0.32135502
2011-09-30,CAD,0.2865599
2011-10-31,CAD,0.31213292
2011-11-30,CAD,0.28885293
2011-12-30,CAD,0.2783266
2012-01-31,CAD,0.27944803
2012-02-29,CAD,0.30492982
2012-03-30,CAD,0.31975698
2012-04-30,CAD,0.3288864
2012-05-31,CAD,0.26984352
2012-06-29,CAD,0.28085175
2012-07-31,CAD,0.28046688
2012-08-31,CAD,0.28502366
2012-09-28,CAD,0.27858487
2012-10-31,CAD,0.28346577
2012-11-30,CAD,0.27911294
2012-12-31,CAD,0.2912798
2013-01-31,CAD,0.30723464
2013-02-28,CAD,0.29089218
2013-03-29,CAD,0.2962797
2013-04-30,CAD,0.28121
2013-05-31,CAD,0.3143065
2013-06-28,CAD,0.34793544
2013-07-31,CAD,0.34850925
2013-08-30,CAD,0.359281
2013-09-30,CAD,0.35569805
2013-10-31,CAD,0.34475788
2013-11-29,CAD,0.34850514
2013-12-31,CAD,0.36191973
2014-01-31,CAD,0.32863295
2014-02-28,CAD,0.3311689
2014-03-31,CAD,0.33595693
2014-04-30,CAD,0.33284742
2014-05-30,CAD,0.32082164
2014-06-30,CAD,0.32659835
2014-07-31,CAD,0.31966758
2014-08-29,CAD,0.30988616
2014-09-30,CAD,0.31838906
2014-10-31,CAD,0.30836898
2014-11-28,CAD,0.295999
2014-12-31,CAD,0.29281974
2015-01-30,CAD,0.20870453
2015-02-27,CAD,0.22243407
2015-03-31,CAD,0.22799791
2015-04-30,CAD,0.2526586
2015-05-29,CAD,0.25120428
2015-06-30,CAD,0.25785536
2015-07-31,CAD,0.23038831
2015-08-31,CAD,0.23138437
2015-09-30,CAD,0.22692293
2015-10-30,CAD,0.23613909
2015-11-30,CAD,0.2352005
2015-12-31,CAD,0.23441833
2016-01-29,CAD,0.20517601
2016-02-29,CAD,0.19065648
2016-03-31,CAD,0.20601757
2016-04-29,CAD,0.23176768
2016-05-31,CAD,0.21665901
2016-06-30,CAD,0.18715054
