currency,as_of_date,option_maturity,swap_tenor,vol
EUR,2011-02-28,1.0,1.0,39.5
EUR,2011-01-31,1.0,1.0,41.8
EUR,2010-12-31,1.0,1.0,48.7
EUR,2010-11-30,1.0,1.0,52.2
EUR,2010-10-29,1.0,1.0,44.0
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,,1.0,1.0,
EUR,2026-02-27,1.0,5.0,20.4
EUR,2026-01-30,1.0,5.0,19.6
EUR,2025-12-31,1.0,5.0,20.4
EUR,2025-11-28,1.0,5.0,20.1
EUR,2025-10-31,1.0,5.0,21.9
EUR,2025-09-30,1.0,5.0,22.1
EUR,2025-08-29,1.0,5.0,24.9
EUR,2025-07-31,1.0,5.0,25.0
EUR,2025-06-30,1.0,5.0,28.2
EUR,2025-05-30,1.0,5.0,30.6
EUR,2025-04-30,1.0,5.0,33.8
EUR,2025-03-31,1.0,5.0,32.8
EUR,2025-02-28,1.0,5.0,33.8
EUR,2025-01-31,1.0,5.0,32.3
EUR,2024-12-31,1.0,5.0,34.7
EUR,2024-11-29,1.0,5.0,37.4
EUR,2024-10-31,1.0,5.0,35.4
EUR,2024-09-30,1.0,5.0,35.7
EUR,2024-08-30,1.0,5.0,35.1
EUR,2024-07-31,1.0,5.0,35.8
EUR,2024-06-28,1.0,5.0,32.6
EUR,2024-05-31,1.0,5.0,30.2
EUR,2024-04-30,1.0,5.0,33.0
EUR,2024-03-29,1.0,5.0,36.2
EUR,2024-02-29,1.0,5.0,37.1
EUR,2024-01-31,1.0,5.0,42.7
EUR,2023-12-29,1.0,5.0,46.6
EUR,2023-11-30,1.0,5.0,38.1
EUR,2023-10-31,1.0,5.0,34.7
EUR,2023-09-29,1.0,5.0,32.2
EUR,2023-08-31,1.0,5.0,38.9
EUR,2023-07-31,1.0,5.0,36.4
EUR,2023-06-30,1.0,5.0,36.3
EUR,2023-05-31,1.0,5.0,40.4
EUR,2023-04-28,1.0,5.0,42.4
EUR,2023-03-31,1.0,5.0,39.8
EUR,2023-02-28,1.0,5.0,34.1
EUR,2023-01-31,1.0,5.0,35.7
EUR,2022-12-30,1.0,5.0,39.6
EUR,2022-11-30,1.0,5.0,49.8
EUR,2022-10-31,1.0,5.0,46.9
EUR,2022-09-30,1.0,5.0,53.1
EUR,2022-08-31,1.0,5.0,60.7
EUR,2022-07-29,1.0,5.0,83.7
EUR,2022-06-30,1.0,5.0,57.2
EUR,2022-05-31,1.0,5.0,54.9
EUR,2022-04-29,1.0,5.0,62.7
EUR,2022-03-31,1.0,5.0,82.4
EUR,2022-02-28,1.0,5.0,107.7
EUR,2017-01-31,1.0,5.0,186.9
EUR,2016-12-30,1.0,5.0,659.5
EUR,2016-11-30,1.0,5.0,177.0
EUR,2016-10-31,1.0,5.0,239.2
EUR,2016-09-30,1.0,5.0,93.8
EUR,2016-08-31,1.0,5.0,114.5
EUR,2016-07-29,1.0,5.0,92.4
EUR,2016-06-30,1.0,5.0,77.9
EUR,2016-05-31,1.0,5.0,68.1
EUR,2016-04-29,1.0,5.0,61.1
EUR,2016-03-31,1.0,5.0,78.6
EUR,2016-02-29,1.0,5.0,65.3
EUR,2016-01-29,1.0,5.0,81.7
EUR,2015-12-31,1.0,5.0,77.4
EUR,2015-11-30,1.0,5.0,57.3
EUR,2015-10-30,1.0,5.0,63.5
EUR,2015-09-30,1.0,5.0,57.2
EUR,2015-08-31,1.0,5.0,53.8
EUR,2015-07-31,1.0,5.0,72.6
EUR,2015-06-30,1.0,5.0,85.6
EUR,2015-05-29,1.0,5.0,92.3
EUR,2015-04-30,1.0,5.0,87.5
EUR,2015-03-31,1.0,5.0,115.6
EUR,2015-02-27,1.0,5.0,81.9
EUR,2015-01-30,1.0,5.0,90.5
EUR,2014-12-31,1.0,5.0,119.7
EUR,2014-11-28,1.0,5.0,118.8
EUR,2014-10-31,1.0,5.0,129.2
EUR,2014-09-30,1.0,5.0,207.8
EUR,2014-08-29,1.0,5.0,119.7
EUR,2014-07-31,1.0,5.0,198.2
EUR,2014-06-30,1.0,5.0,181.4
EUR,2014-05-30,1.0,5.0,0.0
EUR,2014-04-30,1.0,5.0,0.0
EUR,2014-03-31,1.0,5.0,0.0
EUR,2014-02-28,1.0,5.0,0.0
EUR,2014-01-31,1.0,5.0,0.0
EUR,2013-12-31,1.0,5.0,0.0
EUR,2013-11-29,1.0,5.0,205.5
EUR,2013-10-31,1.0,5.0,391.6
EUR,2013-09-30,1.0,5.0,0.0
EUR,2013-08-30,1.0,5.0,211.6
EUR,2013-07-31,1.0,5.0,79.5
EUR,2013-06-28,1.0,5.0,128.5
EUR,2013-05-31,1.0,5.0,91.0
EUR,2013-04-30,1.0,5.0,85.0
EUR,2013-03-29,1.0,5.0,70.2
EUR,2013-02-28,1.0,5.0,76.4
EUR,2013-01-31,1.0,5.0,66.7
EUR,2012-12-31,1.0,5.0,83.5
EUR,2012-11-30,1.0,5.0,93.8
EUR,2012-10-31,1.0,5.0,104.8
EUR,2012-09-28,1.0,5.0,91.8
EUR,2012-08-31,1.0,5.0,83.6
EUR,2012-07-31,1.0,5.0,75.1
EUR,2012-06-29,1.0,5.0,66.8
EUR,2012-05-31,1.0,5.0,54.9
EUR,2012-04-30,1.0,5.0,56.5
EUR,2012-03-30,1.0,5.0,59.1
EUR,2012-02-29,1.0,5.0,50.2
EUR,2012-01-31,1.0,5.0,50.2
EUR,2011-12-30,1.0,5.0,48.0
EUR,2011-11-30,1.0,5.0,47.5
EUR,2011-10-31,1.0,5.0,47.8
EUR,2011-09-30,1.0,5.0,46.5
EUR,2011-08-31,1.0,5.0,48.1
EUR,2011-07-29,1.0,5.0,43.9
EUR,2011-06-30,1.0,5.0,49.0
EUR,2011-05-31,1.0,5.0,47.9
EUR,2011-04-29,1.0,5.0,47.7
EUR,2011-03-31,1.0,5.0,49.1
EUR,2011-02-28,1.0,5.0,47.0
EUR,2011-01-31,1.0,5.0,50.4
EUR,2010-12-31,1.0,5.0,51.7
EUR,2010-11-30,1.0,5.0,52.9
EUR,2010-10-29,1.0,5.0,51.2
EUR,,1.0,5.0,51.8
EUR,,1.0,5.0,44.9
EUR,,1.0,5.0,56.6
EUR,,1.0,5.0,51.3
EUR,,1.0,5.0,48.7
EUR,,1.0,5.0,51.4
EUR,,1.0,5.0,56.3
EUR,,1.0,5.0,55.5
EUR,,1.0,5.0,45.2
EUR,,1.0,5.0,54.2
EUR,,1.0,5.0,40.4
EUR,,1.0,5.0,38.3
EUR,,1.0,5.0,40.4
EUR,,1.0,5.0,42.5
EUR,,1.0,5.0,43.5
EUR,,1.0,5.0,41.2
EUR,,1.0,5.0,43.8
EUR,,1.0,5.0,43.1
EUR,,1.0,5.0,42.4
EUR,,1.0,5.0,34.4
EUR,,1.0,5.0,28.2
EUR,,1.0,5.0,29.8
EUR,,1.0,5.0,25.4
EUR,,1.0,5.0,24.7
EUR,,1.0,5.0,27.6
EUR,,1.0,5.0,28.1
EUR,,1.0,5.0,29.7
EUR,,1.0,5.0,33.1
EUR,,1.0,5.0,32.7
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,,1.0,5.0,
EUR,2026-02-27,11.0,0.0,18.9
EUR,2026-01-30,11.0,0.0,18.2
EUR,2025-12-31,11.0,0.0,19.4
EUR,2025-11-28,11.0,0.0,19.1
EUR,2025-10-31,11.0,0.0,20.9
EUR,2025-09-30,11.0,0.0,22.0
EUR,2025-08-29,11.0,0.0,23.9
EUR,2025-07-31,11.0,0.0,23.6
EUR,2025-06-30,11.0,0.0,25.4
EUR,2025-05-30,11.0,0.0,27.7
EUR,2025-04-30,11.0,0.0,29.1
EUR,2025-03-31,11.0,0.0,28.9
EUR,2025-02-28,11.0,0.0,30.8
EUR,2025-01-31,11.0,0.0,28.3
EUR,2024-12-31,11.0,0.0,31.1
EUR,2024-11-29,11.0,0.0,33.2
EUR,2024-10-31,11.0,0.0,32.1
EUR,2024-09-30,11.0,0.0,31.4
EUR,2024-08-30,11.0,0.0,31.7
EUR,2024-07-31,11.0,0.0,32.1
EUR,2024-06-28,11.0,0.0,30.9
EUR,2024-05-31,11.0,0.0,29.0
EUR,2024-04-30,11.0,0.0,32.3
EUR,2024-03-29,11.0,0.0,33.7
EUR,2024-02-29,11.0,0.0,34.4
EUR,2024-01-31,11.0,0.0,37.1
EUR,2023-12-29,11.0,0.0,40.9
EUR,2023-11-30,11.0,0.0,33.9
EUR,2023-10-31,11.0,0.0,32.4
EUR,2023-09-29,11.0,0.0,30.9
EUR,2023-08-31,11.0,0.0,35.4
EUR,2023-07-31,11.0,0.0,32.5
EUR,2023-06-30,11.0,0.0,34.2
EUR,2023-05-31,11.0,0.0,36.4
EUR,2023-04-28,11.0,0.0,36.5
EUR,2023-03-31,11.0,0.0,36.1
EUR,2023-02-28,11.0,0.0,33.2
EUR,2023-01-31,11.0,0.0,35.5
EUR,2022-12-30,11.0,0.0,38.3
EUR,2022-11-30,11.0,0.0,48.4
EUR,2022-10-31,11.0,0.0,46.5
EUR,2022-09-30,11.0,0.0,49.3
EUR,2022-08-31,11.0,0.0,50.7
EUR,2022-07-29,11.0,0.0,61.4
EUR,2022-06-30,11.0,0.0,46.0
EUR,2022-05-31,11.0,0.0,45.0
EUR,2022-04-29,11.0,0.0,52.7
EUR,2022-03-31,11.0,0.0,62.5
EUR,2022-02-28,11.0,0.0,75.2
EUR,2017-01-31,11.0,0.0,115.3
EUR,2016-12-30,11.0,0.0,161.8
EUR,2016-11-30,11.0,0.0,608.4
EUR,2016-10-31,11.0,0.0,194.7
EUR,2016-09-30,11.0,0.0,188.4
EUR,2016-08-31,11.0,0.0,704.0
EUR,2016-07-29,11.0,0.0,250.5
EUR,2016-06-30,11.0,0.0,237.2
EUR,2016-05-31,11.0,0.0,234.2
EUR,2016-04-29,11.0,0.0,573.5
EUR,2016-03-31,11.0,0.0,564.6
EUR,2016-02-29,11.0,0.0,547.6
EUR,2016-01-29,11.0,0.0,767.0
EUR,2015-12-31,11.0,0.0,149.3
EUR,2015-11-30,11.0,0.0,552.9
EUR,2015-10-30,11.0,0.0,502.4
EUR,2015-09-30,11.0,0.0,584.8
EUR,2015-08-31,11.0,0.0,134.7
EUR,2015-07-31,11.0,0.0,82.1
EUR,2015-06-30,11.0,0.0,56.7
EUR,2015-05-29,11.0,0.0,61.9
EUR,2015-04-30,11.0,0.0,43.7
EUR,2015-03-31,11.0,0.0,46.5
EUR,2015-02-27,11.0,0.0,42.4
EUR,2015-01-30,11.0,0.0,39.8
EUR,2014-12-31,11.0,0.0,38.6
EUR,2014-11-28,11.0,0.0,35.3
EUR,2014-10-31,11.0,0.0,40.3
EUR,2014-09-30,11.0,0.0,36.6
EUR,2014-08-29,11.0,0.0,41.9
EUR,2014-07-31,11.0,0.0,42.1
EUR,2014-06-30,11.0,0.0,36.1
