expiry,tenor,forward_swap_0,annuity_0,strike,payer_price,receiver_price,mc_price,mc_stderr,mc_std,forward_bias,implied_vol,implied_vol_bps,valid_paths,total_paths,mean_annuity_expiry,mean_swap_rate_expiry,mean_discount_to_expiry,success,structure,date,pricing_date
1,1,0.029693221602892048,0.9368041117303996,0.029693221602892048,0.01948399101545782,0.031382951918244625,0.025433471466851224,0.0007941419686264569,,-0.012701653156504478,0.06805292366092555,680.5292366092555,5665,10000,0.9816864264638365,0.026547047406843903,0.9690731256701862,True,1x1,2024-02-29,2024-02-29
1,5,0.025431900136815146,4.46701836774774,0.025431900136815146,0.09242876988179478,0.18768138188697006,0.14005507588438243,0.0033956126831089996,,-0.021323532648288932,0.07859068047539505,785.9068047539505,5665,10000,4.86721174719877,0.02406786634793413,0.9690731256701862,True,1x5,2024-02-29,2024-02-29
1,10,0.026347243815018274,8.398722943600967,0.026347243815018274,0.18473143253637872,0.31101001730039773,0.24787072491838824,0.0049437710048112465,,-0.015035450700303354,0.07397788588884238,739.7788588884238,5665,10000,9.427690359654122,0.036001707686235736,0.9690731256701862,True,1x10,2024-02-29,2024-02-29
5,1,0.02495675812011124,0.8510160787806312,0.02495675812011124,0.03242646938001502,0.01704482714302325,0.024735648261519135,0.0008533551825935084,,0.018074443739102063,0.03258295458679855,325.82954586798553,5097,10000,0.9499381727830908,0.060299876584666956,0.7983241849932285,True,5x1,2024-02-29,2024-02-29
5,5,0.026641962765793243,4.039383011945191,0.026641962765793243,0.1278933299716889,0.10092074385992354,0.11440703691580623,0.0027929033228374566,,0.006677402472605967,0.03174991998089377,317.4991998089377,5097,10000,4.4075281862803495,0.05793210090593751,0.7983241849932285,True,5x5,2024-02-29,2024-02-29
5,10,0.027412159681098284,7.556291840328706,0.027412159681098284,0.21896548793577292,0.1749274718766218,0.19694647990619735,0.004007426299768407,,0.005827993014260738,0.029217592790241068,292.17592790241065,5097,10000,8.015240525294354,0.06317333628760886,0.7983241849932285,True,5x10,2024-02-29,2024-02-29
10,1,0.02865447073062654,0.7433376426886681,0.02865447073062654,0.02750420796901228,0.01490138316384833,0.021202795566430305,0.0011435564924348412,,0.01695437454180211,0.022609811108190762,226.09811108190763,4768,10000,0.9368425594777664,0.07433951839740334,0.6371949449816988,True,10x1,2024-02-29,2024-02-29
10,5,0.028296777533692932,3.5169088283835155,0.028296777533692932,0.10943907011442416,0.07524479312318537,0.09234193161880477,0.0025814501469957644,,0.00972282156286536,0.020812669088535532,208.12669088535532,4768,10000,4.21341195176487,0.07130452619716535,0.6371949449816988,True,10x5,2024-02-29,2024-02-29
10,10,0.02681090384174561,6.601535953085333,0.02681090384174561,0.1903473016199035,0.13096554318452622,0.16065642240221484,0.003884122302754431,,0.008995142775466407,0.019290479941863593,192.90479941863595,4768,10000,7.464453673164373,0.07459237976944931,0.6371949449816988,True,10x10,2024-02-29,2024-02-29
1,1,0.02582463723847766,0.9431594755787068,0.02582463723847766,0.021277498038478938,0.029326843018092283,0.02530217052828561,0.0007408285055260713,,-0.008534447448215904,0.06724539984801672,672.4539984801672,5555,10000,0.9814945394730905,0.026527767448080598,0.9700065422974432,True,1x1,2024-01-31,2024-01-31
1,5,0.022404368556773444,4.523748860925764,0.022404368556773444,0.09977392016646675,0.17533943135802832,0.13755667576224753,0.003404314855767179,,-0.01670417910336814,0.07622073272196106,762.2073272196106,5555,10000,4.856153008380895,0.024859555427862823,0.9700065422974432,True,1x5,2024-01-31,2024-01-31
1,10,0.024138737043728074,8.541800987129141,0.024138737043728074,0.19430761383416165,0.2975047729013331,0.24590619336774738,0.004927308517447523,,-0.012081428638137298,0.07216223114203475,721.6223114203475,5555,10000,9.40244484389029,0.036180494015572044,0.9700065422974432,True,1x10,2024-01-31,2024-01-31
5,1,0.022953535593486413,0.8661644901550949,0.022953535593486413,0.03347672934029233,0.014256510244904083,0.023866619792598208,0.0005517738003459121,,0.022190033548877868,0.03088840418259786,308.8840418259786,5069,10000,0.9473106904767976,0.06083730496920824,0.798752836753978,True,5x1,2024-01-31,2024-01-31
5,5,0.025123673215286524,4.122888677373079,0.025123673215286524,0.1311674623525484,0.08699648400235711,0.10908197317745275,0.0023677144618744136,,0.010713599567363303,0.029658986665462725,296.58986665462726,5069,10000,4.3667739468215405,0.05850193330932624,0.798752836753978,True,5x5,2024-01-31,2024-01-31
5,10,0.026425768987666187,7.7274765628496285,0.026425768987666187,0.2220905116905445,0.16242028165133804,0.19225539667094127,0.003859312655191796,,0.007721826077878407,0.02788982408115766,278.8982408115766,5069,10000,7.925638642255,0.06311231134459305,0.798752836753978,True,5x10,2024-01-31,2024-01-31
10,1,0.027761992839948527,0.7613279389853925,0.027761992839948527,0.028003299191309408,0.012085342044671621,0.020044320617990514,0.0005791327988076771,,0.020908147897279787,0.020869378095625894,208.69378095625893,4745,10000,0.9345596514065444,0.07505516497325485,0.6401135392047538,True,10x1,2024-01-31,2024-01-31
10,5,0.027915092063524473,3.6045878854765503,0.027915092063524473,0.11074398376002441,0.07719636858723343,0.09397017617362892,0.0027889411327784303,,0.009306921134579512,0.020664474065975012,206.6447406597501,4745,10000,4.217655770129226,0.0710367184103449,0.6401135392047538,True,10x5,2024-01-31,2024-01-31
10,10,0.026969122188545164,6.760677606581508,0.026969122188545164,0.19126027170094473,0.13808247743031365,0.1646713745656292,0.004532989848039829,,0.007865749169707868,0.019307134341531446,193.07134341531446,4745,10000,7.485376156787085,0.07465805072008762,0.6401135392047538,True,10x10,2024-01-31,2024-01-31
1,1,0.024728371584356548,0.9439854054654904,0.024728371584356548,0.021812388172412784,0.03011806594807683,0.025965227060244806,0.0008230883015425142,,-0.008798523502138698,0.06894722304984083,689.4722304984083,5574,10000,0.9827404122083342,0.026145416249219563,0.9703600183837118,True,1x1,2023-12-29,2023-12-29
1,5,0.021176667886611447,4.539443700787333,0.021176667886611447,0.10273072247562208,0.17837799288407882,0.14055435767985044,0.003501397064419478,,-0.0166644363042406,0.07761248961448847,776.1248961448847,5574,10000,4.879828159349057,0.02443045378527635,0.9703600183837118,True,1x5,2023-12-29,2023-12-29
1,10,0.023139009544820094,8.590003457493236,0.023139009544820094,0.19814487923134202,0.2950416271192573,0.24659325317529968,0.00481237168388267,,-0.011280175656203055,0.07195778486017373,719.5778486017374,5574,10000,9.439006519814065,0.03587255698572196,0.9703600183837118,True,1x10,2023-12-29,2023-12-29
5,1,0.021973907813408397,0.8711983357005068,0.021973907813408397,0.03390241737903235,0.015385194897931949,0.02464380613848215,0.0005890286512059571,,0.021254887345728467,0.031709958865736486,317.09958865736485,5076,10000,0.9487966903897491,0.06002409824200794,0.8007185194388508,True,5x1,2023-12-29,2023-12-29
5,5,0.02430514644153499,4.153193637057333,0.02430514644153499,0.13236656548574932,0.09792849913110241,0.11514753230842587,0.0029120666705220433,,0.008291948164267957,0.031079740728675014,310.7974072867501,5076,10000,4.399136165908964,0.05745160824195525,0.8007185194388508,True,5x5,2023-12-29,2023-12-29
