date,expiry,tenor,split,sigma_mkt,sigma_adj,sigma_atm,forward_bias_bp,F0,F_model,n_surv
2010-10-29,1,1,train,44.0,690.6976057526085,632.8555938175957,-44.3437908931286,0.014056870713829994,0.009622491624517135,0.6201171875
2010-10-29,1,5,train,32.7,1311.1932663474288,490.0230573857291,-530.4207167308654,0.022289644926786423,-0.03075242674630011,0.56396484375
2010-10-29,1,10,train,28.399999999999995,821.0787632391456,498.5976119523832,-251.7545914229613,0.02772747538983822,0.0025520162475420882,0.552734375
2010-10-29,5,1,train,26.9,314.1376074167407,413.81378805082,169.09355894503662,0.014056870713829994,0.030966226608333657,0.54296875
2010-10-29,5,5,train,22.7,409.1745289866391,303.6063792041821,-187.00686860636526,0.022289644926786423,0.003588958066149898,0.53759765625
2010-10-29,5,10,train,21.6,265.7252995580255,258.44060602021364,-14.547875811471226,0.02772747538983822,0.026272687808691096,0.50439453125
2010-10-29,10,1,train,18.6,202.03271197495002,252.34987232667532,148.7153702254203,0.014056870713829994,0.028928407736372022,0.50927734375
2010-10-29,10,5,train,18.3,246.02854015703554,201.29211381129673,-137.38529709841592,0.022289644926786423,0.008551115216944832,0.4873046875
2010-10-29,10,10,train,19.599999999999998,188.14703836035505,164.46060522221282,-83.39721478413962,0.02772747538983822,0.019387753911424256,0.48095703125
2010-11-30,1,1,train,52.20000000000001,679.801935641168,627.5195082932378,-41.02879267259059,0.013607246801257133,0.009504367533998075,0.619140625
2010-11-30,1,5,train,33.1,1074.5788871676475,472.8638526869672,-407.7476463929415,0.02353457733988762,-0.01724018729940653,0.58984375
2010-11-30,1,10,train,28.5,805.0395670167952,464.91590191635174,-276.1823244035758,0.03001280687749386,0.002394574437136275,0.55126953125
2010-11-30,5,1,train,26.0,322.6133939603126,417.5884620002871,160.37532558775865,0.013607246801257133,0.029644779360033,0.56103515625
2010-11-30,5,5,train,22.1,404.81272455145904,286.5797941429533,-211.68164819320538,0.02353457733988762,0.002366412520567081,0.54052734375
2010-11-30,5,10,train,21.4,283.2502016114756,258.3777150584234,-48.32168847428438,0.03001280687749386,0.02518063803006542,0.5107421875
2010-11-30,10,1,train,19.5,206.01437831294908,266.684340662902,174.6840477902686,0.013607246801257133,0.031075651580283994,0.513671875
2010-11-30,10,5,train,18.9,263.5926887389873,192.9697128886986,-217.80227954108457,0.02353457733988762,0.0017543493857791609,0.5126953125
2010-11-30,10,10,train,20.2,177.97595633230557,159.77769903748023,-62.15366624338164,0.03001280687749386,0.023797440253155694,0.494140625
2010-12-31,1,1,train,48.7,699.8803063889378,640.2069277299373,-46.425469568183495,0.013413283042609692,0.008770736085791342,0.6142578125
2010-12-31,1,5,train,29.7,1297.1615310646973,478.8953608457107,-522.5751125425113,0.02513035200536251,-0.027127159248888616,0.59130859375
2010-12-31,1,10,train,25.1,761.1907931519193,454.8951734457663,-245.94360226922265,0.0323600247502327,0.007765664523310432,0.568359375
2010-12-31,5,1,train,23.1,317.13472969064253,400.90411357683627,148.00127688308842,0.013413283042609692,0.028213410730918535,0.5556640625
2010-12-31,5,5,train,19.3,430.0416005433285,298.04169356993793,-232.36366438213577,0.02513035200536251,0.0018939855671489328,0.533203125
2010-12-31,5,10,train,18.4,285.8480659889973,251.22594510957836,-67.8811444511418,0.0323600247502327,0.025571910305118517,0.517578125
2010-12-31,10,1,train,17.0,216.55016680098694,262.7035343448814,134.66527001223847,0.013413283042609692,0.026879810043833538,0.48828125
2010-12-31,10,5,train,16.3,221.53818289540968,189.71875633434644,-100.59922921200439,0.02513035200536251,0.015070429084162071,0.50927734375
2010-12-31,10,10,train,17.0,181.33285304168234,159.20527858663962,-75.8001444601052,0.0323600247502327,0.024780010304222177,0.4736328125
2011-01-31,1,1,train,41.8,686.0521382941589,603.9136509769459,-63.50924885602439,0.017655368894338608,0.011304444008736168,0.6240234375
2011-01-31,1,5,train,28.1,1691.182364838029,431.99796029807044,-754.7095919198364,0.028440134599804878,-0.04703082459217876,0.578125
2011-01-31,1,10,train,23.0,770.830289574622,426.8749812161276,-275.8548804375501,0.03437197953462601,0.006786491490870995,0.57177734375
2011-01-31,5,1,train,25.3,308.7872656707693,401.4628832698365,158.23775788848664,0.017655368894338608,0.03347914468318727,0.5546875
2011-01-31,5,5,train,20.7,387.3155689786275,271.12217480379974,-208.67580355996333,0.028440134599804878,0.007572554243808545,0.53564453125
2011-01-31,5,10,train,19.4,271.7689839738044,243.95122944521273,-54.628243616563935,0.03437197953462601,0.028909155172969613,0.50927734375
2011-01-31,10,1,train,18.2,217.62239072223642,249.7553975100592,93.72583008631429,0.017655368894338608,0.027027951902970037,0.52392578125
2011-01-31,10,5,train,16.9,242.10154982429427,172.9946136860827,-221.07608703350655,0.028440134599804878,0.006332525896454222,0.50537109375
2011-01-31,10,10,train,17.3,178.15926473997206,156.50522541100545,-73.62189883791038,0.03437197953462601,0.02700978965083497,0.498046875
2011-02-28,1,1,train,39.50000000000001,674.8572973952946,582.89872227952,-76.3004009052892,0.01846953108906746,0.01083949099853854,0.62646484375
2011-02-28,1,5,train,27.6,1343.8224372738293,427.94016250635747,-586.7498871123493,0.028433332219719887,-0.030241656491515043,0.60302734375
2011-02-28,1,10,train,23.400000000000002,817.263253661386,432.1284887850384,-303.27731791923463,0.03411491960287094,0.0037871878109474767,0.57421875
2011-02-28,5,1,train,24.1,306.2189615741423,373.16859022973847,119.97854985816764,0.01846953108906746,0.030467386074884223,0.54638671875
2011-02-28,5,5,train,20.5,365.0823241292269,295.0886480621807,-121.55195764545739,0.028433332219719887,0.016278136455174147,0.5322265625
