date,expiry,tenor,split,sigma_mkt,pred_adj,pred_atm,err_adj,err_atm
2010-10-29,1,1,train,44.0,49.916816196182666,74.8219228957214,5.9168161961826655,30.8219228957214
2010-10-29,1,5,train,32.7,94.76012762867435,57.93496616766616,62.06012762867435,25.23496616766616
2010-10-29,1,10,train,28.399999999999995,59.339481367592136,58.94872770650509,30.93948136759214,30.548727706505094
2010-10-29,5,1,train,26.9,42.84583511365167,52.80902586269827,15.945835113651668,25.90902586269827
2010-10-29,5,5,train,22.7,55.80810443497811,38.74485963117502,33.10810443497812,16.04485963117502
2010-10-29,5,10,train,21.6,36.24278692390055,32.98100991651052,14.642786923900552,11.381009916510521
2010-10-29,10,1,train,18.6,30.358757100568727,34.53130836605682,11.758757100568726,15.931308366056818
2010-10-29,10,5,train,18.3,36.96985808595716,27.5446149014696,18.669858085957163,9.2446149014696
2010-10-29,10,10,train,19.599999999999998,28.272204936206688,22.504627486574904,8.67220493620669,2.904627486574906
2010-11-30,1,1,train,52.20000000000001,49.12938453613747,74.19104251231508,3.070615463862538,21.99104251231507
2010-11-30,1,5,train,33.1,77.6599721097895,55.90624950075983,44.559972109789506,22.806249500759826
2010-11-30,1,10,train,28.5,58.18032632912464,54.96657074063279,29.68032632912464,26.46657074063279
2010-11-30,5,1,train,26.0,44.00186401350454,53.29073251428085,18.001864013504537,27.290732514280847
2010-11-30,5,5,train,22.1,55.21318950210988,36.572004601169496,33.113189502109876,14.472004601169495
2010-11-30,5,10,train,21.4,38.63304216885408,32.97298405917176,17.233042168854084,11.572984059171759
2010-11-30,10,1,train,19.5,30.957068334572316,36.492822916541485,11.457068334572316,16.992822916541485
2010-11-30,10,5,train,18.9,39.609161965340256,26.405785743544907,20.709161965340257,7.505785743544909
2010-11-30,10,10,train,20.2,26.743831606358004,21.863823209468,6.543831606358005,1.6638232094679992
2010-12-31,1,1,train,48.7,50.580451303689316,75.69106420464449,1.8804513036893127,26.991064204644488
2010-12-31,1,5,train,29.7,93.74605208361959,56.61934904954645,64.04605208361959,26.91934904954645
2010-12-31,1,10,train,25.1,55.01136907893118,53.7818294184265,29.91136907893118,28.681829418426496
2010-12-31,5,1,train,23.1,43.25461841030641,51.16155216109242,20.154618410306412,28.061552161092422
2010-12-31,5,5,train,19.3,58.654204634743756,38.034719862848846,39.35420463474375,18.734719862848845
2010-12-31,5,10,train,18.4,38.9873699097516,32.06030783837303,20.5873699097516,13.66030783837303
2010-12-31,10,1,train,17.0,32.54024484319122,35.94809329474415,15.540244843191218,18.948093294744147
2010-12-31,10,5,train,16.3,33.28977677563928,25.96092804566716,16.98977677563928,9.66092804566716
2010-12-31,10,10,train,17.0,27.248260868408913,21.78549375789837,10.248260868408913,4.785493757898369
2011-01-31,1,1,train,41.8,49.5810875888479,71.40014415689015,7.781087588847903,29.600144156890153
2011-01-31,1,5,train,28.1,122.22199491752994,51.07471339796261,94.12199491752995,22.97471339796261
2011-01-31,1,10,train,23.0,55.708016884205556,50.46902838923375,32.708016884205556,27.46902838923375
2011-01-31,5,1,train,25.3,42.116091667348954,51.23285979757291,16.816091667348953,25.932859797572906
2011-01-31,5,5,train,20.7,52.82671865324742,34.59937381160079,32.12671865324742,13.899373811600793
2011-01-31,5,10,train,19.4,37.067096716309095,31.13194184681723,17.667096716309096,11.731941846817232
2011-01-31,10,1,train,18.2,32.70136422462421,34.17628298358085,14.501364224624208,15.976282983580848
2011-01-31,10,5,train,16.9,36.37976282622142,23.672412812350473,19.479762826221425,6.772412812350474
2011-01-31,10,10,train,17.3,26.771376726989402,21.416021136601074,9.471376726989401,4.1160211366010735
2011-02-28,1,1,train,39.50000000000001,48.77203481258235,68.91556886037934,9.27203481258234,29.41556886037933
2011-02-28,1,5,train,27.6,97.1182425464063,50.59496377346062,69.5182425464063,22.99496377346062
2011-02-28,1,10,train,23.400000000000002,59.06373393673161,51.09014565847042,35.6637339367316,27.690145658470417
2011-02-28,5,1,train,24.1,41.76579571026601,47.62207133168013,17.66579571026601,23.52207133168013
2011-02-28,5,5,train,20.5,49.79428343897165,37.65786568085691,29.294283438971647,17.157865680856908
2011-02-28,5,10,train,19.9,38.14379315077132,31.487766279859656,18.243793150771324,11.587766279859657
2011-02-28,10,1,train,17.6,29.818543439562777,32.08813582740647,12.218543439562776,14.488135827406467
2011-02-28,10,5,train,16.7,37.57351312150966,24.657804900862182,20.873513121509664,7.9578049008621825
2011-02-28,10,10,train,17.7,25.22366929276191,20.95067299770084,7.523669292761912,3.250672997700839
2011-03-31,1,1,train,33.6,49.83912567379913,64.9250521172387,16.23912567379913,31.325052117238705
2011-03-31,1,5,train,24.7,104.44131825000488,48.68382467088169,79.74131825000488,23.983824670881692
2011-03-31,1,10,train,21.4,58.37164912904186,49.49181948643945,36.971649129041865,28.091819486439448
2011-03-31,5,1,train,22.8,43.30698311716236,45.06200473082396,20.50698311716236,22.262004730823957
2011-03-31,5,5,train,19.3,53.50767892684319,35.08828906141667,34.20767892684319,15.788289061416666
2011-03-31,5,10,train,18.7,36.5797768920264,29.870591022441815,17.879776892026403,11.170591022441815
2011-03-31,10,1,train,16.9,29.789983201096813,31.503598869247377,12.889983201096815,14.603598869247378
2011-03-31,10,5,train,16.0,29.754964558849963,24.885273184180967,13.754964558849963,8.885273184180967
2011-03-31,10,10,train,16.5,24.673874257170628,21.11161515323451,8.173874257170628,4.61161515323451
2011-04-29,1,1,train,33.6,51.69968071256062,68.2960129482986,18.09968071256062,34.696012948298595
2011-04-29,1,5,train,25.4,76.65165883225228,47.577837453221385,51.25165883225228,22.177837453221386
2011-04-29,1,10,train,22.199999999999996,56.53781686531461,51.59401503549393,34.337816865314615,29.394015035493936
2011-04-29,5,1,train,23.3,41.52805740770191,46.13826990041209,18.228057407701908,22.83826990041209
2011-04-29,5,5,train,19.8,57.47745520263076,35.85254805396058,37.67745520263075,16.05254805396058
2011-04-29,5,10,train,18.9,34.86946203903504,30.494589567050554,15.969462039035044,11.594589567050555
2011-04-29,10,1,train,17.1,30.030383917611754,31.043840596595118,12.930383917611753,13.943840596595116
2011-04-29,10,5,train,16.0,35.78580989382883,23.454287232110637,19.785809893828826,7.454287232110637
