variant,seed,epoch,train_mse,train_rmse,val_avg_rmse_bps,val_n_good,val_n_bad,epoch_time_sec,cumulative_time_sec,mean_grad_norm,nan_batches,failed_batches,ode_failures,lr,best_val_so_far_bps
stable,0,0,0.00019176561317658356,0.013847946171782427,132.92591857910156,216,0,0.7603693749988452,0.7603704169741832,0.007752599942614324,0,0,0,0.001,132.92591857910156
stable,0,1,0.00016857706814123674,0.01298372320027028,126.2057842678494,216,0,0.8025340419844724,1.5775777499657124,0.004038948386005358,0,0,0,0.001,126.2057842678494
stable,0,2,0.0001370650270502373,0.011707477399091459,88.6157735188802,216,0,0.7925372919999063,2.3867622089455836,0.006835664696215341,0,0,0,0.001,88.6157735188802
stable,0,3,0.00010220624230709369,0.010109710297881621,114.38230260213216,216,0,0.750591957999859,3.1536577499937266,0.01896914915802578,0,0,0,0.001,88.6157735188802
stable,0,4,9.636923879843034e-05,0.009816783526106213,99.26069344414606,216,0,0.7537290420150384,3.9214595839730464,0.007168541375237206,0,0,0,0.001,88.6157735188802
stable,0,5,8.265797874655225e-05,0.00909164334686267,104.74381086561415,216,0,0.761224832967855,4.697302791988477,0.009995275130495428,0,0,0,0.001,88.6157735188802
stable,0,6,7.941736009161488e-05,0.008911641829181359,95.91902245415582,216,0,0.7653853749507107,5.4762004999793135,0.007417829051458587,0,0,0,0.001,88.6157735188802
stable,0,7,8.570551274042162e-05,0.009257727190861783,124.83752356635199,216,0,0.7830282500362955,6.2735749169951305,0.00877340454220151,0,0,0,0.001,88.6157735188802
stable,0,8,7.912620676237865e-05,0.008895291269114163,105.66444736056857,216,0,0.7536021669511683,7.041774958954193,0.009534647432155907,0,0,0,0.001,88.6157735188802
stable,0,9,7.665392857843001e-05,0.008755222931395294,99.2787734137641,216,0,0.7526405840180814,7.808732166944537,0.007046913220741165,0,0,0,0.001,88.6157735188802
stable,0,10,7.270452626189168e-05,0.008526694920184003,93.6168835957845,216,0,0.7682178750401363,8.590713666984811,0.005328949156682939,0,0,0,0.001,88.6157735188802
stable,0,11,7.341755680083922e-05,0.008568404565660938,110.88969590928819,216,0,0.7646369580179453,9.368422125000507,0.006159913147954891,0,0,0,0.001,88.6157735188802
