model,label,date,expiry,tenor,sigma_mkt,sigma_mod,err_bp,path_frac
stable,Stable (dim4),2011-06-30,1,10,23.2,399.0,375.8,1.0
stable,Stable (dim4),2011-06-30,5,1,24.0,357.3,333.3,1.0
stable,Stable (dim4),2011-06-30,5,5,19.9,265.4,245.5,1.0
stable,Stable (dim4),2011-06-30,5,10,18.6,226.0,207.4,1.0
stable,Stable (dim4),2011-06-30,10,1,16.7,227.1,210.4,1.0
stable,Stable (dim4),2011-06-30,10,5,15.7,170.9,155.2,1.0
stable,Stable (dim4),2011-06-30,10,10,16.1,138.0,121.9,1.0
stable,Stable (dim4),2011-07-29,1,1,53.8,597.3,543.5,1.0
stable,Stable (dim4),2011-07-29,1,5,34.4,460.9,426.5,1.0
stable,Stable (dim4),2011-07-29,1,10,27.9,432.0,404.1,1.0
stable,Stable (dim4),2011-07-29,5,1,27.2,376.7,349.5,1.0
stable,Stable (dim4),2011-07-29,5,5,22.0,273.6,251.6,1.0
stable,Stable (dim4),2011-07-29,5,10,20.7,235.8,215.1,1.0
stable,Stable (dim4),2011-07-29,10,1,19.0,248.0,229.0,1.0
stable,Stable (dim4),2011-07-29,10,5,17.9,174.1,156.2,1.0
stable,Stable (dim4),2011-07-29,10,10,18.8,,,0.0
stable,Stable (dim4),2011-08-31,1,1,75.4,659.3,583.9,1.0
stable,Stable (dim4),2011-08-31,1,5,42.4,456.6,414.2,1.0
stable,Stable (dim4),2011-08-31,1,10,33.6,429.9,396.3,1.0
stable,Stable (dim4),2011-08-31,5,1,29.2,375.5,346.3,1.0
stable,Stable (dim4),2011-08-31,5,5,23.6,286.0,262.4,1.0
stable,Stable (dim4),2011-08-31,5,10,22.2,245.9,223.7,1.0
stable,Stable (dim4),2011-08-31,10,1,20.1,251.7,231.6,1.0
stable,Stable (dim4),2011-08-31,10,5,18.7,198.2,179.5,1.0
stable,Stable (dim4),2011-08-31,10,10,19.8,150.8,131.0,1.0
stable,Stable (dim4),2011-09-30,1,1,69.4,604.9,535.5,1.0
stable,Stable (dim4),2011-09-30,1,5,43.1,498.4,455.3,1.0
stable,Stable (dim4),2011-09-30,1,10,40.0,463.6,423.6,1.0
stable,Stable (dim4),2011-09-30,5,1,33.4,398.7,365.3,1.0
stable,Stable (dim4),2011-09-30,5,5,27.8,314.8,287.0,1.0
stable,Stable (dim4),2011-09-30,5,10,26.9,267.0,240.1,1.0
stable,Stable (dim4),2011-09-30,10,1,23.4,250.0,226.6,1.0
stable,Stable (dim4),2011-09-30,10,5,22.3,199.5,177.2,1.0
stable,Stable (dim4),2011-09-30,10,10,23.8,164.3,140.5,1.0
stable,Stable (dim4),2011-10-31,1,1,73.9,613.9,540.0,1.0
stable,Stable (dim4),2011-10-31,1,5,43.8,478.5,434.7,1.0
stable,Stable (dim4),2011-10-31,1,10,37.3,458.9,421.6,1.0
stable,Stable (dim4),2011-10-31,5,1,33.4,394.1,360.7,1.0
stable,Stable (dim4),2011-10-31,5,5,27.5,307.2,279.7,1.0
stable,Stable (dim4),2011-10-31,5,10,26.2,259.9,233.7,1.0
stable,Stable (dim4),2011-10-31,10,1,23.1,258.9,235.8,1.0
