regime,n_total,n_train,n_eval,rmse_bps_train,rmse_bps_eval
normal_positive,1042,834,208,6.053658962249756,6.0762786865234375
any_negative,294,235,59,6.664363861083984,7.223648548126221
inverted,134,107,27,11.442811012268066,10.84133243560791
