p_target,p_actual,n_train,n_regime_train,n_nonregime_train,rmse_bps_eval_regime,rmse_bps_eval_nonregime,rmse_bps_train_overall
0.05,0.05,2000,100,1900,20.379470825195312,11.469225883483887,10.723455429077148
0.15,0.15,2000,300,1700,18.147613525390625,12.998747825622559,12.423813819885254
0.3,0.3,2000,600,1400,16.510393142700195,13.291810989379883,12.645323753356934
0.5,0.5,2000,1000,1000,13.825132369995117,15.890530586242676,13.59111499786377
0.75,0.75,2000,1500,500,10.426214218139648,19.349523544311523,12.21524429321289
