time,z1_p5,z2_p5,z1_p25,z2_p25,z1_p50,z2_p50,z1_p75,z2_p75,z1_p95,z2_p95,z1_mean,z2_mean
0.0,-0.00716912424703061,-0.09002310292750632,-0.00716912424703061,-0.09002310292750632,-0.00716912424703061,-0.09002310292750632,-0.00716912424703061,-0.09002310292750632,-0.00716912424703061,-0.09002310292750632,-0.007169124247030613,-0.0900231029275063
0.08333333333333333,-0.32822472650276646,-0.3849676515048958,-0.16172774363805872,-0.209785294094051,-0.024090726667629625,-0.09007780876999806,0.09874238031218352,0.04280836950722067,0.27005860797984854,0.22167911323967557,-0.02824710920009534,-0.0842167044379669
0.16666666666666666,-0.7754489951788157,-0.5403847579088459,-0.2869999928602577,-0.3047727732963817,-0.028370621254075776,-0.15589276398960233,0.19583239559357837,0.06803958875964351,0.5444591136471495,0.6013480940380685,-0.06293086933716444,-0.08958417089906573
0.25,-1.6526912443332045,-1.2390006598221137,-0.5486175443909217,-0.4337242818112417,-0.08564272970811082,-0.21754537738648505,0.3406579203204392,0.0416370783295025,1.1401544133425305,1.4171258169835015,-0.1199498244184404,-0.13195197031435277
0.3333333333333333,-2.7948881333197453,-2.005086292991984,-0.9519592486131065,-0.6884555251258946,-0.20700057205405206,-0.2789426152847876,0.5162803393236163,0.11480121448940223,2.1183616827621026,2.680851871056078,-0.19979539965883025,-0.12375832721584737
0.41666666666666663,-4.304764435118235,-3.2343852175687244,-1.5297124663839594,-1.120329874527675,-0.43853636126502726,-0.37788405497102234,0.7484753950495411,0.2821227152353843,3.777850947113894,4.445116408348572,-0.3037212748909876,-0.17625586311341443
0.5,-6.464368801827813,-5.026219678210395,-2.283897210332951,-1.749624103086788,-0.7710729297718537,-0.6201604976389926,1.1926689594143731,0.5238045467896871,6.4033014037063865,6.507920471004369,-0.41602534938722185,-0.2900426434922864
0.5833333333333333,-9.63198975007791,-7.510870728017257,-3.4271838241922836,-2.690352644010405,-1.2661393630766404,-0.9673563742149286,1.6815596432766329,1.0859106606561584,9.966473602070574,9.435432966213067,-0.6213532738703678,-0.3958799178674685
0.6666666666666666,-13.957801059049402,-11.48038211253822,-5.0434811822548316,-4.131574960926118,-1.9881901272994202,-1.5244385291155844,2.8143798390158787,1.7965554544048654,15.479942440701251,13.634945231171775,-0.8609827322694502,-0.7067182914257092
0.75,-20.227285662945068,-17.183101523646055,-7.447339286731714,-6.220444020456236,-2.9511392536213474,-2.319065407419663,4.16233932659158,3.1052453531970587,22.47452923192981,20.327472405270793,-1.2379736481216037,-1.0161901367867678
0.8333333333333333,-29.554483744219517,-25.471660993078856,-10.896077800688936,-9.306542352903831,-4.394427979268995,-3.5552928575982037,6.532406303317888,4.969595391927398,32.555103326511066,29.545550157557777,-1.8184486248720881,-1.5007545481303177
0.9166666666666666,-43.23049633133222,-37.819810159569364,-16.0038135522891,-13.880514540224167,-6.533050468530891,-5.376021782641174,9.799279497658453,7.702715308890103,47.26541677520784,43.06437027218432,-2.7135865691745575,-2.2832118343194963
1.0,-63.25739317909819,-55.796128012259516,-23.36752022664101,-20.566677358665743,-9.485024955062887,-8.089354530811605,14.36565331032501,11.739642700845305,68.884766423574,60.933105068285805,-3.9615327582097297,-3.4688728982340216
1.0833333333333333,-92.50826679460377,-82.2544134084359,-34.10965211876284,-30.44149809013957,-13.923222423912971,-11.983814667856151,20.99862129077028,18.33580631730654,100.98672615851035,91.00048996994761,-5.809424285807,-5.20442605837155
1.1666666666666665,-135.07078518605712,-122.10462077151517,-49.940077949243296,-45.05465872652625,-20.383282008971893,-17.976021710210432,30.14811106619335,27.973737569565213,145.70610855936795,134.6709725649306,-8.564989491280018,-7.640673696433679
1.25,-197.77913806365794,-179.3487651861876,-73.11142887499498,-66.1448064124007,-29.867040586194506,-26.592451260500912,44.29593236887639,40.93406984965311,215.04100071833676,196.68331209794775,-12.521770298828297,-11.302812057138878
