epoch,train_curve,train_trans,train_cloud,train_sigma,train_total,val_curve,val_trans,val_cloud,val_sigma,val_total,val_exceed,curve_rmse_bp,sigma_mean,kappa,half_life_y,theta_0,theta_1,lr_khr,time_sec
0,42.80504714188616,-10.7559912100966,0.010793549661553978,1.0245686270796792e-05,-1527.4442893683295,126.9558774722981,-7.452477382036981,0.0032156418620811924,9.64667363674494e-06,-863.844089757815,0.07692307978868484,72.97857801666896,0.013151419585166916,0.5003548691766175,10.098563631883154,-0.02645167331200709,-0.003456243351706821,0.00019999454435186845,0.40397260000463575
1,37.99036055265901,-10.75822366005135,0.00981551724288094,1.0101882532600632e-05,-1537.438158620033,126.31243476272819,-7.4468497044326005,0.00017864471752158573,9.507177321229171e-06,-864.3782124432657,0.07692307978868484,71.17191220419055,0.013128971324223186,0.500643451909185,10.018755853984013,-0.02645167331200709,-0.003456243351706821,0.00019997817800574712,0.7472573000122793
2,36.01911975013909,-10.760510971168786,0.01359502094442354,9.958814149698154e-06,-1541.6106379184075,127.34306848998239,-7.441019943697025,0.008746725118591625,9.364480419855259e-06,-861.1857238601917,0.07692307978868484,71.01226647476904,0.013105838267875095,0.5010164343440717,9.934712925527945,-0.02645167331200709,-0.003456243351706821,0.0001999509027563903,1.0936934000055771
3,35.72072072350331,-10.762894895815869,0.02283061460755312,9.813600083585444e-06,-1542.2882472869796,127.99844946812861,-7.4344995529632705,2.096768164623891e-05,9.22130622969685e-06,-859.1589623653246,0.07692307978868484,71.0400918193422,0.013082415541099311,0.5013907786123731,9.857552104074086,-0.02645167331200709,-0.003456243351706821,0.0001999127215948364,1.405941500008339
4,35.50538124068386,-10.765162691545596,0.012140672710914246,9.669534196007535e-06,-1543.3800820007523,127.86771287591318,-7.428037739410372,0.03404817869706691,9.08227845443764e-06,-857.4306252419084,0.07692307978868484,70.78768324702737,0.013059484272787608,0.501771146736083,9.782255642276015,-0.02645167331200709,-0.003456243351706821,0.0001998636387080801,1.7114960000035353
5,35.16639223221353,-10.7675375904063,0.008121967170715531,9.533680843998704e-06,-1544.5351277197085,127.8631173050947,-7.422561444972884,0.01194070680121174,8.956317274161347e-06,-857.2818482971586,0.07692307978868484,70.65899771388266,0.013038483695770374,0.5021566683160602,9.703281304606532,-0.02645167331200709,-0.003456243351706821,0.00019980365947861302,2.092859900003532
6,34.9748404824123,-10.769658471297136,0.00747406719020027,9.402424344247004e-06,-1545.2560628653512,128.20422974241075,-7.416711448509337,0.00028322256190733286,8.829977560521607e-06,-856.0721011596005,0.07692307978868484,70.58958291416074,0.01301731184269091,0.5025341329311926,9.632430109559929,-0.02645167331200709,-0.003456243351706821,0.00019973279048383355,2.5263272000011057
7,34.73780105977484,-10.771817108419183,0.006830388635272976,9.276794638052271e-06,-1546.0734988949935,128.90392406140427,-7.410853597320324,0.0008144770390764112,8.71057054820261e-06,-853.7783360229714,0.07692307978868484,70.5299465004042,0.012997144918829955,0.5029503022591674,9.564802853360739,-0.02645167331200709,-0.003456243351706821,0.00019965103949532567,2.950374300009571
8,34.56637512237168,-10.773800323138108,0.009689629360169524,9.15548442557464e-06,-1546.6282983763163,129.5825280579596,-7.404937272411128,0.0016111285352696718,8.58920290316469e-06,-851.5100224838856,0.07692307978868484,70.50315401363196,0.012976534942865246,0.5033386952861111,9.499189406781625,-0.02645167331200709,-0.003456243351706821,0.00019955841547800645,3.3747562000062317
9,34.41071798943968,-10.775985819555435,0.01966108065358064,9.026283154417893e-06,-1546.9685519685197,130.101009905641,-7.399161168509593,0.007496870636172358,8.460121282625112e-06,-849.4303291035066,0.07692307978868484,70.45659949049825,0.012954459159376246,0.5036607303966092,9.429485102054896,-0.02645167331200709,-0.003456243351706821,0.0001994549285891432,3.7889162999927066
10,34.17095293510777,-10.778090461948866,0.0071895449713174795,8.897405301257797e-06,-1548.1381822623723,130.22649966677295,-7.393073544152188,0.0001872873027193755,8.331202121759927e-06,-848.4857512659571,0.07692307978868484,70.33161130842147,0.01293226761302884,0.5039832992858256,9.36295082952716,-0.02645167331200709,-0.003456243351706821,0.00019934059017723943,4.217863800004125
11,33.951036772024125,-10.780323764736238,0.02759909122901224,8.764050585190353e-06,-1548.3009903283462,130.3869424002952,-7.3867755440540215,0.0007992866066701103,8.202218495127309e-06,-847.2020637723225,0.07692307978868484,70.24147479142988,0.012909886704228584,0.5043216112516385,9.2958246642449,-0.02645167331200709,-0.003456243351706821,0.00019921541278079057,4.694973600009689
12,33.77886631207718,-10.782500549256687,0.006034970205379444,8.634150267378973e-06,-1549.6190323576525,130.9404044053826,-7.380547150384895,0.019548924606524132,8.080858990399556e-06,-844.5986342907925,0.07692307978868484,70.18351005990536,0.012888654518569955,0.504683835173503,9.23253653564266,-0.02645167331200709,-0.003456243351706821,0.00019907941012690865,5.623043300001882
13,33.57603989838017,-10.784486051598726,0.03944213171264721,8.514262832270705e-06,-1549.3205354660042,131.53843959734732,-7.3744085628669955,0.0004197267550899854,7.970865134942661e-06,-843.0558717024322,0.07692307978868484,70.14257739784854,0.012869274316632522,0.5050716601628578,9.176130872866448,-0.02645167331200709,-0.003456243351706821,0.00019893259712981735,6.5454444999923
14,33.39129718133246,-10.786474349762717,0.01028311880299986,8.3999876083194e-06,-1550.8632645624357,132.43452362967403,-7.368582439357588,9.530888922104975e-06,7.85251111706003e-06,-840.4023276953884,0.07692307978868484,70.14463909441322,0.012848306049737085,0.5053996910838511,9.111600571316613,-0.02645167331200709,-0.003456243351706821,0.00019877498988921623,7.361229200003436
15,33.23159297589444,-10.788533046448599,0.007938433621031504,8.281512262113075e-06,-1551.562054982346,132.9405252792038,-7.362829221532341,0.011641260932855243,7.741735796434785e-06,-838.1786113718649,0.07692307978868484,70.0916932990779,0.012828524404076315,0.5057415818831276,9.05133518268479,-0.02645167331200709,-0.003456243351706821,0.00019860660568851525,8.143138799990993
16,33.061582902577854,-10.79043675234218,0.023867359920012824,8.171961993472129e-06,-1551.7099823245837,133.4504426955974,-7.357984093066765,0.0005433144627367085,7.641390888676763e-06,-836.7651463531604,0.07692307978868484,70.05208071876002,0.012810486109389285,0.5060607324497065,8.991347350766867,-0.02645167331200709,-0.003456243351706821,0.00019842746299293955,8.945395999995526
17,32.871752978580574,-10.792146119922117,0.009950113251583518,8.074044127526949e-06,-1552.763760545354,133.6415591287405,-7.3531021839231,0.0002220349201412723,7.547770633487299e-06,-835.660452742113,0.07692307978868484,69.94858550538214,0.012793510532593456,0.5064106258876703,8.935018312722786,-0.02645167331200709,-0.003456243351706821,0.00019823758144750454,9.786164099990856
18,32.68874303842299,-10.793986017410832,0.006722077396210255,7.974192145768589e-06,-1553.5028058286011,133.7054797450041,-7.347824143866916,0.00010255320311729172,7.436979414846564e-06,-834.744711535106,0.07692307978868484,69.84056699918327,0.01277325928652339,0.5066884972652099,8.8699532137241,-0.02645167331200709,-0.003456243351706821,0.00019803698187486135,10.60108739999123
19,32.479229166548315,-10.796047360701634,0.020682007064014393,7.857144284539187e-06,-1553.8124712716588,134.08241926489995,-7.3422925277092945,0.001427790921197627,7.3280639957173e-06,-833.1215507709669,0.07692307978868484,69.7768753478884,0.012753202529436718,0.5069518335251707,8.810855955739457,-0.02645167331200709,-0.003456243351706821,0.00019782568627301367,11.373550699994667
