time,path_id,r,z0,z1
0.0,0,0.02654118835926056,0.05556805059313774,-0.08605426549911499
0.0,1,0.02654118835926056,0.05556805059313774,-0.08605426549911499
0.0,2,0.02654118835926056,0.05556805059313774,-0.08605426549911499
0.0,3,0.02654118835926056,0.05556805059313774,-0.08605426549911499
0.0,4,0.02654118835926056,0.05556805059313774,-0.08605426549911499
0.0,5,0.02654118835926056,0.05556805059313774,-0.08605426549911499
0.0,6,0.02654118835926056,0.05556805059313774,-0.08605426549911499
0.0,7,0.02654118835926056,0.05556805059313774,-0.08605426549911499
0.0,8,0.02654118835926056,0.05556805059313774,-0.08605426549911499
0.0,9,0.02654118835926056,0.05556805059313774,-0.08605426549911499
0.08333333333333333,0,0.0088315075263381,0.15346196293830872,0.035216934978961945
0.08333333333333333,1,0.033155687153339386,-0.025326211005449295,-0.15236583352088928
0.08333333333333333,2,-0.04011482745409012,-0.06074358895421028,0.14118468761444092
0.08333333333333333,3,-0.021531153470277786,0.02104702778160572,0.10107005387544632
0.08333333333333333,4,0.08249515295028687,0.34545040130615234,-0.18748825788497925
0.08333333333333333,5,0.09351667761802673,0.21020866930484772,-0.29899901151657104
0.08333333333333333,6,-0.005182775668799877,-0.3455228805541992,-0.14147725701332092
0.08333333333333333,7,0.043274231255054474,0.4186440408229828,0.014624014496803284
0.08333333333333333,8,-0.003679053857922554,-0.11252567172050476,-0.037655070424079895
0.08333333333333333,9,0.06850994378328323,-0.21453091502189636,-0.3926330506801605
0.16666666666666666,0,-0.11678944528102875,0.07027588784694672,0.53333580493927
0.16666666666666666,1,0.03470130264759064,0.05571863055229187,-0.12058186531066895
0.16666666666666666,2,-0.0616559162735939,-0.4969056248664856,0.026658788323402405
0.16666666666666666,3,-0.06323975324630737,0.0878293514251709,0.31003063917160034
0.16666666666666666,4,0.08460994064807892,0.1466572880744934,-0.29066136479377747
0.16666666666666666,5,0.1499454528093338,0.1989928036928177,-0.5523498058319092
0.16666666666666666,6,-0.0573091134428978,-0.504520833492279,0.00452248752117157
0.16666666666666666,7,0.081590935587883,0.5841072797775269,-0.0708215981721878
0.16666666666666666,8,-0.08757582306861877,-0.28020456433296204,0.24022404849529266
0.16666666666666666,9,0.0666448250412941,-0.3044818043708801,-0.4272867441177368
0.25,0,-0.1839415729045868,-1.7334126234054565,-0.01659601926803589
0.25,1,0.016443166881799698,-0.0942123755812645,-0.11413515359163284
0.25,2,-0.09016738831996918,0.11441552639007568,0.4383799731731415
0.25,3,0.01144588552415371,0.024668503552675247,-0.036754995584487915
0.25,4,0.1012972742319107,-0.0018651187419891357,-0.43322715163230896
0.25,5,0.2112339586019516,0.30085453391075134,-0.7864278554916382
0.25,6,-0.13137349486351013,-2.0439846515655518,-0.3976503610610962
0.25,7,0.04521559923887253,0.6770267486572266,0.12841598689556122
0.25,8,-0.17140448093414307,-0.9633028507232666,0.2873489558696747
0.25,9,0.13989993929862976,-0.3205737769603729,-0.7548071146011353
0.3333333333333333,0,0.47081100940704346,5.260988235473633,-0.10439977049827576
0.3333333333333333,1,0.08840157091617584,-0.041930004954338074,-0.3963712453842163
0.3333333333333333,2,0.168034628033638,2.134493350982666,0.2757130265235901
0.3333333333333333,3,0.13031543791294098,0.5205195546150208,-0.31269872188568115
0.3333333333333333,4,0.07044088840484619,-0.0638459175825119,-0.3294973075389862
0.3333333333333333,5,0.25455397367477417,0.3491874039173126,-0.9753817915916443
0.3333333333333333,6,0.020145270973443985,-0.2800123691558838,-0.21771568059921265
0.3333333333333333,7,0.13658800721168518,0.8038574457168579,-0.20654931664466858
0.3333333333333333,8,-0.3947480618953705,-3.9869980812072754,0.08628098666667938
0.3333333333333333,9,0.11659178137779236,-0.346886545419693,-0.6640356183052063
0.41666666666666663,0,0.4036208391189575,5.6953043937683105,0.5916072726249695
0.41666666666666663,1,0.052409492433071136,-0.012388143688440323,-0.2280861735343933
0.41666666666666663,2,0.10587748885154724,2.302292823791504,0.62989741563797
0.41666666666666663,3,0.13342148065567017,0.6233327388763428,-0.2777943015098572
0.41666666666666663,4,0.10743512958288193,0.19386816024780273,-0.36712390184402466
