time,path_id,swap_1Y,swap_2Y,swap_3Y,swap_5Y,swap_10Y,swap_15Y,swap_20Y,swap_30Y
0.0,0,0.03209996010775667,0.03416549964382385,0.03522230644817312,0.03661502200629545,0.04169717763805935,0.04649316394442552,0.04850633299825079,0.04777365262387684
0.0,1,0.03209996010775667,0.03416549964382385,0.03522230644817312,0.03661502200629545,0.04169717763805935,0.04649316394442552,0.04850633299825079,0.04777365262387684
0.0,2,0.03209996010775667,0.03416549964382385,0.03522230644817312,0.03661502200629545,0.04169717763805935,0.04649316394442552,0.04850633299825079,0.04777365262387684
0.0,3,0.03209996010775667,0.03416549964382385,0.03522230644817312,0.03661502200629545,0.04169717763805935,0.04649316394442552,0.04850633299825079,0.04777365262387684
0.0,4,0.03209996010775667,0.03416549964382385,0.03522230644817312,0.03661502200629545,0.04169717763805935,0.04649316394442552,0.04850633299825079,0.04777365262387684
0.0,5,0.03209996010775667,0.03416549964382385,0.03522230644817312,0.03661502200629545,0.04169717763805935,0.04649316394442552,0.04850633299825079,0.04777365262387684
0.0,6,0.03209996010775667,0.03416549964382385,0.03522230644817312,0.03661502200629545,0.04169717763805935,0.04649316394442552,0.04850633299825079,0.04777365262387684
0.0,7,0.03209996010775667,0.03416549964382385,0.03522230644817312,0.03661502200629545,0.04169717763805935,0.04649316394442552,0.04850633299825079,0.04777365262387684
0.0,8,0.03209996010775667,0.03416549964382385,0.03522230644817312,0.03661502200629545,0.04169717763805935,0.04649316394442552,0.04850633299825079,0.04777365262387684
0.0,9,0.03209996010775667,0.03416549964382385,0.03522230644817312,0.03661502200629545,0.04169717763805935,0.04649316394442552,0.04850633299825079,0.04777365262387684
