epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
0,0.871673917004955,0.871673917004955,0.0001909829040222681,0.013819656436477286,125.72214847140842,1470,0,199.50579833984375,115.51545715332031,119.633544921875,127.56669616699219,141.25392150878906,126.78520202636719,114.66456604003906,79.99107360839844,106.58307647705078,2.11.0,3.12.6,2.2.2
99,84.62482554200687,83.75315162500192,2.018927623385953e-05,0.004493247849146487,43.84331046210395,1470,0,44.73849105834961,49.538795471191406,43.753971099853516,46.05535125732422,29.809345245361328,41.99407958984375,49.91206359863281,31.31118392944336,57.47651290893555,2.11.0,3.12.6,2.2.2
199,184.2854115000082,99.66058595800132,6.846097005641271e-06,0.0026165047306743535,24.968115912543404,1470,0,25.963403701782227,21.007436752319336,24.725292205810547,29.604036331176758,23.969463348388672,25.315359115600586,31.382097244262695,18.742216110229492,24.003738403320312,2.11.0,3.12.6,2.2.2
299,279.2255685840064,94.9401570839982,3.6392621727920453e-06,0.00190768502976567,18.2444486618042,1470,0,20.02548599243164,14.031576156616211,17.71578598022461,23.00726890563965,18.092649459838867,16.498809814453125,22.128469467163086,14.491700172424316,18.20829200744629,2.11.0,3.12.6,2.2.2
399,374.248767875004,95.02319929099758,3.237561493882154e-06,0.0017993225096913988,18.022432115342884,1470,0,20.120853424072266,15.483762741088867,16.73147964477539,21.545883178710938,15.769417762756348,16.745695114135742,22.129432678222656,14.699843406677246,18.975521087646484,2.11.0,3.12.6,2.2.2
499,470.5548332920007,96.30606541699672,2.752163697000067e-06,0.0016589646460970972,16.439654138353138,1470,0,16.74562644958496,15.147655487060547,15.683077812194824,20.388818740844727,16.259521484375,14.841540336608887,18.884557723999023,13.809151649475098,16.196937561035156,2.11.0,3.12.6,2.2.2
599,567.5152017500077,96.960368458007,2.261110381480147e-06,0.0015036988998732915,14.740305158827038,1470,0,14.103013038635254,14.437917709350586,13.702275276184082,17.84014892578125,14.918173789978027,13.4534912109375,15.07181453704834,13.809501647949219,15.326410293579102,2.11.0,3.12.6,2.2.2
699,663.361575959003,95.84637420899526,1.8850657821518685e-06,0.0013729769780123295,13.457866668701172,1470,0,12.096070289611816,13.300379753112793,12.757481575012207,17.0226993560791,15.108562469482422,11.56142807006836,12.873394966125488,13.143303871154785,13.257479667663574,2.11.0,3.12.6,2.2.2
799,759.695919500009,96.33434354100609,1.6999692907491556e-06,0.0013038287045272303,12.59540547264947,1470,0,11.138618469238281,11.426678657531738,12.131607055664062,17.227352142333984,14.184065818786621,10.677188873291016,12.549368858337402,11.757450103759766,12.266319274902344,2.11.0,3.12.6,2.2.2
899,858.014054875006,98.31813537499693,1.6162057329515876e-06,0.0012713008034889255,12.190247959560818,1470,0,9.756255149841309,10.827310562133789,11.969179153442383,17.034656524658203,14.212618827819824,10.159832000732422,12.357486724853516,11.234944343566895,12.159948348999023,2.11.0,3.12.6,2.2.2
999,955.9183894169983,97.90433454199228,1.482461973611033e-06,0.0012175639505221207,11.990378273857965,1470,0,10.959781646728516,10.272600173950195,11.509963989257812,16.266263961791992,14.693293571472168,9.761266708374023,11.961506843566895,11.08208179473877,11.406645774841309,2.11.0,3.12.6,2.2.2
1099,1058.8714306670008,102.95304125000257,1.4127919412265353e-06,0.0011886092466519582,11.771604961819119,1470,0,9.495870590209961,10.151305198669434,11.390936851501465,16.01953125,14.91673755645752,9.4288330078125,11.576903343200684,11.31449031829834,11.649836540222168,2.11.0,3.12.6,2.2.2
1199,1168.433998959008,109.5625682920072,1.2682735174092492e-06,0.0011261765036659436,10.93451468149821,1470,0,10.5452241897583,9.16308879852295,10.39782428741455,15.65958023071289,13.043496131896973,9.210566520690918,10.005044937133789,10.462139129638672,9.923667907714844,2.11.0,3.12.6,2.2.2
1299,1277.9070668339991,109.4730678749911,1.0847241907997938e-06,0.0010415009317325614,10.19000752766927,1470,0,9.156932830810547,8.700868606567383,9.76786994934082,14.794706344604492,12.366482734680176,8.720756530761719,8.444999694824219,10.019600868225098,9.737850189208984,2.11.0,3.12.6,2.2.2
1399,1375.1099752919981,97.202908457999,1.039004064141347e-06,0.0010193154880317216,9.953024652269152,1470,0,8.561330795288086,8.401487350463867,9.655805587768555,14.527691841125488,12.002093315124512,8.540127754211426,8.32448673248291,9.844232559204102,9.719965934753418,2.11.0,3.12.6,2.2.2
1499,1473.8938192500063,98.78384395800822,1.0221580577289925e-06,0.0010110183270984718,9.792574140760633,1470,0,8.310860633850098,8.179795265197754,9.46512222290039,14.369156837463379,11.677736282348633,8.36616325378418,8.151565551757812,9.815263748168945,9.797503471374512,2.11.0,3.12.6,2.2.2
1599,1561.693403666999,87.79958441699273,1.014778024687168e-06,0.0010073619134586974,9.775758425394695,1470,0,8.260611534118652,8.282638549804688,9.390120506286621,14.186724662780762,11.651284217834473,8.29962158203125,7.996227264404297,9.984810829162598,9.929786682128906,2.11.0,3.12.6,2.2.2
1699,1649.3760237090028,87.68262004200369,9.774013334412748e-07,0.0009886360975815494,9.70595932006836,1470,0,8.143911361694336,8.110856056213379,9.429649353027344,14.322432518005371,11.561796188354492,8.224289894104004,8.128453254699707,9.677446365356445,9.754798889160156,2.11.0,3.12.6,2.2.2
1799,1737.3296376250073,87.95361391600454,9.646570766736182e-07,0.000982169576332732,9.627141369713678,1470,0,8.253108978271484,7.9880290031433105,9.197636604309082,13.937586784362793,11.753623962402344,8.09710693359375,7.717129707336426,10.032713890075684,9.667336463928223,2.11.0,3.12.6,2.2.2
1899,1822.860095666998,85.53045804199064,9.6015059925714e-07,0.0009798727464610595,9.595513926612005,1470,0,8.116256713867188,7.947648525238037,9.21899700164795,13.976510047912598,11.68548583984375,8.061637878417969,7.795024871826172,9.920048713684082,9.638015747070312,2.11.0,3.12.6,2.2.2
1999,1918.853270749998,95.9931750830001,9.59084680901896e-07,0.0009793286888996442,9.591405444675022,1470,0,8.17231273651123,7.908753395080566,9.204233169555664,13.972015380859375,11.671838760375977,8.049100875854492,7.7673234939575195,9.958090782165527,9.618980407714844,2.11.0,3.12.6,2.2.2
