epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2,swaption_priced_frac,path_finite_frac,anchor_rmse_bp,recon_rmse_bps,nan_batches,gnorm_lam0,gnorm_scale,lr,lambda0_norm,lambda0_l1,sigma_scale_mean,sigma_s1,sigma_s2,sigma_s3,sigma_s4,lambda0_v1,lambda0_v2,lambda0_v3,lambda0_v4,fwd_bias_diag_bp,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
26,218.0,8.243,8.746757626533508,10.543715000152588,1.1006678901637201e-08,1.0,0.8865966796875,,,0,0.0,0.0,0.00027022999999999994,0.0034872523974627256,0.00647607259452343,0.16179995238780975,0.16957494616508484,0.16366077959537506,0.1597418636083603,0.15422217547893524,0.0013814938720315695,0.0013136237394064665,-0.002720835153013468,0.0010601197136566043,-255.825,,,,,,,,,
27,226.5,8.562,6.98865419626236,8.457613706588745,1.2681459438113052e-08,1.0,0.874755859375,,,0,0.0,0.0,0.0002802199999999999,0.0037384233437478542,0.007001352496445179,0.16170288622379303,0.17026428878307343,0.16310283541679382,0.15990127623081207,0.153543159365654,0.001572276814840734,0.0012732268078252673,-0.0028675792273133993,0.0012882694136351347,-283.0875,,,,,,,,,
28,234.6,8.043,6.192418456077576,6.906054735183716,1.536322757900166e-08,1.0,0.8841552734375,,,0,0.0,0.0,0.00029020999999999995,0.004324820823967457,0.008090534247457981,0.16155999898910522,0.17047739028930664,0.16286543011665344,0.15981844067573547,0.15307876467704773,0.001786594046279788,0.0012687424896284938,-0.00330049148760736,0.0017347068060189486,-283.9875,,,,,,,,,
29,243.3,8.689,4.738234043121338,8.392280459403992,2.0941908651650465e-08,1.0,0.8682861328125,,,0,0.0,0.0,0.0003001999999999999,0.004899007733911276,0.009238015860319138,0.1612941026687622,0.17070764303207397,0.16274960339069366,0.15919332206249237,0.15252581238746643,0.0019586868584156036,0.001431489479728043,-0.003636676585301757,0.0022111632861196995,-203.075,,,,,,,,,
30,251.5,8.253,7.824037194252014,8.636844158172607,2.5179608620362615e-08,1.0,0.89495849609375,,,0,0.0,0.0,0.0003101899999999999,0.00513968151062727,0.00972162839025259,0.16127018630504608,0.17154499888420105,0.16250170767307281,0.15909776091575623,0.15193627774715424,0.001691129757091403,0.0017917647492140532,-0.003784606233239174,0.00245412765070796,-242.22499999999997,,,,,,,,,
31,259.9,8.397,6.221714019775391,9.559537887573242,2.7062123209020683e-08,1.0,0.88037109375,,,0,0.0,0.0,0.0003201799999999999,0.0053413440473377705,0.010135497897863388,0.16135220229625702,0.17236746847629547,0.16231423616409302,0.15926386415958405,0.15146325528621674,0.0014854557812213898,0.002290398580953479,-0.0038336256984621286,0.0025260180700570345,-254.075,,,,,,,,,
32,268.7,8.761,7.126728534698486,11.47309136390686,2.9478495644497116e-08,1.0,0.875732421875,,,0,0.0,0.0,0.0003301699999999999,0.005562771111726761,0.010491859167814255,0.16147500276565552,0.17337416112422943,0.16182687878608704,0.15978287160396576,0.15091606974601746,0.001212991657666862,0.002820114605128765,-0.0038048250135034323,0.002653928007930517,-315.5,,,,,,,,,
33,279.4,10.698,10.096218943595886,11.48515510559082,3.165314144126796e-08,1.0,0.8826904296875,,,0,0.0,0.0,0.0003401599999999999,0.005706311669200659,0.010674457997083664,0.16151371598243713,0.17397744953632355,0.16187508404254913,0.1598161906003952,0.15038613975048065,0.0010055701714009047,0.0032628492917865515,-0.003642319468781352,0.002763719530776143,-140.0,,,,,,,,,
34,291.1,11.687,3.9463712573051453,7.250946819782257,3.302462392440475e-08,1.0,0.864013671875,,,0,0.0,0.0,0.0003501499999999999,0.005809518974274397,0.011035759001970291,0.16151106357574463,0.17389488220214844,0.16267263889312744,0.1595136970281601,0.14996303617954254,0.0012663016095757484,0.003317042486742139,-0.0036307992413640022,0.0028216158971190453,-255.17499999999998,,,,,,,,,
35,300.8,9.759,4.615043640136719,7.903140306472778,3.462727171665847e-08,1.0,0.8831787109375,,,0,0.0,0.0,0.0003601399999999999,0.006003049202263355,0.011580811813473701,0.16140644252300262,0.17312858998775482,0.1635964810848236,0.15946364402770996,0.1494370549917221,0.0016060126945376396,0.003278368851169944,-0.0037280404940247536,0.0029683890752494335,-221.78749999999997,,,,,,,,,
36,310.3,9.445,7.9097453355789185,11.75956130027771,3.867017284164831e-08,1.0,0.8775634765625,,,0,0.0,0.0,0.00037012999999999993,0.006560313981026411,0.01278816256672144,0.1610628068447113,0.1718733012676239,0.16432364284992218,0.1595354527235031,0.14851881563663483,0.002080050762742758,0.003245511557906866,-0.004139074124395847,0.003323526354506612,-273.7125,,,,,,,,,
37,319.7,9.423,8.3444584608078,8.075650691986084,4.541231124477463e-08,1.0,0.8798828125,,,0,0.0,0.0,0.00038011999999999996,0.007046649232506752,0.013817235827445984,0.1608361452817917,0.17101730406284332,0.16556492447853088,0.1592474728822708,0.14751487970352173,0.0025464093778282404,0.0031329349149018526,-0.00441762013360858,0.0037202714011073112,-220.6125,,,,,,,,,
38,330.0,10.303,5.114641487598419,9.698010981082916,5.390811885774838e-08,1.0,0.87060546875,,,0,0.0,0.0,0.00039010999999999994,0.00788048468530178,0.015463776886463165,0.1606018841266632,0.17037609219551086,0.16693195700645447,0.15927216410636902,0.14582732319831848,0.0031475299037992954,0.0032346085645258427,-0.005037972703576088,0.0040436661802232265,-303.025,,,,,,,,,
39,338.4,8.429,7.620125114917755,7.703709840774536,6.762912896363105e-08,1.0,0.900390625,,,0,0.0,0.0,0.0004000999999999999,0.008681298233568668,0.016999613493680954,0.16050311923027039,0.16983594000339508,0.1688632220029831,0.1593204140663147,0.14399293065071106,0.003824318991973996,0.003259175457060337,-0.005648194346576929,0.004267926327884197,-308.42499999999995,,,,,,,,,
40,347.0,8.58,6.300103306770325,9.049097895622253,8.089722314252867e-08,1.0,0.88189697265625,,,0,0.0,0.0,0.0004100899999999999,0.009494542144238949,0.01852273941040039,0.16013038158416748,0.16953566670417786,0.16960884630680084,0.15926039218902588,0.14211659133434296,0.004433506168425083,0.003267635591328144,-0.0062043447978794575,0.004617252852767706,-302.2875,,,,,,,,,
41,355.4,8.368,7.597461700439453,6.568914532661438,9.164968517438865e-08,1.0,0.8868408203125,,,0,0.0,0.0,0.00042007999999999987,0.00975311454385519,0.018811367452144623,0.1598474383354187,0.16950467228889465,0.17006929218769073,0.15894661843776703,0.1408691108226776,0.004619196988642216,0.002717066090553999,-0.006268967874348164,0.005206136032938957,-198.4375,,,,,,,,,
42,364.6,9.253,6.13790225982666,10.493053317070007,9.818496238267471e-08,1.0,0.88238525390625,,,0,0.0,0.0,0.00043006999999999984,0.010149378329515457,0.01959696225821972,0.15985307097434998,0.16980832815170288,0.17048059403896332,0.15920282900333405,0.13992050290107727,0.004755665548145771,0.0029315012507140636,-0.0066175502724945545,0.0052922447212040424,-230.52499999999998,,,,,,,,,
43,373.4,8.729,5.1779064536094666,7.693450689315796,1.0771437075618451e-07,1.0,0.89385986328125,,,0,0.0,0.0,0.0004400599999999998,0.010801613330841064,0.020926743745803833,0.15954707562923431,0.1692316085100174,0.1702117770910263,0.15933160483837128,0.13941329717636108,0.005120179150253534,0.0033667811658233404,-0.007155113387852907,0.005284671671688557,-206.4375,,,,,,,,,
44,381.8,8.428,7.544597864151001,6.615509808063507,1.2314323605266964e-07,1.0,0.89703369140625,,,0,0.0,0.0,0.00045004999999999985,0.011488394811749458,0.022349566221237183,0.15926752984523773,0.16854308545589447,0.1703454554080963,0.15953756868839264,0.1386440247297287,0.005615903064608574,0.0038337395526468754,-0.0075776344165205956,0.005322288256138563,-183.46249999999998,,,,,,,,,
45,390.9,9.131,7.967865943908691,7.7326048612594604,1.370095503716584e-07,1.0,0.893798828125,,,0,0.0,0.0,0.00046003999999999983,0.012139969505369663,0.02361958846449852,0.159015491604805,0.16794487833976746,0.17057710886001587,0.15919126570224762,0.13834871351718903,0.0062339818105101585,0.004065101966261864,-0.007939576171338558,0.005380928982049227,-242.0375,,,,,,,,,
46,399.1,8.171,8.814669132232666,9.488545656204224,1.541898093648797e-07,1.0,0.89666748046875,,,0,0.0,0.0,0.0004700299999999998,0.012818844988942146,0.02486562170088291,0.15864297747612,0.16751456260681152,0.1705002337694168,0.15861035883426666,0.13794676959514618,0.006653922609984875,0.004326007794588804,-0.008512485772371292,0.005373205989599228,-209.96250000000003,,,,,,,,,
47,407.2,8.086,9.532686471939087,7.982135117053986,1.7042804145717128e-07,1.0,0.905517578125,,,0,0.0,0.0,0.0004800199999999998,0.01340341754257679,0.025870993733406067,0.15835633873939514,0.1670510321855545,0.17040210962295532,0.15831534564495087,0.13765683770179749,0.007021510973572731,0.004578680731356144,-0.009079336188733578,0.005191465839743614,-280.8375,,,,,,,,,
48,416.2,9.033,7.1935495138168335,7.700146436691284,1.8221221864678228e-07,1.0,0.890869140625,,,0,0.0,0.0,0.0004900099999999998,0.013622288592159748,0.026233764365315437,0.1578284502029419,0.16623543202877045,0.170311838388443,0.1581917405128479,0.13657480478286743,0.007242581807076931,0.0050497702322900295,-0.009254353120923042,0.004687060136348009,-320.0875,,,,,,,,,
49,424.5,8.285,5.824264585971832,6.637014031410217,1.9064665934820368e-07,1.0,0.8994140625,,,0,0.0,0.0,0.0005,0.014123640954494476,0.027029739692807198,0.157229945063591,0.16508428752422333,0.17026574909687042,0.15791438519954681,0.13565534353256226,0.007727157790213823,0.005231678951531649,-0.009624144062399864,0.004446758423000574,-239.4375,,,,,,,,,
50,433.5,9.052,3.9521846175193787,5.384599566459656,2.0609252260328503e-07,1.0,0.88641357421875,,,0,0.0,0.0,0.0004999986332934228,0.014601088128983974,0.027791140601038933,0.15697219967842102,0.16408482193946838,0.1706777811050415,0.158447265625,0.13467895984649658,0.008013436570763588,0.005403502844274044,-0.01005676481872797,0.004317435901612043,-233.23749999999998,,,,,,,,,
51,442.3,8.769,6.254696190357208,4.851500451564789,2.1868432042992936e-07,1.0,0.89617919921875,,,0,0.0,0.0,0.0004999945331886371,0.015189201571047306,0.028747308999300003,0.15700268745422363,0.16307182610034943,0.17172648012638092,0.1590217649936676,0.13419069349765778,0.008424422703683376,0.0053179142996668816,-0.01057544443756342,0.004429527558386326,-215.725,,,,,,,,,
52,450.5,8.166,6.6819987297058105,5.103665828704834,2.3735279697234546e-07,1.0,0.8978271484375,,,0,0.0,0.0,0.0004999876997304812,0.015726294368505478,0.02975488267838955,0.1569676399230957,0.16297543048858643,0.17288273572921753,0.15871058404445648,0.13330182433128357,0.008770162239670753,0.0052852751687169075,-0.01095054391771555,0.004748901817947626,-132.05,,,,,,,,,
53,458.8,8.314,7.9817869663238525,6.511014938354492,2.5163596717447945e-07,1.0,0.89801025390625,,,0,0.0,0.0,0.0004999781329936845,0.016240203753113747,0.030578110367059708,0.1569058895111084,0.16292303800582886,0.17434166371822357,0.1576305627822876,0.13272829353809357,0.009263669140636921,0.004912491422146559,-0.011306137777864933,0.0050958129577338696,-280.6375,,,,,,,,,
54,467.7,8.915,5.2130513191223145,6.758348286151886,2.7471745056573127e-07,1.0,0.89990234375,,,0,0.0,0.0,0.0004999658330828676,0.01702103018760681,0.031538739800453186,0.1567619889974594,0.16275115311145782,0.17485931515693665,0.15709348022937775,0.13234399259090424,0.01021538395434618,0.00416327640414238,-0.011804505251348019,0.0053555723279714584,-174.1,,,,,,,,,
55,476.3,8.593,4.859548807144165,7.357720255851746,2.9856996519583845e-07,1.0,0.8994140625,,,0,0.0,0.0,0.0004999508001325401,0.017828037962317467,0.032349593937397,0.15642018616199493,0.16235874593257904,0.17473849654197693,0.15678322315216064,0.13180027902126312,0.01135868951678276,0.0033411725889891386,-0.012133880518376827,0.005515852477401495,-224.5375,,,,,,,,,
56,483.9,7.644,9.994898200035095,6.3492066860198975,3.3516823805257445e-07,1.0,0.91021728515625,,,0,0.0,0.0,0.0004999330343071,0.019084246829152107,0.033653464168310165,0.1558208167552948,0.161420077085495,0.17475058138370514,0.1559726595878601,0.13113993406295776,0.01270431000739336,0.002608269453048706,-0.012899510562419891,0.00544137554243207,-186.0625,,,,,,,,,
57,492.6,8.631,8.631566286087036,5.457036852836609,3.8131032908950147e-07,1.0,0.91131591796875,,,0,0.0,0.0,0.0004999125358008315,0.02023838832974434,0.03463802859187126,0.15515312552452087,0.1601921021938324,0.1752258986234665,0.1546987146139145,0.13049575686454773,0.013832293450832367,0.0019479278707876801,-0.013710090890526772,0.005147715099155903,-209.2,,,,,,,,,
58,502.3,9.718,4.2489482164382935,4.155125647783279,4.2307019754161956e-07,1.0,0.9041748046875,,,0,0.0,0.0,0.000499889304837903,0.0209707822650671,0.03520926088094711,0.15466928482055664,0.15945209562778473,0.17538771033287048,0.15350443124771118,0.13033291697502136,0.014459360390901566,0.0016016177833080292,-0.014307377859950066,0.004840903449803591,-125.4375,,,,,,,,,
59,511.3,8.956,6.008650898933411,10.333860754966736,4.4792545139671347e-07,1.0,0.91455078125,,,0,0.0,0.0,0.0004998633416723646,0.02157285064458847,0.03552722558379173,0.15424403548240662,0.15839196741580963,0.1755628138780594,0.15288537740707397,0.13013599812984467,0.014892976731061935,0.0012339724926277995,-0.01489047147333622,0.0045098052360117435,-321.65,,,,,,,,,
60,519.3,8.091,8.623796552419662,3.0881490409374237,4.7157558924482146e-07,1.0,0.9127197265625,,,0,0.0,0.0,0.0004998346465881452,0.021832821890711784,0.035662829875946045,0.1540772169828415,0.15766052901744843,0.1758228987455368,0.15270613133907318,0.13011930882930756,0.014877870678901672,0.00105343631003052,-0.015322170220315456,0.004409355111420155,-86.52499999999999,,,,,,,,,
61,528.2,8.867,8.162783980369568,3.9093093872070312,4.836048148604277e-07,1.0,0.91278076171875,,,0,0.0,0.0,0.0004998032198990499,0.022371970117092133,0.036637917160987854,0.15374255180358887,0.1571187973022461,0.175448939204216,0.15220139920711517,0.1302010416984558,0.01488073356449604,0.000995486043393612,-0.015973422676324844,0.004788275808095932,-144.3375,,,,,,,,,
62,536.9,8.67,7.397215127944946,4.612551778554916,5.178164457220191e-07,1.0,0.9149169921875,,,0,0.0,0.0,0.0004997690619487556,0.023479633033275604,0.038833729922771454,0.15326951444149017,0.1567496508359909,0.17487110197544098,0.1513131707906723,0.1301441192626953,0.015114489942789078,0.0011005764827132225,-0.01704658567905426,0.005572076886892319,-180.8125,,,,,,,,,
63,545.1,8.204,5.850088000297546,4.519848734140396,5.771037336899099e-07,1.0,0.91717529296875,,,0,0.0,0.0,0.0004997321731108086,0.02470792643725872,0.04107504338026047,0.15267221629619598,0.15611602365970612,0.17449039220809937,0.15017031133174896,0.1299121379852295,0.015596916899085045,0.0010823055636137724,-0.018048912286758423,0.006346910260617733,-184.2125,,,,,,,,,
64,553.4,8.335,8.947770357131958,2.681224822998047,6.197570030508359e-07,1.0,0.9161376953125,,,0,0.0,0.0,0.0004996925537886188,0.025269515812397003,0.042306236922740936,0.1520947962999344,0.1558639109134674,0.1740003079175949,0.14953285455703735,0.12898212671279907,0.01559244841337204,0.0012111917603760958,-0.0186149924993515,0.006887602154165506,-105.61249999999998,,,,,,,,,
65,561.8,8.392,5.504398822784424,4.815614223480225,6.461197017415543e-07,1.0,0.92315673828125,,,0,0.0,0.0,0.0004996502044154572,0.02556043304502964,0.04291868209838867,0.15166005492210388,0.1560550183057785,0.17341624200344086,0.14924107491970062,0.12792792916297913,0.01587868481874466,0.0010525266407057643,-0.018580373376607895,0.007407097145915031,-155.975,,,,,,,,,
66,571.1,9.282,5.718587309122086,3.389053761959076,6.52173994808436e-07,1.0,0.90985107421875,,,0,0.0,0.0,0.0004996051254544496,0.025522539392113686,0.0428907684981823,0.15138991177082062,0.15647991001605988,0.17292077839374542,0.14910613000392914,0.12705282866954803,0.01573706977069378,0.0005682804039679468,-0.018294183537364006,0.008291234262287617,-179.6625,,,,,,,,,
67,578.8,7.748,8.05824363231659,4.941446900367737,6.487173180858008e-07,1.0,0.92352294921875,,,0,0.0,0.0,0.0004995573173985724,0.025641929358243942,0.0430392287671566,0.15102632343769073,0.15673983097076416,0.17256422340869904,0.1486322432756424,0.12616904079914093,0.015534830279648304,3.689888399094343e-05,-0.018146483227610588,0.009321016259491444,-172.2625,,,,,,,,,
68,587.3,8.456,7.230492830276489,3.6820918023586273,6.74275568712801e-07,1.0,0.9151611328125,,,0,0.0,0.0,0.0004995067807706466,0.02652684599161148,0.045001428574323654,0.15050362050533295,0.1562405377626419,0.1726522147655487,0.1478581577539444,0.12526358664035797,0.015843156725168228,-0.00041938864160329103,-0.01881524920463562,0.009923634119331837,-225.825,,,,,,,,,
69,596.0,8.726,5.164386749267578,7.227468401193619,7.203383773912719e-07,1.0,0.916015625,,,0,0.0,0.0,0.0004994535161233328,0.02738078683614731,0.04680197685956955,0.15025541186332703,0.1557050347328186,0.173195481300354,0.14737358689308167,0.12474752962589264,0.01621917262673378,-0.0007968107820488513,-0.019497796893119812,0.010288191959261894,-210.425,,,,,,,,,
