,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,26.86423397064209,0.9107077539242459,35.38253974914551,0.03444307895267878
Average,446.8398264319809,721.9092632359718,42.37794627083672,0.27856213617716424
CAD,33.78135299682617,0.02675279638598701,50.88754463195801,0.31543106035298796
DKK,25.990971565246582,0.7595104867510527,40.85675811767578,0.18231175661787558
EUR,2112.235736211141,3608.0319442644345,47.12806701660156,0.004849922151845598
GBP,26.81240463256836,0.052809664009362135,28.080267906188965,0.24490623297752687
JPY,20.129690170288086,1.3326172636560043,12.209054470062256,1.0114967159288337
NOK,27.048806190490723,0.08975997468625697,60.70105743408203,0.08045799663250862
SEK,35.38581657409668,0.49999244715698105,47.720985412597656,0.23136124739048977
USD,47.16686248779297,0.0032314831690272673,58.43524169921875,0.4188627983466028
