epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2,loss_A,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm_lam0,gnorm_A,gnorm_scale,lr,lambda0_norm,A_norm,A_frob,sigma_scale_mean,sigma_s1,sigma_s2,sigma_s3,sigma_s4,lambda0_v1,lambda0_v2,lambda0_v3,lambda0_v4,fwd_bias_diag_bp,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
10,121.7,11.242,0.2900485107675195,0.47453945875167847,0.00014387299233931117,9.8955825478253e-10,1.0,0.99871826171875,,0,0.0,0.0,0.0,7.346000000000002e-05,0.37929975986480713,0.0011000065132975578,0.0011000065132975578,0.029487354680895805,0.024793634191155434,0.04609360918402672,0.017480162903666496,0.029582008719444275,0.0963146910071373,0.35159868001937866,-0.004278658889234066,0.1046510860323906,-6.212500000000002,,,,,,,,,
11,132.2,10.49,0.7771470472216606,0.8656760007143021,0.0001438688050257042,1.3540361887276475e-09,1.0,0.996826171875,,0,0.0,0.0,0.0,8.012000000000003e-05,0.3793089687824249,0.0012712186435237527,0.0012712186435237527,0.029469845816493034,0.024768806993961334,0.04607880860567093,0.017474278807640076,0.029557490721344948,0.09635087847709656,0.3516090512275696,-0.004265830386430025,0.1046169251203537,-14.449999999999996,,,,,,,,,
12,144.1,11.967,0.6522478982806206,0.8999603539705276,0.00014388408089871518,1.8307228788483343e-09,1.0,0.99908447265625,,0,0.0,0.0,0.0,8.678000000000003e-05,0.37934768199920654,0.0015030096983537078,0.0015030096983537078,0.02943771705031395,0.02472083643078804,0.04604989290237427,0.017464108765125275,0.029516033828258514,0.09644220769405365,0.3516467213630676,-0.00432836078107357,0.10454388707876205,-19.362499999999997,,,,,,,,,
13,156.5,12.364,0.7729120315052569,0.6378242373466492,0.00014392142111319117,2.5111135948385765e-09,1.0,0.99908447265625,,0,0.0,0.0,0.0,9.344000000000004e-05,0.37940165400505066,0.0017273899866268039,0.0017273899866268039,0.029401933774352074,0.02468024380505085,0.046016495674848557,0.017441505566239357,0.02946949005126953,0.09651333093643188,0.35171130299568176,-0.004411471076309681,0.10445334762334824,15.5,,,,,,,,,
14,168.4,11.88,0.8934089653193951,0.6078101731836796,0.00014394622849067673,3.381573521199499e-09,1.0,0.99951171875,,0,0.0,0.0,0.0,0.00010010000000000003,0.37940701842308044,0.002036041347309947,0.002036041347309947,0.02938307821750641,0.024651281535625458,0.046053603291511536,0.017407391220331192,0.02942003309726715,0.09658024460077286,0.35173237323760986,-0.004514290951192379,0.10433550924062729,-49.0375,,,,,,,,,
15,179.9,11.552,0.7465622760355473,0.814325250685215,0.00014394629033631645,4.5643387958094195e-09,1.0,0.99835205078125,,0,0.0,0.0,0.0,0.00010676000000000003,0.37939250469207764,0.002296584192663431,0.002296584192663431,0.029358111321926117,0.024617111310362816,0.04601840302348137,0.01737457700073719,0.029422355815768242,0.09661321341991425,0.3516864776611328,-0.004440210293978453,0.1044100746512413,-9.362499999999997,,,,,,,,,
16,192.6,12.642,0.2795299682766199,0.8660621494054794,0.00014394197569345124,5.713682083019478e-09,1.0,0.999267578125,,0,0.0,0.0,0.0,0.00011342000000000004,0.37941470742225647,0.0025460082106292248,0.0025460082106292248,0.02933858148753643,0.02459733374416828,0.04600859433412552,0.017334938049316406,0.029413461685180664,0.09658387303352356,0.3517056703567505,-0.004353032913058996,0.10445690900087357,51.1875,,,,,,,,,
17,203.6,11.07,1.1966663040220737,0.9460961669683456,0.00014394941899809055,7.0142867070188686e-09,1.0,0.99755859375,,0,0.0,0.0,0.0,0.00012008000000000003,0.37938228249549866,0.0027853180654346943,0.0027853180654346943,0.02933226339519024,0.024589458480477333,0.046035829931497574,0.017291372641921043,0.029412388801574707,0.0964907854795456,0.35167038440704346,-0.004212643019855022,0.10454972833395004,21.974999999999998,,,,,,,,,
18,215.1,11.513,0.7296622679568827,0.9439100101590157,0.00014391967124538496,8.357875058706554e-09,1.0,0.99853515625,,0,0.0,0.0,0.0,0.00012674000000000005,0.3793601393699646,0.003035523695871234,0.003035523695871234,0.029317546635866165,0.02455964870750904,0.04604581743478775,0.01725318282842636,0.029411539435386658,0.0964006632566452,0.3516380488872528,-0.004043443128466606,0.10466787964105606,9.774999999999997,,,,,,,,,
19,227.6,12.489,0.38036032021045685,0.6711829006671906,0.00014392844968824647,9.628843056219694e-09,1.0,0.99945068359375,,0,0.0,0.0,0.0,0.00013340000000000007,0.37941673398017883,0.0032248583156615496,0.0032248583156615496,0.029297322034835815,0.02451615035533905,0.046043843030929565,0.017222637310624123,0.029406659305095673,0.09631871432065964,0.3517044484615326,-0.003940468654036522,0.10472926497459412,47.7125,,,,,,,,,
20,239.9,12.303,0.5064701996743679,0.6735587045550346,0.0001439580591977574,1.1229413843238945e-08,1.0,0.99908447265625,,0,0.0,0.0,0.0,0.0001400600000000001,0.37938544154167175,0.0035873237065970898,0.0035873237065970898,0.02926591970026493,0.02445913478732109,0.04601826146245003,0.017194591462612152,0.029391689226031303,0.09639552980661392,0.3516022264957428,-0.003784117056056857,0.10489403456449509,4.2875,,,,,,,,,
21,252.1,12.178,0.3198204059153795,1.1841698288917542,0.00014388500494533218,1.4058723740717483e-08,1.0,0.99737548828125,,0,0.0,0.0,0.0,0.00014672000000000009,0.37920352816581726,0.003994293045252562,0.003994293045252562,0.029245497658848763,0.02443898841738701,0.045980118215084076,0.017175719141960144,0.02938716858625412,0.09642083197832108,0.3513369560241699,-0.0035742120817303658,0.10510899871587753,21.1,,,,,,,,,
22,263.2,11.137,0.5573201067745686,0.6190603971481323,0.0001437418868590612,1.7178075406576454e-08,1.0,0.99786376953125,,0,0.0,0.0,0.0,0.00015338000000000008,0.379019170999527,0.0043883416801691055,0.0043883416801691055,0.02922782115638256,0.024422254413366318,0.045951154083013535,0.01716308668255806,0.029374783858656883,0.09650930762290955,0.3510580062866211,-0.0034296957310289145,0.10529959946870804,-17.075,,,,,,,,,
23,275.1,11.846,0.674230296164751,0.9879076033830643,0.0001436100028513465,2.0868876848822993e-08,1.0,0.99896240234375,,0,0.0,0.0,0.0,0.00016004000000000007,0.3788807988166809,0.004865944851189852,0.004865944851189852,0.029202304780483246,0.02438545972108841,0.04591430351138115,0.01715286821126938,0.029356595128774643,0.09663733839988708,0.35081908106803894,-0.0033055897802114487,0.1054842546582222,5.624999999999999,,,,,,,,,
24,287.0,11.889,0.19670817535370588,0.6986286342144012,0.00014352271318784915,2.550568956039001e-08,1.0,0.9990234375,,0,0.0,0.0,0.0,0.00016670000000000007,0.37880373001098633,0.0053502414375543594,0.0053502414375543594,0.02916712686419487,0.024333061650395393,0.045874714851379395,0.01713375560939312,0.029326975345611572,0.09679051488637924,0.3506680428981781,-0.003249005414545536,0.10557101666927338,16.0125,,,,,,,,,
25,297.2,10.26,0.6530018150806427,0.6800413802266121,0.0001434687255823519,3.090477385114809e-08,1.0,0.99871826171875,,0,0.0,0.0,0.0,0.00017336000000000006,0.37873026728630066,0.005883640609681606,0.005883640609681606,0.029115766286849976,0.02425643615424633,0.04584842547774315,0.01709182932972908,0.029266374185681343,0.09700740873813629,0.3505077660083771,-0.0032144933938980103,0.10564162582159042,-46.5375,,,,,,,,,
26,308.8,11.524,0.2580527006648481,0.8301852121949196,0.0001434256300854031,3.636614120949844e-08,1.0,0.9984130859375,,0,0.0,0.0,0.0,0.00018002000000000008,0.3787166476249695,0.006252968218177557,0.006252968218177557,0.029096070677042007,0.024224694818258286,0.045848362147808075,0.017082035541534424,0.029229193925857544,0.09693415462970734,0.3504727780818939,-0.0030053702648729086,0.10578222572803497,26.0625,,,,,,,,,
27,321.2,12.412,0.2684810943901539,0.7620433121919632,0.0001433995639672503,4.130089159559702e-08,1.0,0.99945068359375,,0,0.0,0.0,0.0,0.0001866800000000001,0.3786231279373169,0.00670839287340641,0.00670839287340641,0.029092928394675255,0.02421886846423149,0.04586312174797058,0.01707599312067032,0.02921372652053833,0.09666326642036438,0.3504035174846649,-0.0026940470561385155,0.1059330478310585,-17.4875,,,,,,,,,
28,334.3,13.143,0.4269120320677757,0.7221460789442062,0.0001433532488590572,4.712851264798701e-08,1.0,1.0,,0,0.0,0.0,0.0,0.0001933400000000001,0.3786367177963257,0.007119524758309126,0.007119524758309126,0.029075555503368378,0.024187223985791206,0.045867253094911575,0.017059260979294777,0.029188482090830803,0.09635427594184875,0.350482314825058,-0.0024561311583966017,0.10600804537534714,34.175,,,,,,,,,
29,346.9,12.57,0.43584198877215385,0.6979700326919556,0.0001433657125744503,5.313551998398225e-08,1.0,0.99945068359375,,0,0.0,0.0,0.0,0.0002,0.3786553144454956,0.0075681316666305065,0.0075681316666305065,0.02904505655169487,0.024138543754816055,0.04585554450750351,0.01702713593840599,0.029158998280763626,0.0961824283003807,0.35052579641342163,-0.002300905529409647,0.10609026253223419,-8.375000000000002,,,,,,,,,
30,357.6,10.684,0.972704304382205,0.6304712444543839,0.00014340590860228986,5.958867177469074e-08,1.0,0.9986572265625,,0,0.0,0.0,0.0,0.0001999994757858978,0.3787621557712555,0.007988588884472847,0.007988588884472847,0.02899952605366707,0.024049699306488037,0.04585423320531845,0.017013078555464745,0.02908109314739704,0.09613674134016037,0.3506702482700348,-0.002322863321751356,0.10603523999452591,13.9375,,,,,,,,,
31,369.9,12.328,0.20197728276252747,0.7192311137914658,0.00014350705168908462,6.713693245785635e-08,1.0,0.998291015625,,0,0.0,0.0,0.0,0.00019999790314908985,0.37894636392593384,0.008514954708516598,0.008514954708516598,0.028946200385689735,0.02396894246339798,0.045851051807403564,0.01697823777794838,0.02898656390607357,0.09612835198640823,0.35092416405677795,-0.0024892992805689573,0.10585708171129227,42.0375,,,,,,,,,
32,381.0,11.075,0.7168782074004412,0.6842699572443962,0.00014365820970851928,7.562627146739942e-08,1.0,0.9964599609375,,0,0.0,0.0,0.0,0.00019999528210607237,0.3791295289993286,0.009045649319887161,0.009045649319887161,0.028848066926002502,0.023852532729506493,0.04580925405025482,0.016882967203855515,0.02884751185774803,0.0962245762348175,0.3511512279510498,-0.002708565443754196,0.10566707700490952,-7.3749999999999964,,,,,,,,,
33,392.5,11.509,1.0812256503850222,0.9664652496576309,0.00014376464605447836,8.614728841394026e-08,1.0,0.99755859375,,0,0.0,0.0,0.0,0.00019999161268433895,0.37921836972236633,0.009580738842487335,0.009580738842487335,0.02877017855644226,0.023769518360495567,0.04577639326453209,0.016789928078651428,0.02874487265944481,0.0961528867483139,0.35125085711479187,-0.0026461598463356495,0.10572142899036407,-16.937499999999996,,,,,,,,,
34,403.2,10.76,0.5665432028472424,0.6266235560178757,0.00014381572327692993,9.53111953805319e-08,1.0,0.99908447265625,,0,0.0,0.0,0.0,0.00019998689492237997,0.3791809380054474,0.010077939368784428,0.010077939368784428,0.02872908115386963,0.023720633238554,0.04578200355172157,0.016722677275538445,0.0286910068243742,0.09600041061639786,0.35118138790130615,-0.002349170157685876,0.10596325248479843,3.6750000000000007,,,,,,,,,
35,415.3,12.065,0.5441243648529053,0.6652766168117523,0.00014374940292327665,1.0559931418185897e-07,1.0,0.9979248046875,,0,0.0,0.0,0.0,0.0001999811288696826,0.37908974289894104,0.010566840879619122,0.010566840879619122,0.028688563033938408,0.02367432601749897,0.045780912041664124,0.016658926382660866,0.02864009141921997,0.09578590095043182,0.3510363698005676,-0.0019586379639804363,0.10631906986236572,60.1,,,,,,,,,
36,427.2,11.906,0.38907676935195923,0.7998636364936829,0.00014367903349921107,1.1441815317425608e-07,1.0,0.99957275390625,,0,0.0,0.0,0.0,0.00019997431458672996,0.37902969121932983,0.010877213440835476,0.010877213440835476,0.028694482520222664,0.023686831817030907,0.04588449373841286,0.01663251221179962,0.02857409603893757,0.09536751359701157,0.3510184586048126,-0.0016760110156610608,0.10654463618993759,6.424999999999997,,,,,,,,,
37,438.5,11.328,1.387311277911067,0.553266741335392,0.0001436734019080177,1.20231506528512e-07,1.0,0.99725341796875,,0,0.0,0.0,0.0,0.0001999664521450007,0.3790523409843445,0.01115494966506958,0.01115494966506958,0.028690392151474953,0.02368253469467163,0.04592690244317055,0.016616927459836006,0.028535209596157074,0.0950341671705246,0.35105738043785095,-0.0014184275642037392,0.10679831355810165,53.675,,,,,,,,,
38,448.3,9.717,0.6744650490581989,0.5301282964646816,0.00014366271716426127,1.2872056132096077e-07,1.0,0.99822998046875,,0,0.0,0.0,0.0,0.0001999575416269681,0.378971129655838,0.011709213256835938,0.011709213256835938,0.028654441237449646,0.023641172796487808,0.045896515250205994,0.01657254993915558,0.028507526963949203,0.09500040858983994,0.3508816063404083,-0.0011691119289025664,0.10712037235498428,-17.3125,,,,,,,,,
39,459.6,11.376,0.31095603620633483,0.8475631698966026,0.0001435861995560117,1.4341931375838612e-07,1.0,0.99737548828125,,0,0.0,0.0,0.0,0.00019994758312609926,0.37886184453964233,0.012398969382047653,0.012398969382047653,0.028593314811587334,0.023602120578289032,0.04583180323243141,0.016497034579515457,0.028442298993468285,0.09503570944070816,0.35070720314979553,-0.00101559073664248,0.1072751134634018,7.074999999999996,,,,,,,,,
40,471.8,12.133,0.44778458774089813,0.8544694632291794,0.00014352025027619675,1.6008965531000285e-07,1.0,0.9989013671875,,0,0.0,0.0,0.0,0.00019993657674685414,0.3788292706012726,0.01302171777933836,0.01302171777933836,0.028542175889015198,0.02359934151172638,0.04579981043934822,0.01641850173473358,0.028351055458188057,0.09488144516944885,0.35071736574172974,-0.0009533548727631569,0.10726392269134521,27.562499999999996,,,,,,,,,
41,482.5,10.684,2.0449617952108383,0.5471081361174583,0.00014351578283822164,1.7274922825549766e-07,1.0,0.99468994140625,,0,0.0,0.0,0.0,0.00019992452260468444,0.37884095311164856,0.01332656480371952,0.01332656480371952,0.02851000428199768,0.02361668273806572,0.045726228505373,0.016316020861268044,0.02838108316063881,0.0946367159485817,0.3507757782936096,-0.0007974351174198091,0.1073315218091011,-32.425,,,,,,,,,
42,494.8,12.369,0.6546004563570023,0.6758882328867912,0.00014352503058034927,1.8103009580272555e-07,1.0,0.99884033203125,,0,0.0,0.0,0.0,0.00019991142082603243,0.378833532333374,0.013672533445060253,0.013672533445060253,0.028461817651987076,0.02357514761388302,0.045681681483983994,0.016218850389122963,0.028371598571538925,0.0946410745382309,0.3507397174835205,-0.0007260595448315144,0.10741990059614182,38.7875,,,,,,,,,
43,507.1,12.28,0.15345160773722455,0.667015939950943,0.00014349114644574001,1.910547275940644e-07,1.0,0.99969482421875,,0,0.0,0.0,0.0,0.0001998972715483296,0.3787868022918701,0.014036591164767742,0.014036591164767742,0.02842281386256218,0.02354666218161583,0.04564609006047249,0.016143282875418663,0.028355218470096588,0.09454036504030228,0.35066232085227966,-0.0004946849658153951,0.10759764909744263,8.9875,,,,,,,,,
44,519.4,12.284,0.48205041512846947,0.7426961958408356,0.00014349486809805967,2.0010687151739148e-07,1.0,0.99920654296875,,0,0.0,0.0,0.0,0.00019988207491999512,0.37884992361068726,0.01432773843407631,0.01432773843407631,0.028384694829583168,0.02352072298526764,0.045611441135406494,0.01609194464981556,0.02831467241048813,0.09436798840761185,0.35075581073760986,-0.00034065046929754317,0.10766706615686417,31.900000000000006,,,,,,,,,
45,530.9,11.555,1.4491110146045685,0.8590743690729141,0.00014353731967275962,2.076741090206724e-07,1.0,0.99603271484375,,0,0.0,0.0,0.0,0.00019986583110043446,0.3788425028324127,0.014560643583536148,0.014560643583536148,0.028354372829198837,0.023511428385972977,0.04551595449447632,0.01606876403093338,0.02832134999334812,0.09415306150913239,0.3507534861564636,-8.958586840890348e-05,0.10783691704273224,62.050000000000004,,,,,,,,,
46,542.4,11.421,1.237980017438531,0.6585410386323929,0.00014351301069837064,2.1464173727281377e-07,1.0,0.995849609375,,0,0.0,0.0,0.0,0.00019984854026003758,0.3788418769836426,0.014754190109670162,0.014754190109670162,0.02834172174334526,0.023506993427872658,0.04542594030499458,0.01605139672756195,0.028382550925016403,0.09376274794340134,0.3507692813873291,0.0003437605919316411,0.10812259465456009,-18.525,,,,,,,,,
47,555.0,12.63,0.2940612365491688,0.5029857605695724,0.00014353426013258286,2.187748613380336e-07,1.0,0.999267578125,,0,0.0,0.0,0.0,0.00019983020258017726,0.3788969814777374,0.014859597198665142,0.014859597198665142,0.028343046084046364,0.023564932867884636,0.04531789571046829,0.016036340966820717,0.02845301479101181,0.0932115986943245,0.350892573595047,0.0007883670041337609,0.10838954895734787,-3.375,,,,,,,,,
48,568.2,13.18,1.5917618968524039,1.125453919172287,0.0001435702870367095,2.2349836825696912e-07,1.0,0.9971923828125,,0,0.0,0.0,0.0,0.000199810818253207,0.3789447844028473,0.015113835223019123,0.015113835223019123,0.028334487229585648,0.023616153746843338,0.04523296654224396,0.016017906367778778,0.028470929712057114,0.09271889925003052,0.3510045111179352,0.0011568666668608785,0.10861329734325409,6.925000000000001,,,,,,,,,
49,579.7,11.522,1.1821809969842434,0.5700587145984173,0.0001436232305422891,2.322821082145765e-07,1.0,0.99755859375,,0,0.0,0.0,0.0,0.0001997903874824593,0.3790234327316284,0.015487383119761944,0.015487383119761944,0.028296273201704025,0.02359268069267273,0.045162446796894073,0.01597283035516739,0.028457138687372208,0.09254492819309235,0.35112154483795166,0.0012896675616502762,0.10865633934736252,-23.787499999999994,,,,,,,,,
50,592.5,12.802,0.20141982100903988,0.7134008035063744,0.0001436959246348124,2.442094881871526e-07,1.0,0.999267578125,,0,0.0,0.0,0.0,0.00019976891048224324,0.3791981339454651,0.015862615779042244,0.015862615779042244,0.028243405744433403,0.023544713854789734,0.04506334289908409,0.01592801697552204,0.028437545523047447,0.09255874156951904,0.3513197898864746,0.001287002582103014,0.10861329734325409,23.975,,,,,,,,,
51,604.9,12.381,0.6935876756906509,0.8556344658136368,0.00014385820031748153,2.542203461075587e-07,1.0,0.99725341796875,,0,0.0,0.0,0.0,0.00019974638747784242,0.3794170022010803,0.016128750517964363,0.016128750517964363,0.028173869475722313,0.023469524458050728,0.04495421051979065,0.015877127647399902,0.02839461900293827,0.09255547821521759,0.3515278398990631,0.0014621138107031584,0.1087050586938858,-23.0125,,,,,,,,,
52,616.5,11.603,1.3507447466254234,1.0070117861032486,0.000143993765959749,2.6601485814126136e-07,1.0,0.99554443359375,,0,0.0,0.0,0.0,0.00019972281870551245,0.3795382082462311,0.01658492162823677,0.01658492162823677,0.028063783422112465,0.023375969380140305,0.044726304709911346,0.01580231636762619,0.028350548818707466,0.09265178442001343,0.3515966236591339,0.001649785554036498,0.10882097482681274,-38.637499999999996,,,,,,,,,
53,628.4,11.924,0.5911587646696717,0.8324494771659374,0.0001440799969714135,2.8118560635448375e-07,1.0,0.99761962890625,,0,0.0,0.0,0.0,0.00019969820441247861,0.37965312600135803,0.017075125128030777,0.017075125128030777,0.027864933013916016,0.023275049403309822,0.044252943247556686,0.015717750415205956,0.028213981539011,0.09294335544109344,0.3516542911529541,0.0016113556921482086,0.10878739506006241,-77.8875,,,,,,,,,
54,640.2,11.761,0.3067241907119751,0.8130274415016174,0.0001441537715436425,2.9853403304969106e-07,1.0,0.99774169921875,,0,0.0,0.0,0.0,0.00019967254485693325,0.3796287477016449,0.017609484493732452,0.017609484493732452,0.027678150683641434,0.02314472571015358,0.04384288191795349,0.01563544198870659,0.028089556843042374,0.09335847944021225,0.35156765580177307,0.0014233876718208194,0.10862942039966583,-15.950000000000003,,,,,,,,,
55,651.3,11.135,0.23182612098753452,0.5294566303491592,0.0001440859559806995,3.165045754371931e-07,1.0,0.99859619140625,,0,0.0,0.0,0.0,0.00019964584030803285,0.37951499223709106,0.018103839829564095,0.018103839829564095,0.027546439319849014,0.023052169010043144,0.04356060177087784,0.015575732104480267,0.027997255325317383,0.09361211210489273,0.3513873219490051,0.0014703980414196849,0.10859650373458862,15.587499999999999,,,,,,,,,
56,662.2,10.904,1.2102766577154398,0.7299246490001678,0.00014399342398974113,3.3448896630261515e-07,1.0,0.99493408203125,,0,0.0,0.0,0.0,0.00019961809104589563,0.3793947100639343,0.018568776547908783,0.018568776547908783,0.027454763650894165,0.022984769195318222,0.04337221011519432,0.015531226061284542,0.027930844575166702,0.09392203390598297,0.3511579632759094,0.0015583800850436091,0.10864922404289246,4.925000000000001,,,,,,,,,
57,674.7,12.481,1.4585049599409103,0.6176685094833374,0.00014392597586265765,3.4721542618854073e-07,1.0,0.99493408203125,,0,0.0,0.0,0.0,0.00019958929736159812,0.3793553411960602,0.01869005523622036,0.01869005523622036,0.027416400611400604,0.02293197065591812,0.0432693175971508,0.015526946634054184,0.02793736383318901,0.09400897473096848,0.3510167598724365,0.00181918079033494,0.10888852924108505,-31.125,,,,,,,,,
58,687.5,12.851,0.6853761440142989,0.6735976785421371,0.00014390272917808034,3.5286065269701794e-07,1.0,0.99932861328125,,0,0.0,0.0,0.0,0.00019955945955717246,0.37936195731163025,0.01893536187708378,0.01893536187708378,0.02738114446401596,0.02291007898747921,0.0432484932243824,0.015508233569562435,0.027857769280672073,0.09403053671121597,0.3509786128997803,0.0019695137161761522,0.10901331156492233,16.637500000000003,,,,,,,,,
59,700.4,12.825,0.1375285666435957,0.7600299194455147,0.00014392142111319117,3.6191713093103317e-07,1.0,0.9984130859375,,0,0.0,0.0,0.0,0.0001995285779456031,0.3793097734451294,0.019215453416109085,0.019215453416109085,0.02735085040330887,0.02289094217121601,0.04324443265795708,0.01548633724451065,0.027781683951616287,0.09397929906845093,0.3508771061897278,0.0021754030603915453,0.10919852554798126,35.68749999999999,,,,,,,,,
60,710.7,10.34,0.5033608078956604,0.433205783367157,0.00014383654342964292,3.7476555547755197e-07,1.0,0.9957275390625,,0,0.0,0.0,0.0,0.00019949665285082355,0.37920376658439636,0.019592497497797012,0.019592497497797012,0.02730375900864601,0.022837268188595772,0.04321390390396118,0.015451647341251373,0.02771221660077572,0.09413447976112366,0.3506717383861542,0.00227122544310987,0.10935436934232712,-0.40000000000000213,,,,,,,,,
61,722.2,11.534,0.4682864472270012,0.6986518353223801,0.00014380207358044572,3.8837072935393735e-07,1.0,0.99957275390625,,0,0.0,0.0,0.0,0.00019946368460771298,0.3792523741722107,0.019892368465662003,0.019892368465662003,0.02726421132683754,0.022785259410738945,0.04319337382912636,0.015422997996211052,0.027655215933918953,0.09420732408761978,0.3506944179534912,0.002289739204570651,0.10938704758882523,9.150000000000002,,,,,,,,,
