epoch,time_total_sec,time_interval_sec,loss_total,loss_recon,loss_price,loss_eig,priced_frac,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,nan_batches,grad_norm_total,gnorm_H,gnorm_K,gnorm_G,gnorm_enc,gnorm_R,lr_H,lr_K,lr_G,lr_enc,lr_R,lambda_min_K,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
44,2610.0,58.782,4.569828060951506e-05,2.9429594278275435e-07,0.0,0.000454039846667323,0.0,2.9429594278275435e-07,0.0005424905001774265,5.37355030907525,1470,0,0,0.00034348067669199976,6.408275246789489e-07,0.0003422541787386984,2.8993822389895087e-05,0.0,0.0,4.4022128841720766e-05,8.814009529720152e-06,4.4022128841720766e-05,,,0.007477151229977608,5.01680850982666,5.369174957275391,5.370611190795898,6.101292610168457,7.287573337554932,4.929651260375977,5.31529426574707,3.8099260330200195,5.161620616912842,2.11.0+cpu,3.13.3,2.2.5
45,2654.4,44.382,4.530948094380391e-05,2.941568592722105e-07,0.0,0.00045015324084531695,0.0,2.941568592722105e-07,0.000542362295216224,5.304463783899942,1470,0,0,0.00037908821298271515,1.9587189394542826e-06,0.0003457792205762789,0.00015537299398610315,0.0,0.0,4.376527118727996e-05,8.763049794670773e-06,4.376527118727996e-05,,,0.007660193368792534,5.034784317016602,5.331360816955566,5.133499622344971,6.044127464294434,7.082032203674316,4.95209264755249,5.287751197814941,3.7210309505462646,5.153494834899902,2.11.0+cpu,3.13.3,2.2.5
46,2692.1,37.73,4.4922291542955584e-05,2.9575566983038124e-07,0.0,0.000446265358731252,0.0,2.9575566983038124e-07,0.0005438342301017666,5.303211821450128,1470,0,0,0.00035137197598948276,8.367044865820425e-07,0.0003495505487947721,3.572085208431393e-05,0.0,0.0,4.35037958197163e-05,8.711173920144115e-06,4.35037958197163e-05,,,0.007844436913728714,5.033543586730957,5.33686637878418,5.136323928833008,6.057082176208496,7.0825371742248535,4.947159290313721,5.288855075836182,3.706939458847046,5.139599323272705,2.11.0+cpu,3.13.3,2.2.5
47,2733.5,41.33,4.45347742154323e-05,2.9715121710056696e-07,0.0,0.0004423762299833173,0.0,2.9715121710056696e-07,0.0005451157832062533,5.316179222530789,1470,0,0,0.00042266748238649256,2.5994095025938273e-06,0.00035189897153510287,0.00023411142127139096,0.0,0.0,4.323776725416421e-05,8.658394705735985e-06,4.323776725416421e-05,,,0.008029190823435783,5.026385307312012,5.361213684082031,5.192261219024658,6.018449783325195,7.108777046203613,4.9382853507995605,5.291019916534424,3.739962100982666,5.1692585945129395,2.11.0+cpu,3.13.3,2.2.5
48,2762.5,29.043,4.414579079243409e-05,2.969302278304486e-07,0.0,0.0004384886056460364,0.0,2.969302278304486e-07,0.0005449130461187808,5.30487330754598,1470,0,0,0.0003565875523919546,1.1287517355851423e-06,0.0003549326423941306,3.42961776809692e-05,0.0,0.0,4.2967251129191556e-05,8.604725173927785e-06,4.2967251129191556e-05,,,0.008214627392590046,5.0287604331970215,5.341153144836426,5.1406402587890625,6.052241802215576,7.07426118850708,4.9522857666015625,5.295419216156006,3.7094368934631348,5.149661064147949,2.11.0+cpu,3.13.3,2.2.5
49,2812.7,50.167,4.375615470514484e-05,2.955273913971878e-07,0.0,0.0004346062731374765,0.0,2.955273913971878e-07,0.000543624310896034,5.327049785190158,1470,0,0,0.00039287242857213384,3.776802755947844e-06,0.00035820519014564777,0.0001613180791040775,0.0,0.0,4.269231419060435e-05,8.550178566873408e-06,4.269231419060435e-05,,,0.008400843478739262,5.028343677520752,5.349991321563721,5.226557731628418,6.0252909660339355,7.157370567321777,4.936305999755859,5.286877155303955,3.765117645263672,5.167593002319336,2.11.0+cpu,3.13.3,2.2.5
50,2871.6,58.926,4.336756135190707e-05,2.948839325382032e-07,0.0,0.00043072677419368863,0.0,2.948839325382032e-07,0.0005430321652887637,5.307288116878934,1470,0,0,0.00036117895119922884,1.2478061933715428e-06,0.0003609081011705096,1.3929116216613647e-05,0.0,0.0,4.241302427497823e-05,8.494768343131954e-06,4.241302427497823e-05,,,0.008587528951466084,5.04368257522583,5.32929801940918,5.13489294052124,6.05387020111084,7.090081214904785,4.9648823738098145,5.293529033660889,3.7112226486206055,5.144134044647217,2.11.0+cpu,3.13.3,2.2.5
51,2929.7,58.049,4.2980811945508446e-05,2.9516836656555476e-07,0.0,0.0004268564357894289,0.0,2.9516836656555476e-07,0.0005432939964379827,5.367105060153537,1470,0,0,0.0003651308776454982,1.975315976220194e-06,0.00036381888619935003,3.0862177201717814e-05,0.0,0.0,4.212945029292077e-05,8.438508174347008e-06,4.212945029292077e-05,,,0.008774764835834503,5.0547380447387695,5.342809200286865,5.146244049072266,6.275302886962891,7.241449356079102,4.97960901260376,5.363731384277344,3.7208118438720703,5.1792497634887695,2.11.0+cpu,3.13.3,2.2.5
52,2988.2,58.561,4.259431418266686e-05,2.947504958219539e-07,0.0,0.000422995636868449,0.0,2.947504958219539e-07,0.0005429092887600598,5.334891133838229,1470,0,0,0.0003668853890074825,4.363239729625358e-07,0.0003662871075923187,2.0939271721230132e-05,0.0,0.0,4.184166221206883e-05,8.381411941873377e-06,4.184166221206883e-05,,,0.008962463587522507,5.024109363555908,5.368654251098633,5.247204780578613,6.0345659255981445,7.17432165145874,4.932999134063721,5.295973777770996,3.7657358646392822,5.170455455780029,2.11.0+cpu,3.13.3,2.2.5
53,3046.7,58.491,4.221208018252521e-05,2.977386483984273e-07,0.0,0.0004191434153412678,0.0,2.977386483984273e-07,0.0005456543305046037,5.381304131613837,1470,0,0,0.0004562009293691441,5.938203398954138e-06,0.0003699821153790264,0.00026682814693604627,0.0,0.0,4.15497310398251e-05,8.323493733352076e-06,4.15497310398251e-05,,,0.009150216355919838,5.063334941864014,5.328719139099121,5.168166637420654,6.32855749130249,7.269089221954346,4.995255947113037,5.3792901039123535,3.7292144298553467,5.170109272003174,2.11.0+cpu,3.13.3,2.2.5
54,3104.2,57.45,4.182896463637663e-05,2.9852170779171884e-07,0.0,0.00041530442928584913,0.0,2.9852170779171884e-07,0.0005463714009643247,5.306975497139825,1470,0,0,0.0003789452080405114,7.358282816847446e-07,0.0003712839189421504,7.581016283167492e-05,0.0,0.0,4.1253728805838073e-05,8.264767839234409e-06,4.1253728805838073e-05,,,0.00933830812573433,5.036872863769531,5.335361957550049,5.131533145904541,6.059962272644043,7.083876609802246,4.962940692901611,5.295749187469482,3.7091782093048096,5.147304534912109,2.11.0+cpu,3.13.3,2.2.5
55,3164.3,60.099,4.1442907523865e-05,2.9480624092542293e-07,0.0,0.0004114810128293957,0.0,2.9480624092542293e-07,0.000542960625575578,5.305489381154379,1470,0,0,0.0005337664510553446,4.720010468473003e-06,0.0003743235256345037,0.0003804815947321896,0.0,0.0,4.09537285442298e-05,8.205248749256014e-06,4.09537285442298e-05,,,0.009526324458420277,5.030489444732666,5.355342388153076,5.121562957763672,6.02241325378418,7.096425533294678,4.945713043212891,5.289998531341553,3.7116775512695312,5.175781726837158,2.11.0+cpu,3.13.3,2.2.5
56,3221.3,57.066,4.106596283391735e-05,2.9876760959887424e-07,0.0,0.00040767195224318477,0.0,2.9876760959887424e-07,0.0005465963863756092,5.312184757656522,1470,0,0,0.0003772947757350524,3.6880948700418553e-07,0.00037588555501445666,3.2577005816981726e-05,0.0,0.0,4.0649804275575836e-05,8.144951148861741e-06,4.0649804275575836e-05,,,0.009714345447719097,5.041773319244385,5.3497538566589355,5.132959365844727,6.082385540008545,7.084889888763428,4.959675312042236,5.305845260620117,3.7024950981140137,5.149885177612305,2.11.0+cpu,3.13.3,2.2.5
57,3277.0,55.707,4.0685097074155776e-05,2.967678566539293e-07,0.0,0.00040388329217501845,0.0,2.967678566539293e-07,0.0005447640375923592,5.3089066876305475,1470,0,0,0.00037835596010249705,6.271368207378072e-07,0.0003782962086731155,6.6946058910946565e-06,0.0,0.0,4.034203098864176e-05,8.083889915582235e-06,4.034203098864176e-05,,,0.009902878664433956,5.046108245849609,5.347517967224121,5.119373321533203,6.064295291900635,7.090738296508789,4.951507568359375,5.296673774719238,3.7064273357391357,5.15751838684082,2.11.0+cpu,3.13.3,2.2.5
58,3333.9,56.828,4.0306938513864155e-05,2.958359418250259e-07,0.0,0.00040011102572039124,0.0,2.958359418250259e-07,0.0005439080269908009,5.318757772445679,1470,0,0,0.0003837164879021098,9.147502077675594e-07,0.0003804314113347587,5.0094386809611866e-05,0.0,0.0,4.00304846218808e-05,8.022080115363127e-06,4.00304846218808e-05,,,0.010090895928442478,5.0484538078308105,5.338033676147461,5.1059417724609375,6.089350700378418,7.121674537658691,4.968780040740967,5.314831733703613,3.7065494060516357,5.175204277038574,2.11.0+cpu,3.13.3,2.2.5
59,3396.2,62.371,3.9932852883352514e-05,2.9697324714252194e-07,0.0,0.0003963587963620999,0.0,2.9697324714252194e-07,0.0005449525182458761,5.307056268056234,1470,0,0,0.00040287052384449794,4.052321305254523e-06,0.00038273861326125664,0.000125695630765868,0.0,0.0,3.97152420446972e-05,7.959536998847744e-06,3.97152420446972e-05,,,0.010278529487550259,5.034248352050781,5.348751068115234,5.157735347747803,6.017355442047119,7.101534843444824,4.952981948852539,5.291141986846924,3.708197593688965,5.151559829711914,2.11.0+cpu,3.13.3,2.2.5
