variant,seed,epoch,train_mse,train_rmse,val_avg_rmse_bps,val_n_good,val_n_bad,epoch_time_sec,cumulative_time_sec,mean_grad_norm,nan_batches,failed_batches,ode_failures,lr,best_val_so_far_bps
baseline,3,0,0.0005159067494525262,0.022713580727232906,94.24919170803494,216,0,0.6747709999908693,0.6747719999984838,0.0006117524909010778,0,0,0,0.001,94.24919170803494
baseline,3,1,0.00048043913557194173,0.021918921861531916,336.52807256910535,213,3,0.39251550001790747,1.0811110000358894,0.000755019000886629,24,0,0,0.001,94.24919170803494
baseline,3,2,0.0,0.0,336.52807256910535,213,3,0.3228307079989463,1.4179220420191996,,30,0,0,0.001,94.24919170803494
baseline,3,3,0.0,0.0,336.52807256910535,213,3,0.3298263340257108,1.7603463749983348,,30,0,0,0.001,94.24919170803494
baseline,3,4,0.0,0.0,336.52807256910535,213,3,0.33623683301266283,2.1094047920196317,,30,0,0,0.001,94.24919170803494
baseline,3,5,0.0,0.0,336.52807256910535,213,3,0.33147095900494605,2.4544952920405194,,30,0,0,0.001,94.24919170803494
baseline,3,6,0.00029441341757774353,0.01715847946578436,1534.7861889733208,146,70,0.3345183330238797,2.8009520420455374,1.8592236042022705,29,0,0,0.001,94.24919170803494
baseline,3,7,0.0,0.0,1534.7861889733208,146,70,0.3148435409530066,3.1290015000267886,,30,0,0,0.001,94.24919170803494
baseline,3,8,0.0,0.0,1534.7861889733208,146,70,0.31093012500787154,3.45158866699785,,30,0,0,0.001,94.24919170803494
baseline,3,9,0.0,0.0,1534.7861889733208,146,70,0.3159584170207381,3.7792300000437535,,30,0,0,0.001,94.24919170803494
baseline,3,10,0.0,0.0,1534.7861889733208,146,70,0.32092291698791087,4.114342209009919,,30,0,0,0.001,94.24919170803494
baseline,3,11,0.0,0.0,1534.7861889733208,146,70,0.32544929097639397,4.452458292013034,,30,0,0,0.001,94.24919170803494
baseline,3,12,0.0,0.0,1534.7861889733208,146,70,0.32511462504044175,4.791691500053275,,30,0,0,0.001,94.24919170803494
baseline,3,13,0.0,0.0,1534.7861889733208,146,70,0.31522275001043454,5.118786834005732,,30,0,0,0.001,94.24919170803494
baseline,3,14,0.0,0.0,1534.7861889733208,146,70,0.29276724997907877,5.42294712504372,,30,0,0,0.001,94.24919170803494
baseline,3,15,0.0,0.0,1534.7861889733208,146,70,0.32397683401359245,5.759336584014818,,30,0,0,0.001,94.24919170803494
baseline,3,16,0.0,0.0,1534.7861889733208,146,70,0.32147383299889043,6.093842959031463,,30,0,0,0.001,94.24919170803494
baseline,3,17,0.0,0.0,1534.7861889733208,146,70,0.3170133330277167,6.424635125033092,,30,0,0,0.001,94.24919170803494
baseline,3,18,0.0,0.0,1534.7861889733208,146,70,0.321858000010252,6.759394375025295,,30,0,0,0.001,94.24919170803494
baseline,3,19,0.0,0.0,1534.7861889733208,146,70,0.3205913749989122,7.092540834040847,,30,0,0,0.001,94.24919170803494
baseline,3,20,0.0,0.0,1534.7861889733208,146,70,0.2935695839696564,7.399048209015746,,30,0,0,0.001,94.24919170803494
baseline,3,21,0.0,0.0,1534.7861889733208,146,70,0.3180800420232117,7.729035500029568,,30,0,0,0.001,94.24919170803494
baseline,3,22,0.0,0.0,1534.7861889733208,146,70,0.32675983401713893,8.068666042003315,,30,0,0,0.001,94.24919170803494
baseline,3,23,0.0,0.0,1534.7861889733208,146,70,0.3318395409733057,8.413793667044956,,30,0,0,0.001,94.24919170803494
baseline,3,24,0.0,0.0,1534.7861889733208,146,70,0.32319995801663026,8.751317334012128,,30,0,0,0.001,94.24919170803494
baseline,3,25,0.0,0.0,1534.7861889733208,146,70,0.3243202079902403,9.088675042032264,,30,0,0,0.001,94.24919170803494
baseline,3,26,0.0,0.0,1534.7861889733208,146,70,0.30571600003167987,9.408211542002391,,30,0,0,0.001,94.24919170803494
baseline,3,27,0.0,0.0,1534.7861889733208,146,70,0.31212212500395253,9.73240508401068,,30,0,0,0.001,94.24919170803494
baseline,3,28,0.0,0.0,1534.7861889733208,146,70,0.31603854103013873,10.061040792032145,,30,0,0,0.001,94.24919170803494
baseline,3,29,0.0,0.0,1534.7861889733208,146,70,0.3950300000142306,10.467850500019267,,30,0,0,0.001,94.24919170803494
baseline,3,30,0.0,0.0,1534.7861889733208,146,70,0.7111798750120215,11.198320167022757,,30,0,0,0.001,94.24919170803494
baseline,3,31,0.0,0.0,1534.7861889733208,146,70,0.4281774580013007,11.673581542039756,,30,0,0,0.001,94.24919170803494
baseline,3,32,0.0,0.0,1534.7861889733208,146,70,0.348036042007152,12.035353209008463,,30,0,0,0.001,94.24919170803494
baseline,3,33,0.0,0.0,1534.7861889733208,146,70,0.3374625419965014,12.387034209037665,,30,0,0,0.001,94.24919170803494
baseline,3,34,0.0,0.0,1534.7861889733208,146,70,0.3374395840219222,12.738392084022053,,30,0,0,0.001,94.24919170803494
baseline,3,35,0.0,0.0,1534.7861889733208,146,70,0.3520665420219302,13.103656209015753,,30,0,0,0.001,94.24919170803494
baseline,3,36,0.0,0.0,1534.7861889733208,146,70,0.3302224170183763,13.447094667004421,,30,0,0,0.001,94.24919170803494
baseline,3,37,0.0,0.0,1534.7861889733208,146,70,0.33098762499867007,13.791234375035856,,30,0,0,0.001,94.24919170803494
baseline,3,38,0.0,0.0,1534.7861889733208,146,70,0.34162129199830815,14.145498167024925,,30,0,0,0.001,94.24919170803494
baseline,3,39,0.0,0.0,1534.7861889733208,146,70,0.43837470799917355,14.605929125042167,,30,0,0,0.001,94.24919170803494
baseline,3,40,0.0,0.0,1534.7861889733208,146,70,0.5113915839465335,15.133708000008482,,30,0,0,0.001,94.24919170803494
baseline,3,41,0.0,0.0,1534.7861889733208,146,70,0.37244116596411914,15.5241395420162,,30,0,0,0.001,94.24919170803494
baseline,3,42,0.0,0.0,1534.7861889733208,146,70,0.32874104200163856,15.86709883401636,,30,0,0,0.001,94.24919170803494
baseline,3,43,0.0,0.0,1534.7861889733208,146,70,0.32085458299843594,16.200877625029534,,30,0,0,0.001,94.24919170803494
baseline,3,44,0.0,0.0,1534.7861889733208,146,70,0.3045150419929996,16.517433209053706,,30,0,0,0.001,94.24919170803494
baseline,3,45,0.0,0.0,1534.7861889733208,146,70,0.32780329196248204,16.85860020900145,,30,0,0,0.001,94.24919170803494
