,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,6.013519239425659,1.0611595546332206,20.57513084411621,15.4261304087389
Average,59.9920338457281,176.0001179732174,160.3881944559078,356.61183590912907
CAD,5.839533281326294,0.8022079800851071,38.09691095352173,30.823318932864243
DKK,271.18550885807383,874.9320059582475,136.59918718338014,347.81717368895795
EUR,10.24800090789795,1.5965743134749477,410.3298964066939,1052.5663707921137
GBP,6.555866956710815,1.6500729681306583,12.253191566467285,4.624190134869266
JPY,9.559069633483887,1.748588487571715,7.6626073837280275,1.9004044228008805
NOK,5.451973104476929,0.884383253426769,288.8199361801147,511.9073379029294
SEK,6.737313842773437,1.0200057070739896,117.33404369354248,266.36737563151775
USD,7.283571529388428,1.3279465993608113,162.90673875808716,288.5654087604943
