expiry,tenor,F0_bp,A0,offset_bp,strike_bp,price,stderr,n_valid,n_total,sigma_N_bp
1,1,88.5099,0.99260659,-100.00,-11.4901,2.7755372209e-02,1.167142e-03,5001,10000,693.7109
1,1,88.5099,0.99260659,-75.00,13.5099,2.7428575487e-02,1.170599e-03,5001,10000,688.5730
1,1,88.5099,0.99260659,-50.00,38.5099,2.7183392799e-02,1.173981e-03,5001,10000,684.6369
1,1,88.5099,0.99260659,-25.00,63.5099,2.6991869654e-02,1.177357e-03,5001,10000,681.1667
1,1,88.5099,0.99260659,0.00,88.5099,2.6841894078e-02,1.180757e-03,5001,10000,677.8380
1,1,88.5099,0.99260659,25.00,113.5099,2.6717241044e-02,1.184220e-03,5001,10000,674.2267
1,1,88.5099,0.99260659,50.00,138.5099,2.6624950512e-02,1.187731e-03,5001,10000,670.4961
1,1,88.5099,0.99260659,75.00,163.5099,2.6555215101e-02,1.191310e-03,5001,10000,666.3824
1,1,88.5099,0.99260659,100.00,188.5099,2.6511184499e-02,1.194952e-03,5001,10000,661.9475
1,5,131.6469,4.82701929,-100.00,31.6469,1.4346559511e-01,3.757642e-03,5001,10000,738.2416
1,5,131.6469,4.82701929,-75.00,56.6469,1.4274755829e-01,3.790147e-03,5001,10000,737.4649
1,5,131.6469,4.82701929,-50.00,81.6469,1.4213983157e-01,3.823120e-03,5001,10000,736.4228
1,5,131.6469,4.82701929,-25.00,106.6469,1.4164364135e-01,3.856551e-03,5001,10000,735.1178
1,5,131.6469,4.82701929,0.00,131.6469,1.4124866325e-01,3.890469e-03,5001,10000,733.4918
1,5,131.6469,4.82701929,25.00,156.6469,1.4094522110e-01,3.924900e-03,5001,10000,731.4889
1,5,131.6469,4.82701929,50.00,181.6469,1.4075547778e-01,3.959753e-03,5001,10000,729.2172
1,5,131.6469,4.82701929,75.00,206.6469,1.4067293007e-01,3.995042e-03,5001,10000,726.6349
1,5,131.6469,4.82701929,100.00,231.6469,1.4068437748e-01,4.030802e-03,5001,10000,723.6632
1,10,136.9450,9.32082274,-100.00,36.9450,2.4531434002e-01,4.887158e-03,5001,10000,652.0655
1,10,136.9450,9.32082274,-75.00,61.9450,2.4517473855e-01,4.979587e-03,5001,10000,655.0542
1,10,136.9450,9.32082274,-50.00,86.9450,2.4529090451e-01,5.073445e-03,5001,10000,657.7559
1,10,136.9450,9.32082274,-25.00,111.9450,2.4562817407e-01,5.168816e-03,5001,10000,660.0891
1,10,136.9450,9.32082274,0.00,136.9450,2.4612892960e-01,5.265883e-03,5001,10000,661.9091
1,10,136.9450,9.32082274,25.00,161.9450,2.4679717233e-01,5.364531e-03,5001,10000,663.2351
1,10,136.9450,9.32082274,50.00,186.9450,2.4768662763e-01,5.464425e-03,5001,10000,664.2172
1,10,136.9450,9.32082274,75.00,211.9450,2.4879504180e-01,5.565498e-03,5001,10000,664.8532
1,10,136.9450,9.32082274,100.00,236.9450,2.5008883309e-01,5.667821e-03,5001,10000,665.0543
5,1,147.8953,0.93784595,-100.00,47.8953,2.9651739331e-02,1.431232e-03,4854,10000,351.5839
5,1,147.8953,0.93784595,-75.00,72.8953,2.9214971687e-02,1.435386e-03,4854,10000,347.5867
5,1,147.8953,0.93784595,-50.00,97.8953,2.8790216981e-02,1.439576e-03,4854,10000,343.3989
5,1,147.8953,0.93784595,-25.00,122.8953,2.8376053230e-02,1.443804e-03,4854,10000,338.9919
5,1,147.8953,0.93784595,0.00,147.8953,2.7975094590e-02,1.448067e-03,4854,10000,334.3836
5,1,147.8953,0.93784595,25.00,172.8953,2.7581716040e-02,1.452377e-03,4854,10000,329.4919
5,1,147.8953,0.93784595,50.00,197.8953,2.7197180166e-02,1.456730e-03,4854,10000,324.3147
5,1,147.8953,0.93784595,75.00,222.8953,2.6822724168e-02,1.461126e-03,4854,10000,318.8469
5,1,147.8953,0.93784595,100.00,247.8953,2.6460673137e-02,1.465560e-03,4854,10000,313.0934
5,5,144.1913,4.55790124,-100.00,44.1913,1.3216104658e-01,3.045978e-03,4854,10000,321.9439
5,5,144.1913,4.55790124,-75.00,69.1913,1.3045141853e-01,3.080475e-03,4854,10000,319.0790
5,5,144.1913,4.55790124,-50.00,94.1913,1.2882118262e-01,3.115276e-03,4854,10000,316.0400
5,5,144.1913,4.55790124,-25.00,119.1913,1.2724604283e-01,3.150483e-03,4854,10000,312.7569
5,5,144.1913,4.55790124,0.00,144.1913,1.2572307491e-01,3.186104e-03,4854,10000,309.2111
5,5,144.1913,4.55790124,25.00,169.1913,1.2425168353e-01,3.222134e-03,4854,10000,305.3876
5,5,144.1913,4.55790124,50.00,194.1913,1.2282453065e-01,3.258597e-03,4854,10000,301.2527
5,5,144.1913,4.55790124,75.00,219.1913,1.2144331508e-01,3.295476e-03,4854,10000,296.7919
5,5,144.1913,4.55790124,100.00,244.1913,1.2009859540e-01,3.332799e-03,4854,10000,291.9594
5,10,140.6351,8.81006112,-100.00,40.6351,2.2525371369e-01,4.310258e-03,4854,10000,283.0892
5,10,140.6351,8.81006112,-75.00,65.6351,2.2302766072e-01,4.396572e-03,4854,10000,281.7881
5,10,140.6351,8.81006112,-50.00,90.6351,2.2096349705e-01,4.483865e-03,4854,10000,280.2639
5,10,140.6351,8.81006112,-25.00,115.6351,2.1902290809e-01,4.572294e-03,4854,10000,278.4618
5,10,140.6351,8.81006112,0.00,140.6351,2.1719674299e-01,4.661854e-03,4854,10000,276.3626
5,10,140.6351,8.81006112,25.00,165.6351,2.1547320122e-01,4.752549e-03,4854,10000,273.9415
5,10,140.6351,8.81006112,50.00,190.6351,2.1383655494e-01,4.844398e-03,4854,10000,271.1657
5,10,140.6351,8.81006112,75.00,215.6351,2.1227541698e-01,4.937397e-03,4854,10000,268.0046
5,10,140.6351,8.81006112,100.00,240.6351,2.1080282211e-01,5.031432e-03,4854,10000,264.4546
10,1,140.1675,0.87374816,-100.00,40.1675,2.4378945123e-02,7.289244e-04,4489,10000,218.8858
10,1,140.1675,0.87374816,-75.00,65.1675,2.3990543634e-02,7.315797e-04,4489,10000,216.3438
10,1,140.1675,0.87374816,-50.00,90.1675,2.3614364446e-02,7.343069e-04,4489,10000,213.6450
