expiry,tenor,F0_bp,A0,offset_bp,strike_bp,price,stderr,n_valid,n_total,sigma_N_bp
5,10,19.0439,10.04208707,25.00,44.0439,2.2687452471e-01,4.417286e-03,4774,10000,253.0131
5,10,19.0439,10.04208707,50.00,69.0439,2.2472096902e-01,4.501835e-03,4774,10000,249.8561
5,10,19.0439,10.04208707,75.00,94.0439,2.2272761313e-01,4.587391e-03,4774,10000,246.3510
5,10,19.0439,10.04208707,100.00,119.0439,2.2087725271e-01,4.674005e-03,4774,10000,242.4524
10,1,20.9523,1.00352047,-100.00,-79.0477,2.6412779450e-02,5.974241e-04,4489,10000,206.2105
10,1,20.9523,1.00352047,-75.00,-54.0477,2.5919235362e-02,5.999308e-04,4489,10000,203.3506
10,1,20.9523,1.00352047,-50.00,-29.0477,2.5448704515e-02,6.024594e-04,4489,10000,200.3920
10,1,20.9523,1.00352047,-25.00,-4.0477,2.5003874529e-02,6.050032e-04,4489,10000,197.3434
10,1,20.9523,1.00352047,0.00,20.9523,2.4590506521e-02,6.075423e-04,4489,10000,194.2366
10,1,20.9523,1.00352047,25.00,45.9523,2.4204721862e-02,6.101010e-04,4489,10000,191.0258
10,1,20.9523,1.00352047,50.00,70.9523,2.3836154448e-02,6.127299e-04,4489,10000,187.6123
10,1,20.9523,1.00352047,75.00,95.9523,2.3478946695e-02,6.154564e-04,4489,10000,183.9296
10,1,20.9523,1.00352047,100.00,120.9523,2.3130793059e-02,6.182909e-04,4489,10000,179.9349
10,5,22.2729,4.99528194,-100.00,-77.7271,1.1888888990e-01,2.818330e-03,4489,10000,185.9742
10,5,22.2729,4.99528194,-75.00,-52.7271,1.1701575304e-01,2.849219e-03,4489,10000,184.1588
10,5,22.2729,4.99528194,-50.00,-27.7271,1.1523363661e-01,2.880405e-03,4489,10000,182.1703
10,5,22.2729,4.99528194,-25.00,-2.7271,1.1356047847e-01,2.911818e-03,4489,10000,180.0274
10,5,22.2729,4.99528194,0.00,22.2729,1.1202397702e-01,2.943353e-03,4489,10000,177.7628
10,5,22.2729,4.99528194,25.00,47.2729,1.1059691670e-01,2.975144e-03,4489,10000,175.3201
10,5,22.2729,4.99528194,50.00,72.2729,1.0923344104e-01,3.007386e-03,4489,10000,172.6110
10,5,22.2729,4.99528194,75.00,97.2729,1.0791348618e-01,3.040152e-03,4489,10000,169.5844
10,5,22.2729,4.99528194,100.00,122.2729,1.0663951438e-01,3.073423e-03,4489,10000,166.2196
10,10,22.8141,9.93294621,-100.00,-77.1859,2.0061467120e-01,4.155445e-03,4489,10000,156.9182
10,10,22.8141,9.93294621,-75.00,-52.1859,1.9804296837e-01,4.235791e-03,4489,10000,156.2449
10,10,22.8141,9.93294621,-50.00,-27.1859,1.9561933019e-01,4.317477e-03,4489,10000,155.3033
10,10,22.8141,9.93294621,-25.00,-2.1859,1.9335365544e-01,4.400408e-03,4489,10000,154.0966
10,10,22.8141,9.93294621,0.00,22.8141,1.9128051294e-01,4.484377e-03,4489,10000,152.6450
10,10,22.8141,9.93294621,25.00,47.8141,1.8936670628e-01,4.569510e-03,4489,10000,150.9107
10,10,22.8141,9.93294621,50.00,72.8141,1.8758443014e-01,4.655888e-03,4489,10000,148.8565
10,10,22.8141,9.93294621,75.00,97.8141,1.8590119245e-01,4.743604e-03,4489,10000,146.4358
10,10,22.8141,9.93294621,100.00,122.8141,1.8428770621e-01,4.832719e-03,4489,10000,143.5967
