expiry,tenor,F0_bp,A0,offset_bp,strike_bp,price,stderr,n_valid,n_total,sigma_N_bp
1,1,177.5038,0.96893895,-100.00,77.5038,2.6329768749e-02,9.574529e-04,5301,10000,673.7389
1,1,177.5038,0.96893895,-75.00,102.5038,2.6139016781e-02,9.603143e-04,5301,10000,672.0311
1,1,177.5038,0.96893895,-50.00,127.5038,2.5973562991e-02,9.632469e-04,5301,10000,670.0670
1,1,177.5038,0.96893895,-25.00,152.5038,2.5829593816e-02,9.662607e-04,5301,10000,667.7392
1,1,177.5038,0.96893895,0.00,177.5038,2.5709710006e-02,9.693494e-04,5301,10000,665.1057
1,1,177.5038,0.96893895,25.00,202.5038,2.5610949871e-02,9.725205e-04,5301,10000,662.0789
1,1,177.5038,0.96893895,50.00,227.5038,2.5532297492e-02,9.757764e-04,5301,10000,658.6191
1,1,177.5038,0.96893895,75.00,252.5038,2.5475160267e-02,9.791131e-04,5301,10000,654.7471
1,1,177.5038,0.96893895,100.00,277.5038,2.5443589749e-02,9.825204e-04,5301,10000,650.5506
1,5,259.0736,4.59905939,-100.00,159.0736,1.3726583337e-01,3.411662e-03,5301,10000,741.4071
1,5,259.0736,4.59905939,-75.00,184.0736,1.3687496029e-01,3.444923e-03,5301,10000,742.2244
1,5,259.0736,4.59905939,-50.00,209.0736,1.3659734229e-01,3.478609e-03,5301,10000,742.8152
1,5,259.0736,4.59905939,-25.00,234.0736,1.3641153017e-01,3.512789e-03,5301,10000,743.0641
1,5,259.0736,4.59905939,0.00,259.0736,1.3631851696e-01,3.547446e-03,5301,10000,742.9777
1,5,259.0736,4.59905939,25.00,284.0736,1.3633981571e-01,3.582490e-03,5301,10000,742.6730
1,5,259.0736,4.59905939,50.00,309.0736,1.3647705692e-01,3.617904e-03,5301,10000,742.1581
1,5,259.0736,4.59905939,75.00,334.0736,1.3674336748e-01,3.653630e-03,5301,10000,741.5035
1,5,259.0736,4.59905939,100.00,359.0736,1.3711900139e-01,3.689725e-03,5301,10000,740.5995
1,10,300.6655,8.51980378,-100.00,200.6655,2.4380279739e-01,5.160571e-03,5301,10000,710.2690
1,10,300.6655,8.51980378,-75.00,225.6655,2.4454245656e-01,5.255003e-03,5301,10000,715.5462
1,10,300.6655,8.51980378,-50.00,250.6655,2.4547320074e-01,5.350583e-03,5301,10000,720.4773
1,10,300.6655,8.51980378,-25.00,275.6655,2.4655387005e-01,5.447419e-03,5301,10000,724.9600
1,10,300.6655,8.51980378,0.00,300.6655,2.4781070263e-01,5.545326e-03,5301,10000,729.0888
1,10,300.6655,8.51980378,25.00,325.6655,2.4922964020e-01,5.644295e-03,5301,10000,732.8371
1,10,300.6655,8.51980378,50.00,350.6655,2.5081144380e-01,5.744257e-03,5301,10000,736.2201
1,10,300.6655,8.51980378,75.00,375.6655,2.5256520356e-01,5.845111e-03,5301,10000,739.2759
1,10,300.6655,8.51980378,100.00,400.6655,2.5445390347e-01,5.946948e-03,5301,10000,741.9046
5,1,321.1596,0.86698848,-100.00,221.1596,2.4923694453e-02,7.236386e-04,4995,10000,319.1298
5,1,321.1596,0.86698848,-75.00,246.1596,2.4552209168e-02,7.265490e-04,4995,10000,315.6748
5,1,321.1596,0.86698848,-50.00,271.1596,2.4189403904e-02,7.295472e-04,4995,10000,311.9630
5,1,321.1596,0.86698848,-25.00,296.1596,2.3835574456e-02,7.326323e-04,4995,10000,307.9862
5,1,321.1596,0.86698848,0.00,321.1596,2.3490169752e-02,7.358063e-04,4995,10000,303.7231
