expiry,tenor,F0_bp,A0,offset_bp,strike_bp,price,stderr,n_valid,n_total,sigma_N_bp
1,1,11.2285,1.00142748,-100.00,-88.7715,3.1362834477e-02,1.563459e-03,4891,10000,778.6162
1,1,11.2285,1.00142748,-75.00,-63.7715,3.0856940134e-02,1.568235e-03,4891,10000,768.7104
1,1,11.2285,1.00142748,-50.00,-38.7715,3.0403209692e-02,1.572984e-03,4891,10000,759.3636
1,1,11.2285,1.00142748,-25.00,-13.7715,3.0012044604e-02,1.577690e-03,4891,10000,750.8019
1,1,11.2285,1.00142748,0.00,11.2285,2.9696108322e-02,1.582335e-03,4891,10000,743.3100
1,1,11.2285,1.00142748,25.00,36.2285,2.9461013774e-02,1.586913e-03,4891,10000,737.0015
1,1,11.2285,1.00142748,50.00,61.2285,2.9283028530e-02,1.591473e-03,4891,10000,731.2617
1,1,11.2285,1.00142748,75.00,86.2285,2.9145269116e-02,1.596049e-03,4891,10000,725.6498
1,1,11.2285,1.00142748,100.00,111.2285,2.9042859431e-02,1.600650e-03,4891,10000,720.0257
1,5,56.6920,4.95619057,-100.00,-43.3080,1.5216516374e-01,3.998362e-03,4891,10000,763.0427
1,5,56.6920,4.95619057,-75.00,-18.3080,1.5080712451e-01,4.037807e-03,4891,10000,759.0152
1,5,56.6920,4.95619057,-50.00,6.6920,1.4970604745e-01,4.077098e-03,4891,10000,755.4949
1,5,56.6920,4.95619057,-25.00,31.6920,1.4887795185e-01,4.116203e-03,4891,10000,752.5455
1,5,56.6920,4.95619057,0.00,56.6920,1.4822330995e-01,4.155506e-03,4891,10000,749.6498
1,5,56.6920,4.95619057,25.00,81.6920,1.4771197278e-01,4.195118e-03,4891,10000,746.6452
1,5,56.6920,4.95619057,50.00,106.6920,1.4730874273e-01,4.235162e-03,4891,10000,743.3434
1,5,56.6920,4.95619057,75.00,131.6920,1.4703992755e-01,4.275536e-03,4891,10000,739.8667
1,5,56.6920,4.95619057,100.00,156.6920,1.4689327265e-01,4.316276e-03,4891,10000,736.1413
1,10,108.0073,9.60821994,-100.00,8.0073,2.4832484447e-01,5.019459e-03,4891,10000,640.0430
1,10,108.0073,9.60821994,-75.00,33.0073,2.4797424723e-01,5.118986e-03,4891,10000,642.5524
1,10,108.0073,9.60821994,-50.00,58.0073,2.4796377045e-01,5.219620e-03,4891,10000,644.9600
1,10,108.0073,9.60821994,-25.00,83.0073,2.4816847812e-01,5.321896e-03,4891,10000,646.9482
1,10,108.0073,9.60821994,0.00,108.0073,2.4857805835e-01,5.425766e-03,4891,10000,648.4997
1,10,108.0073,9.60821994,25.00,133.0073,2.4927408414e-01,5.530760e-03,4891,10000,649.8347
1,10,108.0073,9.60821994,50.00,158.0073,2.5023678430e-01,5.636893e-03,4891,10000,650.9076
1,10,108.0073,9.60821994,75.00,183.0073,2.5138936685e-01,5.744433e-03,4891,10000,651.5219
1,10,108.0073,9.60821994,100.00,208.0073,2.5272798644e-01,5.853308e-03,4891,10000,651.6686
5,1,118.6551,0.97445430,-100.00,18.6551,2.8356415095e-02,7.191722e-04,4822,10000,323.1182
5,1,118.6551,0.97445430,-75.00,43.6551,2.7875271155e-02,7.215872e-04,4822,10000,318.9109
5,1,118.6551,0.97445430,-50.00,68.6551,2.7418213609e-02,7.240244e-04,4822,10000,314.6209
5,1,118.6551,0.97445430,-25.00,93.6551,2.6978557364e-02,7.265142e-04,4822,10000,310.1560
5,1,118.6551,0.97445430,0.00,118.6551,2.6554450016e-02,7.290661e-04,4822,10000,305.4786
5,1,118.6551,0.97445430,25.00,143.6551,2.6142430448e-02,7.316953e-04,4822,10000,300.5308
5,1,118.6551,0.97445430,50.00,168.6551,2.5740432330e-02,7.344106e-04,4822,10000,295.2680
5,1,118.6551,0.97445430,75.00,193.6551,2.5349384538e-02,7.372092e-04,4822,10000,289.6760
5,1,118.6551,0.97445430,100.00,218.6551,2.4967680664e-02,7.400978e-04,4822,10000,283.7071
5,5,150.1294,4.72770759,-100.00,50.1294,1.2688593705e-01,2.536723e-03,4822,10000,297.5074
5,5,150.1294,4.72770759,-75.00,75.1294,1.2508600947e-01,2.562377e-03,4822,10000,294.6877
5,5,150.1294,4.72770759,-50.00,100.1294,1.2335102583e-01,2.588494e-03,4822,10000,291.6238
5,5,150.1294,4.72770759,-25.00,125.1294,1.2165814169e-01,2.615185e-03,4822,10000,288.2498
5,5,150.1294,4.72770759,0.00,150.1294,1.2002011238e-01,2.642380e-03,4822,10000,284.5826
5,5,150.1294,4.72770759,25.00,175.1294,1.1842798931e-01,2.670116e-03,4822,10000,280.5848
5,5,150.1294,4.72770759,50.00,200.1294,1.1688494892e-01,2.698369e-03,4822,10000,276.2442
5,5,150.1294,4.72770759,75.00,225.1294,1.1538349004e-01,2.727166e-03,4822,10000,271.5196
5,5,150.1294,4.72770759,100.00,250.1294,1.1394185425e-01,2.756418e-03,4822,10000,266.4257
5,10,170.2282,9.05474563,-100.00,70.2282,2.1721345313e-01,4.184816e-03,4822,10000,265.1527
5,10,170.2282,9.05474563,-75.00,95.2282,2.1492798300e-01,4.261937e-03,4822,10000,263.9576
5,10,170.2282,9.05474563,-50.00,120.2282,2.1273312087e-01,4.340375e-03,4822,10000,262.4164
5,10,170.2282,9.05474563,-25.00,145.2282,2.1064567968e-01,4.419992e-03,4822,10000,260.5443
5,10,170.2282,9.05474563,0.00,170.2282,2.0867486031e-01,4.500697e-03,4822,10000,258.3443
5,10,170.2282,9.05474563,25.00,195.2282,2.0678180893e-01,4.582629e-03,4822,10000,255.7563
5,10,170.2282,9.05474563,50.00,220.2282,2.0501741054e-01,4.665502e-03,4822,10000,252.8281
5,10,170.2282,9.05474563,75.00,245.2282,2.0335188808e-01,4.749414e-03,4822,10000,249.5032
5,10,170.2282,9.05474563,100.00,270.2282,2.0173558173e-01,4.834535e-03,4822,10000,245.6944
10,1,180.9554,0.89877609,-100.00,80.9554,2.2879215124e-02,4.162614e-04,4534,10000,199.2768
10,1,180.9554,0.89877609,-75.00,105.9554,2.2515811075e-02,4.184876e-04,4534,10000,197.1508
10,1,180.9554,0.89877609,-50.00,130.9554,2.2158974458e-02,4.208766e-04,4534,10000,194.7872
10,1,180.9554,0.89877609,-25.00,155.9554,2.1810442551e-02,4.234178e-04,4534,10000,192.1922
10,1,180.9554,0.89877609,0.00,180.9554,2.1471317118e-02,4.261044e-04,4534,10000,189.3639
10,1,180.9554,0.89877609,25.00,205.9554,2.1136944111e-02,4.289615e-04,4534,10000,186.2471
10,1,180.9554,0.89877609,50.00,230.9554,2.0808018736e-02,4.319832e-04,4534,10000,182.8307
10,1,180.9554,0.89877609,75.00,255.9554,2.0484803468e-02,4.351662e-04,4534,10000,179.0953
10,1,180.9554,0.89877609,100.00,280.9554,2.0168615021e-02,4.385016e-04,4534,10000,175.0259
10,5,192.1881,4.32703804,-100.00,92.1881,1.0780266834e-01,2.870534e-03,4534,10000,194.9230
10,5,192.1881,4.32703804,-75.00,117.1881,1.0639632869e-01,2.903255e-03,4534,10000,193.4543
10,5,192.1881,4.32703804,-50.00,142.1881,1.0502755178e-01,2.936485e-03,4534,10000,191.7473
10,5,192.1881,4.32703804,-25.00,167.1881,1.0368752371e-01,2.970247e-03,4534,10000,189.7794
10,5,192.1881,4.32703804,0.00,192.1881,1.0238783767e-01,3.004484e-03,4534,10000,187.5632
10,5,192.1881,4.32703804,25.00,217.1881,1.0112685248e-01,3.039191e-03,4534,10000,185.0844
10,5,192.1881,4.32703804,50.00,242.1881,9.9894494844e-02,3.074394e-03,4534,10000,182.3104
10,5,192.1881,4.32703804,75.00,267.1881,9.8702426750e-02,3.110040e-03,4534,10000,179.2451
10,5,192.1881,4.32703804,100.00,292.1881,9.7546179246e-02,3.146132e-03,4534,10000,175.8582
