,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,5.849558035532634,0.3776015910136132,9.115888595581055,0.6494931056937568
Average,6.0539651800084995,0.7814594322864465,9.434575063210946,1.50875874810959
CAD,5.026484966278076,0.6685963384627364,9.025123914082846,2.2284139804175975
DKK,6.234420617421468,0.9522117522659332,10.19868024190267,0.8969543644553318
EUR,7.918842633565267,1.1698813579514555,17.10715611775716,3.2114187352282753
GBP,4.802265961964925,0.6585551788322422,7.7297712961832685,2.039028697525838
JPY,8.052215894063314,1.4769152637213352,6.586974620819092,2.122841150374369
NOK,5.078659375508626,0.1112195182915804,8.198819478352865,0.5974553845113657
SEK,5.613518873850505,0.759253401747256,7.782947381337483,0.5974497384582649
USD,5.909720261891683,0.9654046491543894,9.16581392288208,1.7260227086310782
