epoch,time_total_sec,time_interval_sec,loss_total,loss_recon,loss_price,loss_eig,swaption_priced_frac,path_finite_frac,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,nan_batches,grad_norm_total,gnorm_H,gnorm_K,gnorm_G,gnorm_enc,gnorm_R,lr_H,lr_K,lr_G,lr_enc,lr_R,lambda_min_K,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
0,88.3,88.34,33047579756.345963,2.3711924805699097e-06,330475797563.459,0.0005847034019221659,1.0,0.5544115149456522,2.3711924805699097e-06,0.0015398676828123608,25.609283235338,1470,0,0,0.9999999441842802,0.4706718822256746,0.8822764904664128,0.007487457577440301,0.0,0.0,4.9950766874285375e-05,9.990232305719944e-06,4.9950766874285375e-05,,,0.0016380413435399532,10.26502799987793,9.06528091430664,34.09945297241211,58.712677001953125,67.83057403564453,8.222611427307129,16.552043914794922,14.624466896057129,11.111413955688477,2.11.0+cpu,3.13.3,2.2.5
1,271.3,182.997,105579323904.58284,0.00013528339933102307,1055793239045.8264,0.0005846976239208867,1.0,0.5385954483695652,0.00013528339933102307,0.011631139210370714,103.12148518032498,1470,0,0,1.0000000130742706,0.42463438632440353,0.9053095015139396,0.010018511267672472,0.0,0.0,4.980326179779622e-05,9.960967771506666e-06,4.980326179779622e-05,,,0.001639482332393527,18.065059661865234,14.628623962402344,107.92512512207031,282.83673095703125,407.293701171875,13.931472778320312,33.670387268066406,30.70675277709961,19.035512924194336,2.11.0+cpu,3.13.3,2.2.5
2,543.4,272.025,47333986926.55699,0.000717872034226343,473339869265.56213,0.000584634024884273,1.0,0.546524711277174,0.000717872034226343,0.026793134087417677,241.25465520222983,1469,1,0,0.9999999913779902,0.9528432140298165,0.3024151811324542,0.025196238884695316,0.0,0.0,4.955806690568078e-05,9.91232189110701e-06,4.955806690568078e-05,,,0.0016433981945738196,25.265457153320312,20.17013931274414,286.7021484375,885.2278442382812,798.9414672851562,19.908889770507812,55.339603424072266,52.586910247802734,27.149436950683594,2.11.0+cpu,3.13.3,2.2.5
3,797.5,254.153,133611471583.7401,0.003485745587606482,1336114715837.3655,0.0005845902668952052,1.0,0.542469113372093,0.003485745587606482,0.05904020314672437,423.7589109208849,1463,7,3,1.0000000124663657,0.2975560414630786,0.95470355593202,0.0012439502844919707,0.0,0.0,4.921614987015934e-05,9.844486647586724e-06,4.921614987015934e-05,,,0.0016426100628450513,37.118160247802734,28.279531478881836,830.6881103515625,1263.0787353515625,1388.3599853515625,29.227710723876953,97.66425323486328,99.62733459472656,39.786376953125,2.11.0+cpu,3.13.3,2.2.5
4,1040.8,243.257,189762011237.79758,0.00591116673183679,1897620112377.9158,0.0005845992087257987,1.0,0.5350936498397436,0.00591116673183679,0.07688411234993085,470.2441014183893,1463,7,7,0.999999951105605,0.5422752045251176,0.8402008716779408,2.876578125647628e-07,0.0,0.0,4.8778860081564074e-05,9.757729755661012e-06,4.8778860081564074e-05,,,0.0016434805002063513,41.38699722290039,30.39702606201172,946.98095703125,1347.7437744140625,1571.4434814453125,31.680818557739258,107.81229400634766,111.85411071777344,42.89745330810547,2.11.0+cpu,3.13.3,2.2.5
5,1216.1,175.314,416317001300.2885,0.006152771157383754,4163170013002.8228,0.000584589914925506,1.0,0.5408342633928571,0.006152771157383754,0.07843960197109463,553.6286625332302,1455,15,12,0.0,0.0,0.0,0.0,0.0,0.0,4.824792332291186e-05,9.652393605146846e-06,4.824792332291186e-05,,,0.0016444636275991797,51.026031494140625,37.181732177734375,1358.7459716796875,965.96142578125,2132.5087890625,40.004669189453125,161.95770263671875,180.53787231445312,54.733768463134766,2.11.0+cpu,3.13.3,2.2.5
6,1370.2,154.155,1.7128643838953596e+27,0.007358976249933093,1.7128643838953594e+28,0.0005845136344599511,1.0,0.5378766741071429,0.007358976249933093,0.08578447557648816,587.617914835612,1445,25,18,0.999999935273079,0.7405748867431967,0.6525996557132077,0.16019487206045724,0.0,0.0,4.762543495902718e-05,9.5288939097068e-06,4.762543495902718e-05,,,0.001648496720008552,58.54365539550781,42.326759338378906,1336.3297119140625,1025.0167236328125,2237.84033203125,46.71260070800781,218.70301818847656,258.17266845703125,64.91576385498047,2.11.0+cpu,3.13.3,2.2.5
7,1413.5,43.264,33521179664.32585,0.008230223998128037,335211796643.1756,0.0005844268238260632,0.9761904761904762,0.5310174851190477,0.008230223998128037,0.0907205819983979,596.5329394870334,1431,39,25,0.0,0.0,0.0,0.0,0.0,0.0,4.691385166709439e-05,9.387718066217127e-06,4.691385166709439e-05,,,0.0016515364404767752,68.23856353759766,49.10697555541992,1158.9107666015625,876.658203125,2352.90478515625,56.16109848022461,321.40423583984375,404.96282958984375,80.4489974975586,2.11.0+cpu,3.13.3,2.2.5
8,1436.6,23.056,394109492332.61725,0.008041603411483165,3941094923326.0913,0.0005844006502431714,0.9861111111111112,0.5367024739583334,0.008041603411483165,0.08967498765811549,618.9819937811957,1429,41,28,0.0,0.0,0.0,0.0,0.0,0.0,4.611598174127527e-05,9.229423231234976e-06,4.611598174127527e-05,,,0.0016506104730069637,72.35238647460938,51.25777053833008,1207.4559326171875,931.3680419921875,2359.64892578125,59.075382232666016,353.14520263671875,451.4454040527344,85.08889770507812,2.11.0+cpu,3.13.3,2.2.5
9,1524.7,88.175,163650536639.39413,0.005646541390767342,1636505366393.8843,0.0005844270782991969,1.0,0.5363913143382353,0.005646541390767342,0.0751434720436003,610.6818067762587,1427,43,29,1.0000000500641577,0.682684661739372,0.7305988002204259,0.012928490654032742,0.0,0.0,4.5234974009654934e-05,9.054634122155991e-06,4.5234974009654934e-05,,,0.0016499168705195189,75.1162338256836,52.476158142089844,1112.0364990234375,945.0514526367188,2336.25830078125,60.49493408203125,362.146728515625,465.69500732421875,86.86094665527344,2.11.0+cpu,3.13.3,2.2.5
10,1647.2,122.496,881693074527.6702,0.008075407137992123,8816930745276.621,0.0005844365818160337,0.9875,0.5271240234375,0.008075407137992123,0.08986326912588993,661.7864744398329,1429,41,26,1.000000060128512,0.4752371701778077,0.7161088832801848,0.5112121082541213,0.0,0.0,4.427430540725594e-05,8.864040551740158e-06,4.427430540725594e-05,,,0.0016494314186275005,79.91272735595703,55.003173828125,1036.41259765625,1222.468505859375,2491.10986328125,63.86619567871094,397.4593505859375,517.7265625,92.11929321289062,2.11.0+cpu,3.13.3,2.2.5
11,1747.2,100.009,678138054718.5233,0.010613694256068486,6781380547185.127,0.0005844447742872682,0.9705882352941176,0.5306181066176471,0.010613694256068486,0.10302278513061315,698.0111334058973,1424,46,29,1.0000000199841883,0.3565284671200886,0.9342586432126826,0.006948358351035904,0.0,0.0,4.3237767254164214e-05,8.658394705735988e-06,4.3237767254164214e-05,,,0.001649429788812995,87.39957427978516,59.66775131225586,1007.2533569335938,1364.0048828125,2464.57470703125,70.62606811523438,484.6268005371094,640.04345703125,103.90360260009766,2.11.0+cpu,3.13.3,2.2.5
12,1833.8,86.566,8.207912654330974,0.008697447646521752,81.99156763933706,0.0005844275074547543,0.9423076923076923,0.5218975360576923,0.008697447646521752,0.09326010747646472,712.3766428629558,1422,48,33,0.9999999737022645,0.41112013534518566,0.9115811437793296,4.924936390917927e-06,0.0,0.0,4.212945029292078e-05,8.43850817434701e-06,4.212945029292078e-05,,,0.0016509065171703696,90.85401916503906,61.64427947998047,1043.345947265625,1384.0975341796875,2440.944580078125,73.4389877319336,520.3534545898438,687.9327392578125,108.77824401855469,2.11.0+cpu,3.13.3,2.2.5
13,1938.1,104.299,1.4863731377778198e+17,0.014708078411786119,1.4863731377778196e+18,0.0005843928556714673,1.0,0.523895263671875,0.014708078411786119,0.12127686676273476,712.6151572333441,1421,49,30,0.0,0.0,0.0,0.0,0.0,0.0,4.0953728544229806e-05,8.205248749256014e-06,4.0953728544229806e-05,,,0.0016518018674105406,92.64006042480469,62.66008758544922,1057.474609375,1300.6551513671875,2470.656494140625,74.79898834228516,535.452392578125,708.2012939453125,110.9973373413086,2.11.0+cpu,3.13.3,2.2.5
14,2023.4,85.297,570956852201.0778,0.011340434868283669,5709568522010.664,0.0005843859897660357,0.9821428571428571,0.5349818638392857,0.011340434868283669,0.106491477913886,734.7543690999348,1420,50,32,0.0,0.0,0.0,0.0,0.0,0.0,3.971524204469721e-05,7.959536998847744e-06,3.971524204469721e-05,,,0.0016517818439751863,98.77960968017578,65.58256530761719,977.43310546875,1478.4661865234375,2453.808837890625,78.6587142944336,578.630126953125,764.2235107421875,117.2066650390625,2.11.0+cpu,3.13.3,2.2.5
15,2122.3,98.924,7.968962731841384,0.012936438106407877,79.55967855453491,0.0005843828148499597,1.0,0.531036376953125,0.012936438106407877,0.1137384636189881,821.7258105807834,1422,48,30,0.0,0.0,0.0,0.0,0.0,0.0,3.841887853472596e-05,7.702342635146033e-06,3.841887853472596e-05,,,0.0016527660191059113,107.58045196533203,71.01619720458984,1082.1724853515625,1684.1983642578125,2620.289306640625,87.22551727294922,703.1625366210938,905.916015625,133.97142028808594,2.11.0+cpu,3.13.3,2.2.5
16,2218.8,96.468,802164778387.0736,0.014761960700008214,8021647783870.588,0.0005843545823796269,1.0,0.529022216796875,0.014761960700008214,0.12149880945922151,816.5956056382921,1420,50,30,1.0000000331056067,0.2865272738844125,0.9341389887464345,0.21280633739475407,0.0,0.0,3.706975416883779e-05,7.434680686803491e-06,3.706975416883779e-05,,,0.0016532570589333773,110.36918640136719,72.49522399902344,974.8421020507812,1746.1590576171875,2561.004150390625,89.2930679321289,726.17138671875,931.4532470703125,137.57302856445312,2.11.0+cpu,3.13.3,2.2.5
17,2308.8,90.028,1154918882026.1714,0.010433165048673811,11549188820261.61,0.0005843475612979305,0.9833333333333333,0.5330403645833334,0.010433165048673811,0.10214286587262868,797.0583869086371,1417,53,31,1.0000000123532686,0.30921340850064044,0.9508049509797806,0.018895446602035054,0.0,0.0,3.567319332454856e-05,7.15760749324711e-06,3.567319332454856e-05,,,0.0016535543836653233,112.50972747802734,73.48795318603516,842.494384765625,1741.2547607421875,2482.472900390625,90.66357421875,741.9598388671875,948.6900024414062,139.99234008789062,2.11.0+cpu,3.13.3,2.2.5
18,2388.5,79.677,240697272213.57022,0.012177467351042045,2406972722135.5796,0.000584336836861136,0.9791666666666666,0.5203450520833334,0.012177467351042045,0.11035156252197811,821.9118414984808,1419,51,34,0.0,0.0,0.0,0.0,0.0,0.0,3.423470758948271e-05,6.8722165357891564e-06,3.423470758948271e-05,,,0.0016540501965209842,114.63790130615234,74.80607604980469,864.2470092773438,1738.613525390625,2623.01318359375,92.73094940185547,768.8020629882812,976.2027587890625,144.15310668945312,2.11.0+cpu,3.13.3,2.2.5
19,2489.2,100.694,1375857600109.9724,0.010224789642961696,13758576001099.621,0.0005843234212079551,1.0,0.527008056640625,0.010224789642961696,0.10111770192682237,864.0291510687933,1415,55,30,0.0,0.0,0.0,0.0,0.0,0.0,3.275997400965493e-05,6.579634122155989e-06,3.275997400965493e-05,,,0.001654728315770626,124.40480041503906,80.94918060302734,979.569091796875,1649.687255859375,2640.691650390625,103.2527084350586,911.1105346679688,1119.663818359375,166.93331909179688,2.11.0+cpu,3.13.3,2.2.5
20,2565.5,76.265,8.06666737534323e+19,0.01910739818448426,8.066667375343229e+20,0.0005843151315196377,0.9423076923076923,0.5274939903846154,0.01910739818448426,0.1382295127115923,876.1877551608616,1415,55,33,0.0,0.0,0.0,0.0,0.0,0.0,3.1254812684763116e-05,6.28101494146603e-06,3.1254812684763116e-05,,,0.001655055209994316,127.59113311767578,82.64930725097656,1004.79248046875,1574.1500244140625,2723.774658203125,105.96620178222656,942.2581787109375,1151.88134765625,172.62646484375,2.11.0+cpu,3.13.3,2.2.5
