,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,All
Normal Non-negative — N,159.0,142.0,81.0,74.0,90.0,142.0,83.0,124.0,147.0,1042.0
Normal Non-negative — Avg RMSE (bps),4.260000228881836,5.010000228881836,4.869999885559082,5.039999961853027,4.570000171661377,4.869999885559082,5.599999904632568,4.039999961853027,5.71999979019165,4.860000133514404
Normal Non-negative — Std RMSE (bps),1.9900000095367432,2.6500000953674316,2.8399999141693115,2.7200000286102295,1.0700000524520874,2.140000104904175,3.240000009536743,1.9299999475479126,2.450000047683716,2.4100000858306885
Inverted Non-negative — N,11.0,22.0,18.0,18.0,,27.0,20.0,3.0,15.0,134.0
Inverted Non-negative — Avg RMSE (bps),5.369999885559082,5.090000152587891,5.599999904632568,6.170000076293945,,5.699999809265137,6.110000133514404,9.010000228881836,4.78000020980835,5.650000095367432
Inverted Non-negative — Std RMSE (bps),1.2300000190734863,1.4500000476837158,2.240000009536743,2.2899999618530273,,1.590000033378601,2.0999999046325684,0.3799999952316284,2.690000057220459,2.0299999713897705
Normal Negative — N,,,69.0,78.0,80.0,,67.0,,,294.0
Normal Negative — Avg RMSE (bps),,,6.670000076293945,9.65999984741211,8.489999771118164,,6.21999979019165,,,7.860000133514404
Normal Negative — Std RMSE (bps),,,3.2200000286102295,6.340000152587891,2.8299999237060547,,2.1500000953674316,,,4.25
Inverted Negative — N,,,,,,,,,,
Inverted Negative — Avg RMSE (bps),,,,,,,,,,
Inverted Negative — Std RMSE (bps),,,,,,,,,,
