ell,IS_Avg,IS_Median,IS_Max,OOS_Avg,OOS_Median,OOS_Max
2,14.52,13.88,20.14,22.47,16.23,53.07
3,8.70,8.12,14.60,20.77,10.35,157.69
4,9.63,9.25,14.42,37.18,10.19,361.35
