epoch,time_total_sec,time_interval_sec,train_curve_loss,train_trans_loss,train_cloud_loss,train_total_loss,val_curve_loss,val_trans_loss,val_cloud_loss,val_total_loss,val_frac_exceed_start,curve_avg_rmse_bps,curve_n_good,curve_n_bad
0,0.3545169999706559,0.3545169999706559,5384.4550459977645,-10.782686438467735,0.0007628954847182116,5373.67617403672,4418.161930622987,-8.324853274574005,0.0005057691750218209,4409.8396061942885,0.0,72.30239511792026,170,0
1,0.7894093999639153,0.43489239999325946,5377.537093427372,-10.78270775911835,0.0024398554306994855,5366.766584945408,4409.47026154774,-8.324791433993395,0.0008592988461093664,4401.149766607977,0.0,72.25369847315632,170,0
2,1.2274426000076346,0.43803320004371926,5370.845506824988,-10.782731174148,5.6291466718804134e-05,5360.063057108173,4400.595693082546,-8.324728147489683,0.0006623894410661901,4392.274276882262,0.0,72.2040685641266,170,0
3,1.660714800003916,0.4332721999962814,5364.037400382005,-10.78275374781134,1.8222577843344167e-05,5353.254737747084,4391.461887373222,-8.324662603723086,0.0019078512094638015,4383.146764025546,0.0,72.15299253726619,170,0
4,2.084150899958331,0.4234360999544151,5356.995928815472,-10.782778919281164,0.0,5346.213149896191,4381.962585145131,-8.324594350083036,1.1302729921954043e-07,4373.637991360184,0.0,72.09990595104192,170,0
5,2.5181337999529205,0.4339828999945894,5349.529300397457,-10.78280472517591,0.0026550236341409683,5338.759770790452,4372.006961525015,-8.324522548650595,0.0020317066515435547,4363.692597509622,0.0,72.04426750880927,170,0
6,2.9462770999525674,0.42814329999964684,5341.397175972151,-10.782829708907393,1.570860316757063e-05,5330.614424806258,4361.520189244933,-8.324446492722352,0.002377180287026517,4353.207628653647,0.0,71.98556949827918,170,0
7,3.375108799955342,0.4288317000027746,5333.408747377957,-10.782859594457763,2.0323102968798e-05,5322.625989399015,4350.366267422043,-8.324364875142395,0.0036081338529833267,4342.059943216166,0.0,71.92319324639688,170,0
8,3.804214100004174,0.42910530004883185,5324.784849734763,-10.782889900782004,3.158416668647883e-06,5314.001975626064,4338.440288490221,-8.324277287010512,4.836723143608037e-05,4330.116253039368,0.0,71.85660251638619,170,0
9,4.222248799982481,0.4180346999783069,5315.178717774397,-10.782921961785656,0.0,5304.395795812612,4325.653998230352,-8.324182589332823,0.001630846791177622,4317.337969874975,0.0,71.78528498447876,170,0
10,4.657896999968216,0.4356481999857351,5305.5714970647205,-10.782957639569402,2.6685653680286047e-05,5294.7886728534195,4311.93993848894,-8.324080303755734,1.1728297044931587e-05,4303.6159168266695,0.0,71.70878756631217,170,0
11,5.078605499991681,0.4207085000234656,5294.7624040984265,-10.782996859940132,0.0,5283.979407238486,4297.199669128641,-8.323969803223576,0.00112715012497054,4288.881335076042,0.0,71.62662910118227,170,0
12,5.5079716999898665,0.42936619999818504,5282.96018280843,-10.783037957360694,0.0035640568287989495,5272.194965135214,4281.36480869311,-8.32385006875988,0.010545385137874218,4273.093685550039,0.0,71.53839833867428,170,0
13,5.931913200009149,0.4239415000192821,5271.06505209606,-10.783083954679432,0.0001734688993764832,5260.282835485876,4264.3495877454925,-8.32372019429644,0.001898915505811439,4256.035362128725,0.0,71.44368271003911,170,0
14,6.3539124999661,0.4219992999569513,5257.585230481839,-10.783133279029872,0.0,5246.802097202811,4246.125783130505,-8.323579774703667,0.0004387018522761952,4237.804396865063,0.0,71.34220231200499,170,0
15,6.773266599979252,0.41935410001315176,5243.775795296059,-10.783185837580765,0.0,5232.992609458479,4226.614900662328,-8.323427960302334,0.0,4218.291472702026,0.0,71.23362668739436,170,0
16,7.195443700009491,0.42217710003023967,5228.645913456172,-10.783241165105553,0.0,5217.862672291068,4205.75683931056,-8.323264182761797,0.0,4197.433575127799,0.0,71.11770066300768,170,0
17,7.618429199967068,0.4229854999575764,5213.002660140803,-10.783303997089016,0.0001317773975263752,5202.2200150307,4183.5257103287395,-8.323088706858146,0.0,4175.202621621881,0.0,70.99426270806337,170,0
18,8.039587999985088,0.42115880001802,5196.195256429053,-10.783370262690145,0.0006965143250945181,5185.41536873799,4159.908214567075,-8.322900713889402,0.0006987147867358822,4151.58880742712,0.0,70.86320585246733,170,0
19,8.471047699975315,0.4314596999902278,5176.755609775207,-10.783439373233048,0.00014863289773584697,5165.972913566461,4134.888298537226,-8.322697067795684,0.0,4126.56560146943,0.0,70.72442850910922,170,0
20,8.893317799957003,0.42227009998168796,5158.500950586087,-10.78351518818259,6.348093524787945e-05,5147.717752802581,4108.43830674349,-8.322479215999559,0.002174561968351638,4100.126700337332,0.0,70.5779021018662,170,0
21,9.312037499970756,0.418719700013753,5138.774627103571,-10.783596958163844,0.0013005993618145056,5127.9975331422165,4080.5516310966113,-8.322246489528556,0.0,4072.2293846070825,0.0,70.42365117115216,170,0
