epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm_lam,gnorm_scale,lr,sigma_scale_mean,sigma_s1,sigma_s2,sigma_s3,sigma_s4,lam_1Y_norm,lam_5Y_norm,lam_10Y_norm,lam_1Y_v1,lam_1Y_v2,lam_1Y_v3,lam_1Y_v4,lam_5Y_v1,lam_5Y_v2,lam_5Y_v3,lam_5Y_v4,lam_10Y_v1,lam_10Y_v2,lam_10Y_v3,lam_10Y_v4,fwd_bias_diag_bp,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,9.5,9.505,0.05096778413280845,1.2440489679574966,0.00043192438170081005,1.0,0.99908447265625,5.2951848771837025,0,2.0000003576278367,0.0339986485481549,6.860000000000001e-06,0.02949000708758831,0.02489679865539074,0.045897599309682846,0.017475204542279243,0.02969042770564556,0.3794405162334442,0.3794402778148651,0.3794402778148651,0.09626138210296631,0.35186967253685,-0.004748411010950804,0.10427870601415634,0.09626049548387527,0.35186967253685,-0.004748465958982706,0.1042785719037056,0.09626046568155289,0.35186973214149475,-0.004746946971863508,0.10427852720022202,46.612500000000004,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,23.5,14.017,0.12919212225824594,1.6251159608364105,0.00043193496094318107,1.0,0.9998779296875,,0,0.0,0.0,1.3520000000000003e-05,0.02948540635406971,0.024894174188375473,0.04588828980922699,0.017476370558142662,0.029682783409953117,0.37945178151130676,0.3794476091861725,0.3794509172439575,0.0962696447968483,0.35188257694244385,-0.0047601088881492615,0.10426802188158035,0.09624425321817398,0.35188788175582886,-0.004771708510816097,0.10425776243209839,0.0962330773472786,0.35189715027809143,-0.004719790071249008,0.10425113141536713,53.65,,,,,,,,,
2,39.4,15.9,0.15853627026081085,1.3092631995677948,0.0004319553845562041,1.0,0.9996337890625,,0,0.0,0.0,2.0180000000000007e-05,0.029474206268787384,0.02488771826028824,0.04586789011955261,0.017473803833127022,0.029667416587471962,0.37944960594177246,0.37946459650993347,0.3794711232185364,0.0962969958782196,0.3518788516521454,-0.00477568106725812,0.10424654930830002,0.0962059274315834,0.3519294559955597,-0.004819808062165976,0.10421235114336014,0.09618084132671356,0.35194921493530273,-0.004667673725634813,0.10419951379299164,88.60000000000001,,,,,,,,,
3,58.5,19.074,0.19009530171751976,1.1823206096887589,0.0004319980653235689,1.0,0.999267578125,,0,0.0,0.0,2.684000000000001e-05,0.029455048963427544,0.024875978007912636,0.04583540931344032,0.017465341836214066,0.0296434685587883,0.3794800937175751,0.3794914484024048,0.37950053811073303,0.09634415060281754,0.3519137501716614,-0.004826106131076813,0.10419383645057678,0.09614542126655579,0.3519945442676544,-0.004890704993158579,0.10414296388626099,0.09610521793365479,0.35202452540397644,-0.004591608885675669,0.10412540286779404,106.3,,,,,,,,,
4,89.4,30.929,0.16166902240365744,1.5337297022342682,0.0004320753214415163,1.0,0.999267578125,,0,0.0,0.0,3.3500000000000015e-05,0.029427457600831985,0.024857226759195328,0.04578985273838043,0.01745225489139557,0.029610496014356613,0.37953314185142517,0.37953048944473267,0.37953677773475647,0.09641972929239273,0.3519726097583771,-0.00490263057872653,0.10411471873521805,0.0960555151104927,0.3520885109901428,-0.004988433327525854,0.1040458008646965,0.09601230174303055,0.35211703181266785,-0.00449801329523325,0.10403440147638321,112.725,,,,,,,,,
5,137.3,47.909,0.2568646389991045,1.4742359817028046,0.00043218518840149045,1.0,0.99981689453125,,0,0.0,0.0,4.0160000000000015e-05,0.02941157855093479,0.024842064827680588,0.045782800763845444,0.017445972189307213,0.029575472697615623,0.3796067237854004,0.3795773983001709,0.379584401845932,0.09646954387426376,0.35206443071365356,-0.005003027617931366,0.1040215790271759,0.09594486653804779,0.35220083594322205,-0.0050973426550626755,0.1039334312081337,0.09589048475027084,0.35223811864852905,-0.004375404678285122,0.10391578078269958,106.275,,,,,,,,,
6,168.3,30.918,0.5681129333097488,1.4064335227012634,0.00043231676681898534,1.0,0.99835205078125,,0,0.0,0.0,4.6820000000000016e-05,0.02940431423485279,0.024825450032949448,0.04579271376132965,0.01744329370558262,0.029555799439549446,0.3796880841255188,0.37962663173675537,0.3796369433403015,0.09651303291320801,0.35217148065567017,-0.005121423862874508,0.10391008853912354,0.09582926332950592,0.35231879353523254,-0.005213874392211437,0.10381434857845306,0.09575682878494263,0.3523706793785095,-0.004240117035806179,0.10378711670637131,113.2875,,,,,,,,,
7,198.3,30.023,0.515519080683589,1.2528954297304153,0.00043246316636214033,1.0,0.9996337890625,,0,0.0,0.0,5.3480000000000017e-05,0.029395539313554764,0.02480904944241047,0.045820824801921844,0.017430972307920456,0.029521318152546883,0.3797776997089386,0.3796793222427368,0.3796939253807068,0.0965641587972641,0.3522868752479553,-0.0052480632439255714,0.10379251837730408,0.09570591151714325,0.3524445593357086,-0.005338242743164301,0.10368756204843521,0.09561239928007126,0.3525141775608063,-0.004094844684004784,0.1036471351981163,120.82500000000002,,,,,,,,,
8,221.7,23.425,1.648833909071982,1.0032136738300323,0.00043260634993202984,1.0,0.9974365234375,,0,0.0,0.0,6.014000000000002e-05,0.029395971447229385,0.024810031056404114,0.04586072638630867,0.017423110082745552,0.029490027576684952,0.3798452317714691,0.37972092628479004,0.3797528147697449,0.09655860811471939,0.35238218307495117,-0.0053452677093446255,0.10371633619070053,0.09561378508806229,0.3525456488132477,-0.005462189204990864,0.10357479751110077,0.09546279907226562,0.3526632487773895,-0.003947580233216286,0.10349930077791214,36.9,,,,,,,,,
9,250.5,28.754,1.4083798434585333,1.3440451472997665,0.00043273984192637727,1.0,0.9981689453125,,0,0.0,0.0,6.680000000000002e-05,0.02939310483634472,0.024799060076475143,0.04589106887578964,0.01741180755198002,0.02947048842906952,0.37993669509887695,0.3797696828842163,0.37981075048446655,0.09661947935819626,0.35250023007392883,-0.005482024047523737,0.10358621180057526,0.09550785273313522,0.3526627719402313,-0.005599828436970711,0.10344506055116653,0.09531626105308533,0.35280895233154297,-0.003802361199632287,0.10335571318864822,70.7625,,,,,,,,,
