as_of_date,ccy,z_1,z_2,z_3,z_4
2010-01-29,AUD,-0.04747741,-0.1468471,-0.08438581,0.10757543
2010-02-26,AUD,-0.045288842,-0.14429823,-0.08597329,0.10739483
2010-03-31,AUD,-0.05144699,-0.15615779,-0.08557233,0.11304306
2010-04-30,AUD,-0.0530036,-0.15837938,-0.0838357,0.113311954
2010-05-31,AUD,-0.049853314,-0.14885664,-0.07964863,0.10603521
2010-06-30,AUD,-0.049280085,-0.14553946,-0.07563288,0.102620006
2010-07-30,AUD,-0.048955396,-0.14570902,-0.07663193,0.10332886
2010-08-31,AUD,-0.04760944,-0.1389662,-0.069892526,0.097127646
2010-09-30,AUD,-0.055078164,-0.15530941,-0.07180404,0.106277555
2010-10-29,AUD,-0.052906524,-0.15308581,-0.07532604,0.10680186
2010-11-30,AUD,-0.05312287,-0.15673143,-0.08011673,0.110385284
2010-12-31,AUD,-0.05345148,-0.15882891,-0.082372226,0.11281519
2011-01-31,AUD,-0.053771652,-0.15795326,-0.08105351,0.111290105
2011-02-28,AUD,-0.05443534,-0.15918952,-0.08110296,0.11183557
2011-03-31,AUD,-0.052488476,-0.15578485,-0.08163166,0.11059329
2011-04-29,AUD,-0.05376122,-0.15793422,-0.080536276,0.111342356
2011-05-31,AUD,-0.053694636,-0.15509285,-0.076651625,0.10786609
2011-06-30,AUD,-0.050933104,-0.1525281,-0.080719605,0.10875328
2011-07-29,AUD,-0.04859762,-0.14573461,-0.07695593,0.10341324
2011-08-31,AUD,-0.04161696,-0.13026741,-0.07441927,0.09525503
2011-09-30,AUD,-0.040942665,-0.124843,-0.06746854,0.08935136
2011-10-31,AUD,-0.042669628,-0.13061674,-0.07196674,0.09405974
2011-11-30,AUD,-0.036571726,-0.11716807,-0.06966088,0.086636916
2011-12-30,AUD,-0.038556054,-0.11898138,-0.06547199,0.08582595
2012-01-31,AUD,-0.038134515,-0.117620595,-0.06536222,0.08470443
2012-02-29,AUD,-0.042785004,-0.12847649,-0.06756011,0.09141472
2012-03-30,AUD,-0.038745213,-0.12091666,-0.068549514,0.08812489
2012-04-30,AUD,-0.03588654,-0.11254005,-0.064619124,0.08227685
2012-05-31,AUD,-0.027272694,-0.09004722,-0.0569371,0.06785579
2012-06-29,AUD,-0.030663917,-0.09815438,-0.05843141,0.07254873
2012-07-31,AUD,-0.030691825,-0.097324595,-0.05639498,0.07153967
2012-08-31,AUD,-0.029047351,-0.09448784,-0.057335634,0.07044908
2012-09-28,AUD,-0.026247883,-0.088443264,-0.05661317,0.06737037
2012-10-31,AUD,-0.024517255,-0.086713284,-0.059230626,0.06787223
2012-11-30,AUD,-0.024923878,-0.0884176,-0.06003566,0.06920071
2012-12-31,AUD,-0.019347403,-0.081125565,-0.06547105,0.06860754
2013-01-31,AUD,-0.018751945,-0.08317585,-0.06991093,0.07163636
2013-02-28,AUD,-0.018708952,-0.08233027,-0.06865428,0.07069484
2013-03-29,AUD,-0.0231282,-0.089777745,-0.06691512,0.07340607
2013-04-30,AUD,-0.01939687,-0.08048381,-0.06432228,0.06763075
2013-05-31,AUD,-0.016153513,-0.07800275,-0.06967209,0.06907222
2013-06-28,AUD,-0.016443422,-0.08025338,-0.07428058,0.07141944
2013-07-31,AUD,-0.013650311,-0.073787294,-0.072922066,0.067688935
2013-08-30,AUD,-0.01320279,-0.07647145,-0.07863198,0.07173115
2013-09-30,AUD,-0.013850002,-0.077081904,-0.07685864,0.07151227
2013-10-31,AUD,-0.014995096,-0.080635265,-0.07863383,0.0741497
2013-11-29,AUD,-0.013259007,-0.07956308,-0.08255606,0.07529596
2013-12-31,AUD,-0.014612332,-0.08136439,-0.08147978,0.07583903
2014-01-31,AUD,-0.014154024,-0.07905954,-0.07856484,0.073307306
2014-02-28,AUD,-0.013995992,-0.07862122,-0.07857266,0.07285188
2014-03-31,AUD,-0.01625073,-0.08264719,-0.07780513,0.07478698
2014-04-30,AUD,-0.016848704,-0.08110097,-0.0735172,0.07198423
2014-05-30,AUD,-0.0169057,-0.078939706,-0.06994011,0.06924113
2014-06-30,AUD,-0.016836524,-0.07792535,-0.068390116,0.068104036
2014-07-31,AUD,-0.016970735,-0.077661395,-0.06746095,0.067712314
2014-08-29,AUD,-0.017890316,-0.07707763,-0.0630324,0.06572994
2014-09-30,AUD,-0.018682947,-0.08043343,-0.06604731,0.0684895
2014-10-31,AUD,-0.018241115,-0.07845326,-0.06421389,0.06665081
2014-11-28,AUD,-0.01896282,-0.07695481,-0.059355106,0.063795224
2014-12-31,AUD,-0.01822837,-0.07193926,-0.053607136,0.058585655
2015-01-30,AUD,-0.018526565,-0.066150196,-0.043735497,0.05149766
2015-02-27,AUD,-0.013861447,-0.059775554,-0.048568055,0.05056475
2015-03-31,AUD,-0.012974366,-0.056364927,-0.04613,0.04782552
2015-04-30,AUD,-0.014305329,-0.061648246,-0.05018741,0.052323468
2015-05-29,AUD,-0.012656424,-0.060417276,-0.05373922,0.05316062
2015-06-30,AUD,-0.012276452,-0.063359804,-0.06001198,0.05708466
2015-07-31,AUD,-0.01314972,-0.061392352,-0.054168712,0.053631745
2015-08-31,AUD,-0.010873481,-0.057367153,-0.054940857,0.051954683
2015-09-30,AUD,-0.012848871,-0.05836788,-0.050329655,0.05040238
2015-10-30,AUD,-0.011847028,-0.057176493,-0.05170961,0.050432365
2015-11-30,AUD,-0.015905153,-0.06493311,-0.050810713,0.05396232
2015-12-31,AUD,-0.015505435,-0.06576375,-0.05317484,0.055383835
2016-01-29,AUD,-0.01599142,-0.0626146,-0.046470568,0.050912518
2016-02-29,AUD,-0.017244961,-0.061853595,-0.041296043,0.04829782
2016-03-31,AUD,-0.018343892,-0.06490808,-0.042478405,0.050419573
2016-04-29,AUD,-0.017026579,-0.06266471,-0.04334499,0.049682077
2016-05-31,AUD,-0.015641104,-0.05770149,-0.04014157,0.045817908
2016-06-30,AUD,-0.017257899,-0.057047103,-0.0339347,0.04283309
2016-07-29,AUD,-0.017324705,-0.055444106,-0.031663205,0.040937975
2016-08-31,AUD,-0.014754159,-0.05155672,-0.03315427,0.039890915
2016-09-30,AUD,-0.014635958,-0.052966483,-0.03533615,0.04158082
2016-10-31,AUD,-0.014698284,-0.056295495,-0.04079072,0.045632996
2016-11-30,AUD,-0.013493734,-0.05949396,-0.04983421,0.05117128
2016-12-30,AUD,-0.014519502,-0.06245534,-0.051259488,0.053338747
2017-01-31,AUD,-0.012686211,-0.059324637,-0.05193136,0.052043978
2017-02-28,AUD,-0.012507607,-0.0598088,-0.053097837,0.052973315
2017-03-31,AUD,-0.012457443,-0.05905418,-0.05241177,0.052153327
2017-04-28,AUD,-0.011933075,-0.05686754,-0.050500214,0.050274376
2017-05-31,AUD,-0.010005474,-0.051573828,-0.048134387,0.04648058
2017-06-30,AUD,-0.01148616,-0.056694895,-0.051648267,0.050774567
2017-07-31,AUD,-0.010527794,-0.05494716,-0.0518319,0.050014265
2017-08-31,AUD,-0.013514534,-0.058932103,-0.048739627,0.050678328
2017-09-29,AUD,-0.01358747,-0.06084866,-0.051819447,0.05284348
2017-10-31,AUD,-0.012252461,-0.057114065,-0.05012154,0.050174005
2017-11-30,AUD,-0.01326769,-0.057278126,-0.047106475,0.048944846
2017-12-29,AUD,-0.015425515,-0.061439566,-0.04685966,0.051032327
2018-01-31,AUD,-0.014251942,-0.060964502,-0.050332364,0.052134506
2018-02-28,AUD,-0.014704276,-0.061379023,-0.04948739,0.05194743
2018-03-30,AUD,-0.016961385,-0.06331573,-0.045586526,0.050959535
2018-04-30,AUD,-0.017131086,-0.064773366,-0.04739394,0.05240299
2018-05-31,AUD,-0.016411647,-0.06300398,-0.046957623,0.051301166
2018-06-29,AUD,-0.017119996,-0.06356807,-0.045703012,0.05082397
2018-07-31,AUD,-0.017730152,-0.06425599,-0.04527108,0.050922938
2018-08-31,AUD,-0.017249275,-0.061972484,-0.04289046,0.048811037
2018-09-28,AUD,-0.016342498,-0.06234844,-0.046418607,0.050600283
2018-10-31,AUD,-0.015801307,-0.06110786,-0.046003006,0.049860783
2018-11-30,AUD,-0.016803548,-0.062604144,-0.045147017,0.05028994
2018-12-31,AUD,-0.016534181,-0.05951044,-0.041025333,0.046663277
2019-01-31,AUD,-0.016638316,-0.058484368,-0.039113473,0.04534982
