regime,n_total,n_train,n_eval,rmse_bps_train,rmse_bps_eval
normal_positive,1042,834,208,8.568222045898438,8.040247917175293
any_negative,294,235,59,6.742956638336182,6.96321439743042
inverted,134,107,27,11.977458953857422,11.862391471862793
