ccy,rmse_bps,n
AUD,0.3608403861389635,170
CAD,0.3573803378537141,164
DKK,0.3567755570242253,168
EUR,0.4045716365940338,170
GBP,0.29115019185274427,127
JPY,0.23436690462909726,170
NOK,0.3641679724546983,169
SEK,0.4491004657824769,170
USD,0.5031416269832942,162
