tau1,error,abs_error
1.0,0.052891311126512935,0.052891311126512935
1.0,0.05285058215464415,0.05285058215464415
1.0,0.03074784258257056,0.03074784258257056
1.0,0.02424755385649015,0.02424755385649015
1.0,0.0526920497658693,0.0526920497658693
1.0,0.050295268313559155,0.050295268313559155
1.0,0.050816535961896316,0.050816535961896316
1.0,0.04415787252828021,0.04415787252828021
1.0,0.05228128036066086,0.05228128036066086
1.0,0.052672270888594434,0.052672270888594434
1.0,0.047708867106060635,0.047708867106060635
1.0,0.030085521398610638,0.030085521398610638
1.0,0.039740324794210836,0.039740324794210836
1.0,0.0326834162847202,0.0326834162847202
1.0,0.04651259768586105,0.04651259768586105
1.0,0.04311241974913055,0.04311241974913055
1.0,0.0525769549146217,0.0525769549146217
1.0,0.051544015303940774,0.051544015303940774
1.0,0.05157323958322635,0.05157323958322635
1.0,0.04269006168120271,0.04269006168120271
1.0,0.037264373935409247,0.037264373935409247
1.0,0.04178710020562564,0.04178710020562564
1.0,0.03486861952186825,0.03486861952186825
1.0,0.033890909354908544,0.033890909354908544
1.0,0.033701253828199496,0.033701253828199496
1.0,0.038717861151798545,0.038717861151798545
1.0,0.036097857663041015,0.036097857663041015
1.0,0.03140685970334101,0.03140685970334101
1.0,0.02241368644356327,0.02241368644356327
1.0,0.025131271034799105,0.025131271034799105
1.0,0.02443503119271172,0.02443503119271172
1.0,0.02403216891722775,0.02403216891722775
1.0,0.02226680938828239,0.02226680938828239
1.0,0.022459780520291676,0.022459780520291676
1.0,0.023140892744246497,0.023140892744246497
1.0,0.022532442086985655,0.022532442086985655
1.0,0.024164601861062004,0.024164601861062004
1.0,0.02368209275325644,0.02368209275325644
1.0,0.025118036973973402,0.025118036973973402
1.0,0.022146685722921257,0.022146685722921257
1.0,0.022786516974485596,0.022786516974485596
1.0,0.024476164645268753,0.024476164645268753
1.0,0.02254865272700448,0.02254865272700448
1.0,0.024710929293213328,0.024710929293213328
1.0,0.02422454970177746,0.02422454970177746
1.0,0.025652345105328725,0.025652345105328725
1.0,0.026568055936104285,0.026568055936104285
1.0,0.02681083950392625,0.02681083950392625
1.0,0.025422763132862,0.025422763132862
1.0,0.025420930126720802,0.025420930126720802
1.0,0.026076502449522504,0.026076502449522504
1.0,0.024570349013095582,0.024570349013095582
1.0,0.02313240190222618,0.02313240190222618
1.0,0.022481487437749505,0.022481487437749505
1.0,0.022125265123967133,0.022125265123967133
1.0,0.02083955883584805,0.02083955883584805
1.0,0.022459486316287462,0.022459486316287462
1.0,0.021596783247586574,0.021596783247586574
1.0,0.020150218482677233,0.020150218482677233
1.0,0.017928391586561142,0.017928391586561142
1.0,0.014697108002819162,0.014697108002819162
1.0,0.014404808471450394,0.014404808471450394
1.0,0.013348824135433986,0.013348824135433986
1.0,0.015057113988833186,0.015057113988833186
1.0,0.015474202208378725,0.015474202208378725
1.0,0.017249744979863625,0.017249744979863625
1.0,0.015772801275202603,0.015772801275202603
1.0,0.015216818746623194,0.015216818746623194
1.0,0.01452310459763965,0.01452310459763965
1.0,0.014583387956780158,0.014583387956780158
1.0,0.015810199773027188,0.015810199773027188
1.0,0.016462000285049874,0.016462000285049874
