epoch,train_nll,train_sigma_loss,train_total,val_nll,val_sigma_loss,val_total,curve_rmse_bp,kappa,hl_y,sigma_mean,lr,time_sec
0,-9.745525270663597,0.00021481845148041287,-9.681079735219472,-7.135274481123623,0.00018875311010471509,-7.078648548092208,74.41119843246706,0.16769823520654292,9.210088466828735,0.022008243232569103,9.99938933078422e-05,0.0460190000012517
1,-9.74636552057193,0.00021437532512845556,-9.682052923033392,-7.133524957259171,0.00018835223355551486,-7.077019287192517,74.41120422850312,0.16771595120279084,9.213346017403511,0.021993633652634802,9.997557473810371e-05,0.08753370001795702
2,-9.747148927755447,0.00021394117274449266,-9.6829665759321,-7.131317038426132,0.00018792489729288456,-7.074939569238266,74.40750730690254,0.1677231465933081,9.215148764831502,0.021978061741165515,9.994504881061753e-05,0.1308281000237912
3,-9.747920075347192,0.00021348950267238552,-9.683873224545476,-7.128769536124533,0.00018748191870228135,-7.072524960513849,74.4061339575873,0.16772662368228347,9.221164648825596,0.021961917496914382,9.990232305719945e-05,0.17756939999526367
4,-9.748770635058246,0.00021303915290128803,-9.68485888918786,-7.126690748689468,0.00018706483863448873,-7.0705712970991215,74.40428307854248,0.1677339363383865,9.22601365410847,0.02194666465030625,9.984740801978984e-05,0.2210622999991756
5,-9.749559308990518,0.00021259467330635124,-9.68578090699861,-7.124285527979934,0.00018662973060113583,-7.068296608799593,74.40284335981335,0.16773478855645227,9.235364318206006,0.021930759508094033,9.978031724785246e-05,0.27310489999945275
6,-9.75035148678186,0.00021213946874395386,-9.686709646158675,-7.121860462372506,0.0001861933718133989,-7.066002450828487,74.39885577466413,0.16773625123662078,9.241048994864922,0.02191476954355981,9.97010672950314e-05,0.3135313000238966
7,-9.751207743111904,0.000211684265312885,-9.687702463518036,-7.1195358717300445,0.00018576107780653696,-7.063807548388083,74.3931546705996,0.1677425520180745,9.241386805105936,0.02189890871147559,9.960967771506666e-05,0.3542809000064153
8,-9.75198440972744,0.00021122371640782498,-9.688617294805093,-7.116930775573797,0.00018532008815224068,-7.061334749128125,74.39145797268651,0.16774328032659658,9.251263152195337,0.02188269459351613,9.950617105696959e-05,0.3953013000136707
9,-9.75280181093904,0.00021076881084677732,-9.689571167685008,-7.114574565565679,0.00018489286547385077,-7.059106705923524,74.38686029036847,0.16774982070966415,9.25355571881645,0.02186697290101184,9.939057285945931e-05,0.43703840000671335
10,-9.753614654149741,0.00021031887649161692,-9.690518991202257,-7.112067150442129,0.00018445883148293914,-7.056729500997248,74.38664225737047,0.16774567933210718,9.267701021949584,0.02185097895544742,9.92629116446613e-05,0.4832159000216052
