date,expiry,tenor,sigma_mkt,sigma_mod1,ratio,path_frac
2011-11-30,1,1,74.5,624.4,8.381,1.0
2011-11-30,1,5,41.2,459.3,11.149,1.0
2011-11-30,1,10,37.3,440.3,11.804,1.0
2011-11-30,5,1,30.4,406.2,13.363,1.0
2011-11-30,5,5,26.0,291.4,11.206,1.0
2011-11-30,5,10,25.1,263.9,10.514,1.0
2011-11-30,10,1,22.4,254.3,11.354,1.0
2011-11-30,10,5,21.5,193.1,8.982,1.0
2011-11-30,10,10,23.5,162.8,6.926,1.0
2011-12-30,1,1,59.2,644.7,10.89,1.0
2011-12-30,1,5,43.5,472.7,10.867,1.0
2011-12-30,1,10,38.9,494.2,12.704,1.0
2011-12-30,5,1,33.8,408.6,12.088,1.0
2011-12-30,5,5,28.5,302.6,10.617,1.0
2011-12-30,5,10,27.4,270.9,9.886,1.0
2011-12-30,10,1,24.0,267.4,11.141,1.0
2011-12-30,10,5,23.3,197.5,8.475,1.0
2011-12-30,10,10,25.4,163.8,6.45,1.0
2012-01-31,1,1,68.6,651.9,9.503,1.0
2012-01-31,1,5,42.5,514.4,12.104,1.0
2012-01-31,1,10,36.3,489.2,13.477,1.0
2012-01-31,5,1,35.6,418.1,11.744,1.0
2012-01-31,5,5,28.8,338.7,11.762,1.0
2012-01-31,5,10,27.6,269.5,9.763,1.0
2012-01-31,10,1,24.5,264.2,10.784,1.0
2012-01-31,10,5,24.1,204.7,8.494,1.0
2012-01-31,10,10,26.1,168.2,6.446,1.0
2012-02-29,1,1,59.1,679.0,11.489,1.0
2012-02-29,1,5,40.4,499.9,12.374,1.0
2012-02-29,1,10,34.7,499.8,14.403,1.0
2012-02-29,5,1,34.4,417.5,12.135,1.0
2012-02-29,5,5,28.2,324.3,11.501,1.0
2012-02-29,5,10,26.6,263.2,9.894,1.0
2012-02-29,10,1,24.2,267.7,11.064,1.0
2012-02-29,10,5,23.0,212.2,9.225,1.0
2012-02-29,10,10,24.7,163.6,6.622,1.0
2012-03-30,1,1,57.2,654.4,11.441,1.0
2012-03-30,1,5,38.3,483.4,12.622,1.0
2012-03-30,1,10,32.5,472.2,14.53,1.0
2012-03-30,5,1,33.8,420.5,12.441,1.0
2012-03-30,5,5,27.5,316.4,11.505,1.0
2012-03-30,5,10,25.7,252.1,9.81,1.0
2012-03-30,10,1,23.5,266.8,11.352,1.0
2012-03-30,10,5,22.5,203.8,9.056,1.0
2012-03-30,10,10,24.3,169.1,6.961,1.0
2012-04-30,1,1,67.8,679.9,10.028,1.0
2012-04-30,1,5,40.4,530.4,13.13,1.0
2012-04-30,1,10,32.3,463.7,14.357,1.0
2012-04-30,5,1,34.9,428.3,12.272,1.0
2012-04-30,5,5,28.4,323.6,11.393,1.0
2012-04-30,5,10,26.6,270.0,10.152,1.0
2012-04-30,10,1,24.2,270.3,11.169,1.0
2012-04-30,10,5,23.1,206.8,8.954,1.0
2012-04-30,10,10,25.1,165.5,6.592,1.0
2012-05-31,1,1,84.4,645.9,7.652,1.0
2012-05-31,1,5,54.2,531.6,9.808,1.0
2012-05-31,1,10,47.4,507.6,10.709,1.0
2012-05-31,5,1,50.0,432.0,8.64,1.0
2012-05-31,5,5,40.2,334.8,8.329,1.0
2012-05-31,5,10,37.9,291.2,7.684,1.0
2012-05-31,10,1,35.1,276.9,7.888,1.0
2012-05-31,10,5,33.6,217.7,6.48,1.0
2012-05-31,10,10,37.1,177.8,4.793,1.0
2012-06-29,1,1,74.7,644.4,8.626,1.0
2012-06-29,1,5,45.2,542.4,12.0,1.0
2012-06-29,1,10,40.8,525.2,12.873,1.0
2012-06-29,5,1,37.7,430.3,11.415,1.0
2012-06-29,5,5,31.5,336.4,10.68,1.0
2012-06-29,5,10,30.5,270.2,8.858,1.0
2012-06-29,10,1,25.3,269.5,10.652,1.0
2012-06-29,10,5,25.6,216.7,8.464,1.0
2012-06-29,10,10,28.8,164.4,5.707,1.0
2012-07-31,1,1,116.8,674.1,5.772,1.0
2012-07-31,1,5,55.5,549.5,9.901,1.0
2012-07-31,1,10,45.1,512.6,11.365,1.0
2012-07-31,5,1,40.6,447.2,11.015,1.0
2012-07-31,5,5,34.5,336.6,9.756,1.0
2012-07-31,5,10,32.8,282.6,8.615,1.0
2012-07-31,10,1,26.8,285.1,10.637,1.0
2012-07-31,10,5,27.1,220.3,8.127,1.0
2012-07-31,10,10,30.5,178.2,5.843,1.0
2012-08-31,1,1,128.7,682.0,5.299,1.0
2012-08-31,1,5,56.3,529.1,9.398,1.0
2012-08-31,1,10,43.6,522.7,11.988,1.0
2012-08-31,5,1,43.6,465.3,10.672,1.0
2012-08-31,5,5,33.7,355.4,10.546,1.0
2012-08-31,5,10,31.3,285.1,9.11,1.0
2012-08-31,10,1,27.0,284.7,10.545,1.0
2012-08-31,10,5,26.1,219.6,8.412,1.0
2012-08-31,10,10,28.7,181.7,6.33,1.0
2012-09-28,1,1,117.0,713.3,6.096,1.0
2012-09-28,1,5,51.4,559.4,10.883,1.0
2012-09-28,1,10,39.0,503.7,12.917,1.0
2012-09-28,5,1,40.7,456.2,11.209,1.0
2012-09-28,5,5,32.0,343.1,10.722,1.0
2012-09-28,5,10,29.3,280.2,9.563,1.0
2012-09-28,10,1,25.1,290.5,11.572,1.0
2012-09-28,10,5,24.1,221.8,9.202,1.0
2012-09-28,10,10,25.8,186.9,7.243,1.0
2012-10-31,1,1,101.1,722.8,7.149,1.0
2012-10-31,1,5,48.7,560.0,11.498,1.0
2012-10-31,1,10,37.3,517.6,13.877,1.0
2012-10-31,5,1,38.3,458.4,11.969,1.0
2012-10-31,5,5,30.2,337.5,11.177,1.0
2012-10-31,5,10,27.8,268.9,9.674,1.0
2012-10-31,10,1,23.7,283.8,11.973,1.0
2012-10-31,10,5,22.7,213.2,9.393,1.0
2012-10-31,10,10,24.4,178.3,7.308,1.0
2012-11-30,1,1,122.1,727.8,5.961,1.0
2012-11-30,1,5,51.3,581.1,11.327,1.0
2012-11-30,1,10,37.1,513.7,13.848,1.0
2012-11-30,5,1,39.8,455.3,11.439,1.0
2012-11-30,5,5,30.3,354.4,11.697,1.0
2012-11-30,5,10,27.5,277.1,10.076,1.0
2012-11-30,10,1,23.7,297.3,12.544,1.0
2012-11-30,10,5,22.6,221.1,9.784,1.0
2012-11-30,10,10,24.0,173.7,7.236,1.0
2012-12-31,1,1,130.3,727.6,5.584,1.0
2012-12-31,1,5,56.6,603.8,10.667,1.0
2012-12-31,1,10,37.7,522.5,13.859,1.0
2012-12-31,5,1,42.9,441.5,10.291,1.0
2012-12-31,5,5,31.3,343.8,10.984,1.0
2012-12-31,5,10,27.9,294.3,10.547,1.0
2012-12-31,10,1,24.2,287.4,11.877,1.0
2012-12-31,10,5,23.1,218.0,9.436,1.0
2012-12-31,10,10,24.3,185.4,7.629,1.0
2013-01-31,1,1,72.4,722.5,9.979,1.0
2013-01-31,1,5,44.9,515.2,11.475,1.0
2013-01-31,1,10,32.1,518.8,16.164,1.0
2013-01-31,5,1,37.2,447.5,12.028,1.0
2013-01-31,5,5,28.1,342.3,12.183,1.0
2013-01-31,5,10,25.7,277.7,10.807,1.0
2013-01-31,10,1,23.1,287.6,12.451,1.0
2013-01-31,10,5,22.2,219.2,9.872,1.0
2013-01-31,10,10,23.1,167.0,7.229,1.0
2013-02-28,1,1,114.3,749.2,6.555,1.0
2013-02-28,1,5,51.8,544.2,10.506,1.0
2013-02-28,1,10,35.9,518.0,14.428,1.0
2013-02-28,5,1,39.5,460.9,11.669,1.0
2013-02-28,5,5,29.1,353.5,12.148,1.0
