expiry,tenor,mkt_bp,mod_s1,mod_cal,err_s1,err_cal
1,1,60.38415841584158,646.9326732673267,260.0792079207921,586.5485148514852,201.54455445544554
1,5,72.54076923076923,546.4515384615385,129.92461538461538,473.91076923076923,74.41615384615383
1,10,90.46122448979591,527.8972789115646,132.0156462585034,440.66734693877555,95.43333333333334
5,1,56.22403100775193,433.8860465116279,184.82635658914728,377.6620155038759,130.06124031007752
5,5,58.464335664335664,343.2951048951049,124.96923076923076,284.83076923076925,80.2923076923077
5,10,53.30466666666666,291.33,112.23,238.0253333333333,71.028
10,1,47.660810810810815,281.80472972972973,137.6777027027027,234.14391891891893,92.4695945945946
10,5,45.10733333333334,221.78533333333334,99.99266666666666,176.67799999999997,62.575999999999986
10,10,43.18108108108108,181.70405405405407,86.35405405405405,138.52297297297298,49.64054054054054
