date,expiry,tenor,sigma_mkt,sigma_mod_s1,sigma_mod_scal,err_s1_bp,err_cal_bp
2011-09-30,1,10,40.0,463.6,104.1,423.6,64.1
2011-09-30,5,1,33.4,398.7,172.9,365.3,139.5
2011-09-30,5,5,27.8,314.8,102.7,287.0,74.9
2011-09-30,5,10,26.9,267.0,91.0,240.1,64.1
2011-09-30,10,1,23.4,250.0,118.0,226.6,94.6
2011-09-30,10,5,22.3,199.5,81.4,177.2,59.1
2011-09-30,10,10,23.8,164.3,73.4,140.5,49.6
2011-10-31,1,1,73.9,613.9,270.6,540.0,196.7
2011-10-31,1,5,43.8,478.5,115.2,434.7,71.4
2011-10-31,1,10,37.3,458.9,98.8,421.6,61.5
2011-10-31,5,1,33.4,394.1,183.4,360.7,150.0
2011-10-31,5,5,27.5,307.2,104.6,279.7,77.1
2011-10-31,5,10,26.2,259.9,94.3,233.7,68.1
2011-10-31,10,1,23.1,258.9,118.1,235.8,95.0
2011-10-31,10,5,22.0,191.8,85.5,169.8,63.5
2011-10-31,10,10,23.6,170.1,73.7,146.5,50.1
2011-11-30,1,1,74.5,624.4,296.2,549.9,221.7
2011-11-30,1,5,41.2,459.3,98.7,418.1,57.5
2011-11-30,1,10,37.3,440.3,85.6,403.0,48.3
2011-11-30,5,1,30.4,406.2,168.2,375.8,137.8
2011-11-30,5,5,26.0,291.4,108.3,265.4,82.3
2011-11-30,5,10,25.1,263.9,86.1,238.8,61.0
2011-11-30,10,1,22.4,254.3,119.6,231.9,97.2
2011-11-30,10,5,21.5,193.1,81.4,171.6,59.9
2011-11-30,10,10,23.5,162.8,68.1,139.3,44.6
2011-12-30,1,1,59.2,644.7,281.4,585.5,222.2
2011-12-30,1,5,43.5,472.7,108.4,429.2,64.9
2011-12-30,1,10,38.9,494.2,106.9,455.3,68.0
2011-12-30,5,1,33.8,408.6,179.7,374.8,145.9
2011-12-30,5,5,28.5,302.6,108.8,274.1,80.3
2011-12-30,5,10,27.4,270.9,93.4,243.5,66.0
2011-12-30,10,1,24.0,267.4,125.2,243.4,101.2
2011-12-30,10,5,23.3,197.5,88.2,174.2,64.9
2011-12-30,10,10,25.4,163.8,69.7,138.4,44.3
2012-01-31,1,1,68.6,651.9,271.9,583.3,203.3
2012-01-31,1,5,42.5,514.4,107.6,471.9,65.1
2012-01-31,1,10,36.3,489.2,98.7,452.9,62.4
2012-01-31,5,1,35.6,418.1,181.0,382.5,145.4
2012-01-31,5,5,28.8,338.7,122.8,309.9,94.0
2012-01-31,5,10,27.6,269.5,92.0,241.9,64.4
2012-01-31,10,1,24.5,264.2,114.9,239.7,90.4
2012-01-31,10,5,24.1,204.7,84.8,180.6,60.7
2012-01-31,10,10,26.1,168.2,69.7,142.1,43.6
