path,time,z_1,z_2
0,0.0,-0.005914808348040701,-0.06951313257223236
0,0.08333333333333333,-0.07093329774436627,-0.08870733480659289
0,0.16666666666666666,-0.23332538268477004,-0.22990298177104102
0,0.25,-0.43821862318437166,-0.42633870120209943
0,0.3333333333333333,-0.670695651373813,-0.6966674857180514
0,0.41666666666666663,-0.8011728271583883,-1.145326531635937
0,0.5,-0.9350186787934343,-1.7658205823051019
0,0.5833333333333333,-1.23018399590357,-2.6027886682961694
0,0.6666666666666666,-1.6765620551977807,-3.7812661489697263
0,0.75,-2.3164847545019076,-5.454306554585431
0,0.8333333333333333,-3.236368182632675,-7.8317606339643975
0,0.9166666666666666,-4.553944488731892,-11.214672241932803
0,1.0,-6.425958091549482,-16.032694377348086
0,1.0833333333333333,-9.096929187694917,-22.892108884771673
0,1.1666666666666665,-12.902943364344674,-32.66047708195402
0,1.25,-18.322313227030296,-46.57262519400424
0,1.3333333333333333,-26.042998290364665,-66.38563119791284
0,1.4166666666666665,-37.04307321178432,-94.60336879335443
0,1.5,-52.710840528606376,-134.79314584847023
0,1.5833333333333333,-75.02665555809797,-192.03466251936845
0,1.6666666666666665,-106.80860535119733,-273.5630255199398
0,1.75,-152.0793805324885,-389.68149459599204
0,1.8333333333333333,-216.55967298600984,-555.0677802592083
0,1.9166666666666665,-308.40255115603924,-790.6261976115546
0,2.0,-439.2127707295963,-1126.1323157644056
0,2.083333333333333,-625.5221286243218,-1603.993462250401
0,2.1666666666666665,-890.8872564443682,-2284.608737312121
0,2.25,-1268.8486697456578,-3254.0082670503716
0,2.333333333333333,-1807.1786515686088,-4634.723941824701
0,2.4166666666666665,-2573.919382965468,-6601.277128368293
0,2.5,-3665.986973041068,-9402.237414375217
0,2.583333333333333,-5221.414041626585,-13391.643056397435
0,2.6666666666666665,-7436.811633341788,-19073.748317401474
0,2.75,-10592.19915573213,-27166.76584424885
0,2.833333333333333,-15086.422952923926,-38693.64241961092
0,2.9166666666666665,-21487.538213324515,-55111.36533186671
0,3.0,-30604.638650171146,-78495.11543525051
0,3.083333333333333,-43590.123210160345,-111800.57083332523
0,3.1666666666666665,-62085.34004422669,-159237.50553075975
0,3.25,-88428.0601592442,-226801.89613957028
0,3.333333333333333,-125947.96939178136,-323033.80595715676
0,3.4166666666666665,-179387.5555187187,-460096.83754506457
0,3.5,-255501.51770887565,-655315.607518595
0,3.583333333333333,-363910.57279377355,-933365.5513630781
0,3.6666666666666665,-518317.5062337634,-1329391.871117192
0,3.75,-738239.1824722482,-1893451.851808946
0,3.833333333333333,-1051473.4508345637,-2696842.0462505096
0,3.9166666666666665,-1497612.7817814308,-3841110.0763190617
0,4.0,-2133048.6852815235,-5470890.1457323795
0,4.083333333333333,-3038099.548862895,-7792184.636960167
0,4.166666666666666,-4327162.798300489,-11098402.582618339
0,4.25,-6163174.581795229,-15807446.24443327
0,4.333333333333333,-8778204.743712282,-22514533.48579029
0,4.416666666666666,-12502790.180900602,-32067432.650418475
0,4.5,-17807714.330141116,-45673619.53535949
0,4.583333333333333,-25363513.693196215,-65052900.97953258
0,4.666666666666666,-36125232.877042904,-92654796.53640777
0,4.75,-51453141.17562824,-131968155.00846902
0,4.833333333333333,-73284669.09897475,-187962141.04192907
0,4.916666666666666,-104379297.42022695,-267714331.99657497
0,5.0,-148667352.46050876,-381305315.82750595
0,5.083333333333333,-211746794.96034575,-543092866.1520352
0,5.166666666666666,-301590796.08085567,-773526748.8152908
0,5.25,-429555537.3159223,-1101733549.4826849
0,5.333333333333333,-611815619.1780423,-1569198241.5642128
0,5.416666666666666,-871408512.6651912,-2235007840.5663333
0,5.5,-1241146469.8746414,-3183319936.930728
0,5.583333333333333,-1767763956.0654001,-4534000121.565258
0,5.666666666666666,-2517824833.9168134,-6457772862.796227
0,5.75,-3586135961.5201015,-9197800888.676815
0,5.833333333333333,-5107730673.437764,-13100420684.511446
0,5.916666666666666,-7274936843.545156,-18658919038.170418
0,6.0,-10361686913.7031,-26575883939.696007
0,6.083333333333333,-14758142648.749468,-37852010919.33986
0,6.166666666666666,-21020011148.28902,-53912589846.05969
0,6.25,-29938785604.02018,-76787659976.70749
0,6.333333333333333,-42641789156.072655,-109368604653.08635
0,6.416666666666666,-60734667280.141525,-155773618930.30777
0,6.5,-86504339584.09819,-221868244836.91702
0,6.583333333333333,-123208063894.8113,-316006769342.8577
0,6.666666666666666,-175485150013.21347,-450088196911.2271
0,6.75,-249943363296.846,-641060270386.1779
0,6.833333333333333,-355994138828.48224,-913061646779.0814
0,6.916666666666666,-507042176309.85596,-1300472996582.2126
0,7.0,-722179779147.7373,-1852262682158.9656
0,7.083333333333333,-1028600100302.4427,-2638176304110.449
0,7.166666666666666,-1465034326481.4187,-3757552467373.2656
