time,z1_p5,z2_p5,z1_p25,z2_p25,z1_p50,z2_p50,z1_p75,z2_p75,z1_p95,z2_p95,z1_mean,z2_mean
0.0,-0.005914808348040701,-0.06951313257223236,-0.005914808348040701,-0.06951313257223236,-0.005914808348040701,-0.06951313257223236,-0.005914808348040701,-0.06951313257223236,-0.005914808348040701,-0.06951313257223236,-0.005914808348040701,-0.06951313257223236
0.08333333333333333,-0.3002521921977837,-0.23360569811434956,-0.1424136643484629,-0.13890165197800283,-0.020311938649504965,-0.07418346884034496,0.09145028307459974,-0.00537347034300719,0.2547781436116004,0.09050949291198544,-0.02293261159845286,-0.07257821192391568
0.16666666666666666,-1.095473241590676,-1.2474504485818778,-0.1864618615925932,-0.2307047237293715,0.030848662421617407,-0.11927013814707971,0.19107776818240152,0.015516114407371336,0.7432705468340091,1.201192390517786,-0.05000697955554398,-0.1342361871221647
0.25,-3.665605077694245,-20.36297729678467,-0.3267897785358952,-0.5204141314516016,0.02517409052505689,-0.18708779269743336,0.22572531522960318,0.009325443014520093,1.8064900750444748,10.95512104988831,-0.23823221853780915,-2.6785601242270722
0.3333333333333333,-15.568477267456842,-172.47980559230322,-0.6872438387307647,-1.4129861331185656,-0.03744681271357922,-0.3041832535879173,0.2263173848143649,-0.010546286116412253,10.85706717095947,87.34646214537393,-0.35145989615310735,1.054492947663628
0.41666666666666663,-44.47479217139942,-347.9018495141839,-1.372639411477779,-3.493965307170556,-0.14154276030788368,-0.5386503759522394,0.21610424994130917,-0.05068174929871297,32.767926977471404,213.7582191788922,-0.5445497389810404,-3.770090552492929
0.5,-95.18608795895285,-545.0097199756106,-2.576224267488182,-7.759535507697412,-0.31805190690836715,-0.9718666963313346,0.16727180603958278,-0.11756005915329244,73.65202287636215,422.00442404291806,-1.1616700775229514,-5.643782976695815
0.5833333333333333,-177.0060056571652,-779.8620973757702,-4.742881526350723,-15.727825833875915,-0.5990665702723893,-1.7468600372587568,0.08089534176982835,-0.2716029783566696,132.85427759042003,673.7533169652658,-2.1466228157787386,-9.427188923064861
0.6666666666666666,-280.40480560329803,-1059.8682760199786,-8.498847740650175,-28.974419884245165,-1.0403277360966126,-2.9539505637362966,-0.041771634560682856,-0.5022676043586709,241.31690352284573,1144.5198526639178,-3.4178824132162613,-9.823092857050227
0.75,-444.9285191896174,-1455.759272870505,-14.806434472551125,-51.22276848415659,-1.6738050795147483,-4.6944778939398475,-0.18416059166879242,-0.8867219240266695,430.21407345067234,1524.764530991397,-5.018507944797637,-13.692043795513959
0.8333333333333333,-674.8953841777234,-2028.6147478985022,-24.095164931357306,-84.49540397716498,-2.636310913023628,-7.453590758332021,-0.42811958058680544,-1.3873952114159718,655.9278049944263,2131.6921024205603,-7.261219309836483,-19.252627101067255
0.9166666666666666,-999.0062708075542,-2831.6050467935565,-38.13020523682183,-129.16032263194504,-4.007126842510315,-11.555356230602282,-0.7405377601593361,-2.192435157872144,1038.0269896280695,2965.34905512844,-10.385643637942307,-26.54130136728338
1.0,-1463.653185063596,-3984.3866803269234,-60.31222843454024,-190.45107673204697,-6.0858658240855155,-17.048894826654955,-1.1845082660919628,-3.315589858016354,1548.0519604491137,4143.520364776131,-14.550790327506489,-34.156282989102415
1.0833333333333333,-2107.9958823314587,-5627.972947263989,-93.34166719936363,-274.3659993630671,-9.106081304615712,-24.866909035144772,-1.7534263491696251,-4.900120586508911,2221.3151380732656,5764.618812438433,-20.326572344819944,-49.96320458149009
1.1666666666666665,-3053.427458820801,-7974.6602109504265,-136.04140049973213,-384.4264945754719,-13.30965707893171,-35.83176131788891,-2.5701244164070483,-7.2133745756148135,3106.032089047173,8286.020887703977,-28.713291555100795,-72.39696804936435
1.25,-4372.408638686467,-11351.800275498284,-197.6129236770695,-540.8693640010683,-19.226091126923308,-50.976652060183525,-3.7792115993379665,-10.339870877563975,4436.9169263283065,11545.6113591264,-40.86505694920707,-105.50185483292127
1.3333333333333333,-6236.238774173636,-16162.207401897149,-289.80362331680556,-767.5066503606947,-27.751736308234783,-72.60424586522507,-5.4856825686058,-14.759899671985062,6333.768380354198,16640.938594773284,-58.42754747080114,-152.00259801216316
1.4166666666666665,-8890.000642486815,-22977.65158881701,-418.75824049672224,-1088.89192626152,-39.696940711274955,-104.2580298484634,-7.868264218712457,-21.084424698863714,9107.368329990279,23577.804219505266,-83.3523289563097,-213.42676798498783
1.5,-12668.953835868531,-32685.562654903253,-601.290979590988,-1548.2365949762539,-56.9859665285326,-149.20970689706638,-11.352017043201087,-30.19872683378511,13038.743175465648,33202.40835534097,-118.87962524058698,-307.19447047667114
1.5833333333333333,-18057.28437603442,-46516.80574369906,-857.0929341328315,-2204.235092214247,-81.57000933662707,-213.70809698459783,-16.504219920298507,-43.517006923476785,18580.44810333428,46985.64503655603,-169.67767387654678,-437.62080395741907
1.6666666666666665,-25747.83308671589,-66220.46512051721,-1220.8214880155724,-3138.6708437901298,-116.64479648793791,-303.45694658024723,-23.733206484593033,-62.291766095813905,26443.60823561804,66932.78600873773,-241.764482337726,-618.8987884441773
