expiry,tenor,F0_curve_bp,implied_fwd_mc_bp,fwd_error_bp,A0_curve,E[D*A]_mc,annuity_error_pct
1,1,0.0,,,0.98575,inf,inf
1,5,220.32,,,4.693858,inf,inf
1,10,321.03,,,8.588257,inf,inf
5,1,-1049.1,-5517.49,-4468.39,0.98575,9.82051,896.2472
5,5,0.0,-5537.54,-5537.54,4.693858,439.081222,9254.3785
5,10,200.62,-5538.35,-5738.97,8.588257,25273.593906,294180.8286
10,1,-2796.95,-5538.36,-2741.41,0.98575,554.82965,56185.009
10,5,-367.06,-5538.37,-5171.3,4.693858,24834.512684,528985.3285
10,10,0.0,-5538.37,-5538.37,8.588257,1429543.769162,16645230.5561
